单词		词频		占比
le		1195		8.937252262358836%
de		1165		8.712886096776607%
et		562		4.203126168573779%
,		544		4.068506469224441%
.		415		3.103731957220851%

		366		2.737267220103208%
à		361		2.699872859172837%
l’		338		2.527858798893127%
nous		224		1.6752673696806522%
un		198		1.4808166928427193%
en		183		1.368633610051604%
d’		176		1.316281504749084%
être		155		1.1592251888415226%
avoir		110		0.8226759404681774%
pour		95		0.7104928576770624%
dans		94		0.7030139854909879%
tout		84		0.6282252636302446%
que		81		0.6057886470720215%
notre		76		0.5683942861416498%
développement		71		0.5309999252112781%
il		55		0.4113379702340887%
faire		54		0.4038590980480144%
au		53		0.39638022586194%
leur		53		0.39638022586194%
sur		50		0.373943609303717%
renforcer		44		0.329070376187271%
entreprise		42		0.3141126318151223%
contre		41		0.30663375962904793%
nouveau		39		0.29167601525689923%
plus		38		0.2841971430708249%
qui		36		0.26923939869867625%
«		36		0.26923939869867625%
»		36		0.26923939869867625%
devoir		36		0.26923939869867625%
ce		35		0.2617605265126019%
s’		35		0.2617605265126019%
emploi		33		0.24680278214045323%
service		33		0.24680278214045323%
ainsi		33		0.24680278214045323%
assurer		33		0.24680278214045323%
politique		32		0.23932390995437888%
économique		31		0.23184503776830456%
lutte		31		0.23184503776830456%
par		30		0.2243661655822302%
;		29		0.21688729339615587%
se		28		0.20940842121008152%
réforme		28		0.20940842121008152%
-		28		0.20940842121008152%
améliorer		28		0.20940842121008152%
chinois		27		0.2019295490240072%
covid-19		27		0.2019295490240072%
public		26		0.19445067683793285%
falloir		26		0.19445067683793285%
social		24		0.17949293246578416%
marché		24		0.17949293246578416%
pays		23		0.17201406027970984%
population		23		0.17201406027970984%
système		23		0.17201406027970984%
travail		22		0.1645351880936355%
central		22		0.1645351880936355%
base		22		0.1645351880936355%
grand		22		0.1645351880936355%
pouvoir		22		0.1645351880936355%
favoriser		22		0.1645351880936355%
contrôle		21		0.15705631590756114%
Chine		21		0.15705631590756114%
mettre		21		0.15705631590756114%
promouvoir		21		0.15705631590756114%
région		21		0.15705631590756114%
son		20		0.14957744372148682%
Parti		20		0.14957744372148682%
année		20		0.14957744372148682%
créer		20		0.14957744372148682%
manière		20		0.14957744372148682%
augmenter		20		0.14957744372148682%
économie		19		0.14209857153541244%
développer		19		0.14209857153541244%
mener		19		0.14209857153541244%
réaliser		18		0.13461969934933812%
consommation		18		0.13461969934933812%
investissement		18		0.13461969934933812%
pauvreté		18		0.13461969934933812%
difficulté		17		0.12714082716326378%
qu’		17		0.12714082716326378%
peuple		16		0.11966195497718944%
épidémie		16		0.11966195497718944%
international		16		0.11966195497718944%
milliard		16		0.11966195497718944%
yuan		16		0.11966195497718944%
production		16		0.11966195497718944%
œuvre		16		0.11966195497718944%
prévention		16		0.11966195497718944%
appliquer		16		0.11966195497718944%
mesure		16		0.11966195497718944%
comité		15		0.1121830827911151%
ou		15		0.1121830827911151%
objectif		15		0.1121830827911151%
taux		15		0.1121830827911151%
soutien		15		0.1121830827911151%
stabiliser		15		0.1121830827911151%
bien-être		15		0.1121830827911151%
gouvernement		14		0.10470421060504076%
pourcent		14		0.10470421060504076%
continuer		14		0.10470421060504076%
industrie		14		0.10470421060504076%
domaine		14		0.10470421060504076%
réduire		14		0.10470421060504076%
enseignement		14		0.10470421060504076%
afin		14		0.10470421060504076%
moyen		14		0.10470421060504076%
populaire		13		0.09722533841896643%
national		13		0.09722533841896643%
sorte		13		0.09722533841896643%
—		13		0.09722533841896643%
million		13		0.09722533841896643%
viser		13		0.09722533841896643%
agir		13		0.09722533841896643%
vie		13		0.09722533841896643%
assurance		13		0.09722533841896643%
construction		13		0.09722533841896643%
sans		13		0.09722533841896643%
bien		13		0.09722533841896643%
général		13		0.09722533841896643%
accorder		13		0.09722533841896643%
armée		13		0.09722533841896643%
personne		13		0.09722533841896643%
lui		13		0.09722533841896643%
accroître		13		0.09722533841896643%
activité		12		0.08974646623289208%
effort		12		0.08974646623289208%
société		12		0.08974646623289208%
poursuivre		12		0.08974646623289208%
rural		12		0.08974646623289208%
coopération		12		0.08974646623289208%
avec		12		0.08974646623289208%
veiller		12		0.08974646623289208%
état		11		0.08226759404681774%
même		11		0.08226759404681774%
Xi		11		0.08226759404681774%
Jinping		11		0.08226759404681774%
édification		11		0.08226759404681774%
niveau		11		0.08226759404681774%
ouverture		11		0.08226759404681774%
loi		11		0.08226759404681774%
étranger		11		0.08226759404681774%
situation		11		0.08226759404681774%
condition		11		0.08226759404681774%
monde		11		0.08226759404681774%
matière		11		0.08226759404681774%
avancer		11		0.08226759404681774%
spécial		11		0.08226759404681774%
garantie		11		0.08226759404681774%
soutenir		11		0.08226759404681774%
entre		11		0.08226759404681774%
pas		10		0.07478872186074341%
ne		10		0.07478872186074341%
croissance		10		0.07478872186074341%
produit		10		0.07478872186074341%
innovation		10		0.07478872186074341%
extérieur		10		0.07478872186074341%
divers		10		0.07478872186074341%
risque		10		0.07478872186074341%
travailleur		10		0.07478872186074341%
principe		10		0.07478872186074341%
garantir		10		0.07478872186074341%
qualité		10		0.07478872186074341%
capacité		10		0.07478872186074341%
encourager		10		0.07478872186074341%
crédit		10		0.07478872186074341%
formation		10		0.07478872186074341%
centre		10		0.07478872186074341%
santé		9		0.06730984967466906%
principal		9		0.06730984967466906%
000		9		0.06730984967466906%
rôle		9		0.06730984967466906%
important		9		0.06730984967466906%
frais		9		0.06730984967466906%
commerce		9		0.06730984967466906%
ensemble		9		0.06730984967466906%
revenu		9		0.06730984967466906%
ligne		9		0.06730984967466906%
autre		9		0.06730984967466906%
prendre		9		0.06730984967466906%
y		9		0.06730984967466906%
mécanisme		9		0.06730984967466906%
médical		9		0.06730984967466906%
aussi		9		0.06730984967466906%
tel		9		0.06730984967466906%
six		9		0.06730984967466906%
sécurité		9		0.06730984967466906%
plan		9		0.06730984967466906%
stimuler		9		0.06730984967466906%
fonds		9		0.06730984967466906%
faveur		9		0.06730984967466906%
aider		9		0.06730984967466906%
approfondir		9		0.06730984967466906%
affaire		8		0.05983097748859472%
majeur		8		0.05983097748859472%
grâce		8		0.05983097748859472%
n’		8		0.05983097748859472%
défi		8		0.05983097748859472%
:		8		0.05983097748859472%
rester		8		0.05983097748859472%
intégral		8		0.05983097748859472%
progresser		8		0.05983097748859472%
global		8		0.05983097748859472%
secteur		8		0.05983097748859472%
scientifique		8		0.05983097748859472%
accélérer		8		0.05983097748859472%
masse		8		0.05983097748859472%
zone		8		0.05983097748859472%
échange		8		0.05983097748859472%
capital		8		0.05983097748859472%
[		8		0.05983097748859472%
environnement		8		0.05983097748859472%
maladie		8		0.05983097748859472%
professionnel		8		0.05983097748859472%
force		8		0.05983097748859472%
dont		8		0.05983097748859472%
cadre		8		0.05983097748859472%
travailler		8		0.05983097748859472%
accès		8		0.05983097748859472%
approvisionnement		8		0.05983097748859472%
agricole		8		0.05983097748859472%
administration		8		0.05983097748859472%
intérêt		8		0.05983097748859472%
acteur		8		0.05983097748859472%
pauvre		8		0.05983097748859472%
dépense		8		0.05983097748859472%
perfectionneron		8		0.05983097748859472%
paysan		8		0.05983097748859472%
ville		8		0.05983097748859472%
connaître		7		0.05235210530252038%
sous		7		0.05235210530252038%
direction		7		0.05235210530252038%
rassembler		7		0.05235210530252038%
traitement		7		0.05235210530252038%
aucun		7		0.05235210530252038%
commercial		7		0.05235210530252038%
moyenne		7		0.05235210530252038%
paiement		7		0.05235210530252038%
maintenir		7		0.05235210530252038%
nombre		7		0.05235210530252038%
prioritaire		7		0.05235210530252038%
réduction		7		0.05235210530252038%
droit		7		0.05235210530252038%
microentreprise		7		0.05235210530252038%
mise		7		0.05235210530252038%
application		7		0.05235210530252038%
concerner		7		0.05235210530252038%
financier		7		0.05235210530252038%
habitant		7		0.05235210530252038%
supérieur		7		0.05235210530252038%
matériel		7		0.05235210530252038%
comme		7		0.05235210530252038%
selon		7		0.05235210530252038%
bon		7		0.05235210530252038%
stabilisation		7		0.05235210530252038%
pme		7		0.05235210530252038%
préserver		7		0.05235210530252038%
stabilité		7		0.05235210530252038%
district		7		0.05235210530252038%
énergie		7		0.05235210530252038%
besoin		7		0.05235210530252038%
propre		7		0.05235210530252038%
migrant		7		0.05235210530252038%
intégrer		7		0.05235210530252038%
premier		6		0.04487323311644604%
madame		6		0.04487323311644604%
monsieur		6		0.04487323311644604%
