单词		词频		占比
le		584		7.787705027336979%
de		544		7.254300573409787%
.		288		3.84051206827577%
,		255		3.400453393785838%
et		252		3.3604480597412985%

		197		2.627016935591412%
l’		192		2.5603413788505134%
un		181		2.413655154020536%
à		140		1.866915588745166%
être		130		1.7335644752633685%
avoir		115		1.533537805040672%
d’		112		1.4935324709961328%
nous		110		1.4668622482997733%
pour		82		1.09347913055074%
dans		77		1.0268035738098413%
en		65		0.8667822376316843%
que		64		0.8534471262835045%
ce		64		0.8534471262835045%
sur		51		0.6800906787571676%
il		43		0.5734097879717296%
développement		43		0.5734097879717296%
marché		41		0.54673956527537%
année		39		0.5200693425790106%
plus		39		0.5200693425790106%
Chine		38		0.5067342312308307%
leur		35		0.4667288971862915%
devoir		32		0.42672356314175225%
pouvoir		31		0.4133884517935725%
au		29		0.38671822909721293%
qui		29		0.38671822909721293%
pays		28		0.3733831177490332%
chinois		27		0.3600480064008535%
tout		27		0.3600480064008535%
gouvernement		26		0.3467128950526737%
grand		25		0.33337778370449395%
emploi		25		0.33337778370449395%
politique		24		0.3200426723563142%
:		23		0.3067075610081344%
avec		23		0.3067075610081344%
c’		22		0.2933724496599547%
base		22		0.2933724496599547%
acteur		22		0.2933724496599547%
notre		22		0.2933724496599547%
premier		21		0.2800373383117749%
dernier		21		0.2800373383117749%
faire		20		0.26670222696359513%
pas		20		0.26670222696359513%
?		19		0.25336711561541536%
par		19		0.25336711561541536%
mais		19		0.25336711561541536%
n’		18		0.24003200426723562%
nouveau		18		0.24003200426723562%
deux		18		0.24003200426723562%
son		17		0.22669689291905584%
y		17		0.22669689291905584%
ministre		16		0.21336178157087612%
mesure		16		0.21336178157087612%
ne		16		0.21336178157087612%
qu’		15		0.20002667022269638%
objectif		15		0.20002667022269638%
économique		15		0.20002667022269638%
Kong		15		0.20002667022269638%
Li		14		0.1866915588745166%
se		14		0.1866915588745166%
million		14		0.1866915588745166%
-		14		0.1866915588745166%
s’		14		0.1866915588745166%
Hong		14		0.1866915588745166%
peuple		13		0.17335644752633686%
Keqiang		13		0.17335644752633686%
prendre		13		0.17335644752633686%
frais		13		0.17335644752633686%
croissance		13		0.17335644752633686%
aussi		13		0.17335644752633686%
continuer		13		0.17335644752633686%
autre		13		0.17335644752633686%
économie		13		0.17335644752633686%
monde		13		0.17335644752633686%
dire		12		0.1600213361781571%
beaucoup		12		0.1600213361781571%
personne		12		0.1600213361781571%
«		12		0.1600213361781571%
»		12		0.1600213361781571%
scientifique		12		0.1600213361781571%
assurer		12		0.1600213361781571%
système		12		0.1600213361781571%
relation		12		0.1600213361781571%
travailler		11		0.14668622482997734%
pourcent		11		0.14668622482997734%
voir		11		0.14668622482997734%
important		11		0.14668622482997734%
population		10		0.13335111348179757%
donner		10		0.13335111348179757%
bien-être		10		0.13335111348179757%
réaliser		10		0.13335111348179757%
encore		10		0.13335111348179757%
renforcer		10		0.13335111348179757%
espérer		10		0.13335111348179757%
cela		10		0.13335111348179757%
service		10		0.13335111348179757%
partie		10		0.13335111348179757%
principe		10		0.13335111348179757%
domaine		10		0.13335111348179757%
presse		9		0.12001600213361781%
étranger		9		0.12001600213361781%
ouverture		9		0.12001600213361781%
lui		9		0.12001600213361781%
car		9		0.12001600213361781%
entreprise		9		0.12001600213361781%
création		9		0.12001600213361781%
toujours		9		0.12001600213361781%
reprise		9		0.12001600213361781%
falloir		9		0.12001600213361781%
comme		9		0.12001600213361781%
social		9		0.12001600213361781%
intérêt		9		0.12001600213361781%
fondamental		9		0.12001600213361781%
vous		9		0.12001600213361781%
davantage		9		0.12001600213361781%
origine		9		0.12001600213361781%
recherche		9		0.12001600213361781%
long		9		0.12001600213361781%
médical		9		0.12001600213361781%
poursuivre		9		0.12001600213361781%
innovation		9		0.12001600213361781%
covid-19		8		0.10668089078543806%
travail		8		0.10668089078543806%
ville		8		0.10668089078543806%
terme		8		0.10668089078543806%
jouer		8		0.10668089078543806%
rôle		8		0.10668089078543806%
promouvoir		8		0.10668089078543806%
investissement		8		0.10668089078543806%
entre		8		0.10668089078543806%
international		8		0.10668089078543806%
fonds		8		0.10668089078543806%
aller		8		0.10668089078543806%
avenir		8		0.10668089078543806%
développer		8		0.10668089078543806%
circulation		8		0.10668089078543806%
domestique		8		0.10668089078543806%
j’		7		0.0933457794372583%
je		7		0.0933457794372583%
réduire		7		0.0933457794372583%
fixer		7		0.0933457794372583%
mener		7		0.0933457794372583%
effort		7		0.0933457794372583%
également		7		0.0933457794372583%
contribuer		7		0.0933457794372583%
stable		7		0.0933457794372583%
adopter		7		0.0933457794372583%
âgé		7		0.0933457794372583%
maladie		7		0.0933457794372583%
virus		7		0.0933457794372583%
coopération		7		0.0933457794372583%
bien		7		0.0933457794372583%
Taiwan		7		0.0933457794372583%
conférence		6		0.08001066808907854%
question		6		0.08001066808907854%
impact		6		0.08001066808907854%
quel		6		0.08001066808907854%
porte		6		0.08001066808907854%
grâce		6		0.08001066808907854%
affaire		6		0.08001066808907854%
créer		6		0.08001066808907854%
ou		6		0.08001066808907854%
stabilité		6		0.08001066808907854%
soutenir		6		0.08001066808907854%
favoriser		6		0.08001066808907854%
apporter		6		0.08001066808907854%
période		6		0.08001066808907854%
party		6		0.08001066808907854%
différent		6		0.08001066808907854%
6		6		0.08001066808907854%
échelon		6		0.08001066808907854%
appliquer		6		0.08001066808907854%
vue		6		0.08001066808907854%
application		6		0.08001066808907854%
extérieur		6		0.08001066808907854%
concerner		6		0.08001066808907854%
réforme		6		0.08001066808907854%
sino-américaine		6		0.08001066808907854%
mutuel		6		0.08001066808907854%
session		5		0.06667555674089878%
tenir		5		0.06667555674089878%
2021		5		0.06667555674089878%
accorder		5		0.06667555674089878%
comment		5		0.06667555674089878%
compris		5		0.06667555674089878%
étude		5		0.06667555674089878%
solide		5		0.06667555674089878%
difficulté		5		0.06667555674089878%
très		5		0.06667555674089878%
demande		5		0.06667555674089878%
permettre		5		0.06667555674089878%
milliard		5		0.06667555674089878%
commun		5		0.06667555674089878%
prochain		5		0.06667555674089878%
ensemble		5		0.06667555674089878%
plan		5		0.06667555674089878%
États-Unis		5		0.06667555674089878%
moins		5		0.06667555674089878%
soutien		5		0.06667555674089878%
élargir		5		0.06667555674089878%
niveau		5		0.06667555674089878%
interprovincial		5		0.06667555674089878%
région		5		0.06667555674089878%
enfant		5		0.06667555674089878%
’		5		0.06667555674089878%
RAS		5		0.06667555674089878%
depuis		5		0.06667555674089878%
majeur		5		0.06667555674089878%
technico		5		0.06667555674089878%
science		5		0.06667555674089878%
votre		5		0.06667555674089878%
accroître		5		0.06667555674089878%
échange		5		0.06667555674089878%
dynamique		5		0.06667555674089878%
national		4		0.05334044539271903%
répondre		4		0.05334044539271903%
ouvrir		4		0.05334044539271903%
épidémie		4		0.05334044539271903%
qualité		4		0.05334044539271903%
situation		4		0.05334044539271903%
pendant		4		0.05334044539271903%
m’		4		0.05334044539271903%
impôt		4		0.05334044539271903%
charge		4		0.05334044539271903%
activité		4		0.05334044539271903%
pib		4		0.05334044539271903%
poste		4		0.05334044539271903%
sous		4		0.05334044539271903%
prévoir		4		0.05334044539271903%
problème		4		0.05334044539271903%
mieux		4		0.05334044539271903%
chose		4		0.05334044539271903%
part		4		0.05334044539271903%
secteur		4		0.05334044539271903%
encourager		4		0.05334044539271903%
même		4		0.05334044539271903%
donc		4		0.05334044539271903%
notamment		4		0.05334044539271903%
opportunité		4		0.05334044539271903%
prospérité		4		0.05334044539271903%
groupe		4		0.05334044539271903%
expert		4		0.05334044539271903%
mondial		4		0.05334044539271903%
esprit		4		0.05334044539271903%
seul		4		0.05334044539271903%
quinquennal		4		0.05334044539271903%
augmentation		4		0.05334044539271903%
financier		4		0.05334044539271903%
-ce		4		0.05334044539271903%
penser		4		0.05334044539271903%
rapide		4		0.05334044539271903%
représente		4		0.05334044539271903%
yuan		4		0.05334044539271903%
rmb		4		0.05334044539271903%
forme		4		0.05334044539271903%
mécanisme		4		0.05334044539271903%
ainsi		4		0.05334044539271903%
maintenir		4		0.05334044539271903%
force		4		0.05334044539271903%
assurance		4		0.05334044539271903%
consultation		4		0.05334044539271903%
soin		4		0.05334044539271903%
établissement		4		0.05334044539271903%
loi		4		0.05334044539271903%
d		4		0.05334044539271903%
administration		4		0.05334044539271903%
haut		4		0.05334044539271903%
approvisionnement		4		0.05334044539271903%
technologie		4		0.05334044539271903%
industriel		4		0.05334044539271903%
r&d		4		0.05334044539271903%
savoir		4		0.05334044539271903%
préférentiel		4		0.05334044539271903%
chaîne		4		0.05334044539271903%
prise		4		0.05334044539271903%
consensus		4		0.05334044539271903%
respect		4		0.05334044539271903%
égalité		4		0.05334044539271903%
vaste		4		0.05334044539271903%
supervision		4		0.05334044539271903%
inter-détroit		4		0.05334044539271903%
éducation		4		0.05334044539271903%
apn		3		0.04000533404453927%
changement		3		0.04000533404453927%
revenu		3		0.04000533404453927%
quelle		3		0.04000533404453927%
améliorer		3		0.04000533404453927%
2020		3		0.04000533404453927%
personn		3		0.04000533404453927%
commerce		3		0.04000533404453927%
fermer		3		0.04000533404453927%
me		3		0.04000533404453927%
préoccuper		3		0.04000533404453927%
plusieurs		3		0.04000533404453927%
boutique		3		0.04000533404453927%
aux		3		0.04000533404453927%
stabilisation		3		0.04000533404453927%
employé		3		0.04000533404453927%
place		3		0.04000533404453927%
macroéconomique		3		0.04000533404453927%
après		3		0.04000533404453927%
avancer		3		0.04000533404453927%
idée		3		0.04000533404453927%
positif		3		0.04000533404453927%
tirer		3		0.04000533404453927%
central		3		0.04000533404453927%
Xi		3		0.04000533404453927%
Jinping		3		0.04000533404453927%
résultat		3		0.04000533404453927%
meilleur		3		0.04000533404453927%
face		3		0.04000533404453927%
environ		3		0.04000533404453927%
14		3		0.04000533404453927%
régler		3		0.04000533404453927%
priorité		3		0.04000533404453927%
réajuster		3		0.04000533404453927%
connaître		3		0.04000533404453927%
temps		3		0.04000533404453927%
200		3		0.04000533404453927%
gens		3		0.04000533404453927%
sécurité		3		0.04000533404453927%
actuellement		3		0.04000533404453927%
produit		3		0.04000533404453927%
ressource		3		0.04000533404453927%
appuyer		3		0.04000533404453927%
américain		3		0.04000533404453927%
égard		3		0.04000533404453927%
OMS		3		0.04000533404453927%
partager		3		0.04000533404453927%
nombre		3		0.04000533404453927%
exprimer		3		0.04000533404453927%
santé		3		0.04000533404453927%
rapidement		3		0.04000533404453927%
sanitaire		3		0.04000533404453927%
institution		3		0.04000533404453927%
certains		3		0.04000533404453927%
prévision		3		0.04000533404453927%
clairement		3		0.04000533404453927%
reste		3		0.04000533404453927%
100		3		0.04000533404453927%
000		3		0.04000533404453927%
laisser		3		0.04000533404453927%
réduction		3		0.04000533404453927%
divers		3		0.04000533404453927%
directement		3		0.04000533404453927%
argent		3		0.04000533404453927%
direct		3		0.04000533404453927%
projet		3		0.04000533404453927%
compter		3		0.04000533404453927%
où		3		0.04000533404453927%
pertinent		3		0.04000533404453927%
veiller		3		0.04000533404453927%
effectivement		3		0.04000533404453927%
manière		3		0.04000533404453927%
certain		3		0.04000533404453927%
dynamisme		3		0.04000533404453927%
exemple		3		0.04000533404453927%
ailleurs		3		0.04000533404453927%
bénéfice		3		0.04000533404453927%
gérer		3		0.04000533404453927%
remboursement		3		0.04000533404453927%
règlement		3		0.04000533404453927%
médicament		3		0.04000533404453927%
on		3		0.04000533404453927%
cours		3		0.04000533404453927%
famille		3		0.04000533404453927%
électoral		3		0.04000533404453927%
décision		3		0.04000533404453927%
bon		3		0.04000533404453927%
total		3		0.04000533404453927%
faille		3		0.04000533404453927%
principal		3		0.04000533404453927%
règle		3		0.04000533404453927%
protection		3		0.04000533404453927%
Biden		3		0.04000533404453927%
bilatéral		3		0.04000533404453927%
an		3		0.04000533404453927%
intérieur		3		0.04000533404453927%
stade		3		0.04000533404453927%
parvenir		3		0.04000533404453927%
responsabilité		3		0.04000533404453927%
revitaliser		3		0.04000533404453927%
pleinement		3		0.04000533404453927%
aujourd’hui		3		0.04000533404453927%
fardeau		3		0.04000533404453927%
équité		3		0.04000533404453927%
environnement		3		0.04000533404453927%
continental		3		0.04000533404453927%
nation		3		0.04000533404453927%
enseignant		3		0.04000533404453927%
concerne		3		0.04000533404453927%
intégral		2		0.026670222696359516%
palais		2		0.026670222696359516%
11		2		0.026670222696359516%
rencontrer		2		0.026670222696359516%
journaliste		2		0.026670222696359516%
couvrir		2		0.026670222696359516%
ccppc		2		0.026670222696359516%
ensuite		2		0.026670222696359516%
visioconférence		2		0.026670222696359516%
Monsieur		2		0.026670222696359516%
lieu		2		0.026670222696359516%
concret		2		0.026670222696359516%
contexte		2		0.026670222696359516%
consommation		2		0.026670222696359516%
primordial		2		0.026670222696359516%
ménage		2		0.026670222696359516%
fort		2		0.026670222696359516%
plupart		2		0.026670222696359516%
massif		2		0.026670222696359516%
petit		2		0.026670222696359516%
mois		2		0.026670222696359516%
licencier		2		0.026670222696359516%
demander		2		0.026670222696359516%
salaire		2		0.026670222696359516%
rien		2		0.026670222696359516%
lorsque		2		0.026670222696359516%
fois		2		0.026670222696359516%
repartir		2		0.026670222696359516%
facteur		2		0.026670222696359516%
raison		2		0.026670222696359516%
lequel		2		0.026670222696359516%
9		2		0.026670222696359516%
ferme		2		0.026670222696359516%
comité		2		0.026670222696359516%
résilience		2		0.026670222696359516%
surmonter		2		0.026670222696359516%
réussir		2		0.026670222696359516%
entrer		2		0.026670222696359516%
travailleur		2		0.026670222696359516%
migrant		2		0.026670222696359516%
pourquoi		2		0.026670222696359516%
six		2		0.026670222696359516%
servir		2		0.026670222696359516%
convaincre		2		0.026670222696359516%
progrès		2		0.026670222696359516%
clair		2		0.026670222696359516%
promotion		2		0.026670222696359516%
stabiliser		2		0.026670222696359516%
diversifier		2		0.026670222696359516%
mode		2		0.026670222696359516%
flexible		2		0.026670222696359516%
droit		2		0.026670222696359516%
sain		2		0.026670222696359516%
parler		2		0.026670222696359516%
