单词		词频		占比
organiser		1		0.05678591709256105%
réunion		1		0.05678591709256105%
nation		1		0.05678591709256105%
(		1		0.05678591709256105%
)		1		0.05678591709256105%
heureux		1		0.05678591709256105%
parmi		1		0.05678591709256105%
Cyril		1		0.05678591709256105%
Ramaphosa		1		0.05678591709256105%
aller		1		0.05678591709256105%
conduire		1		0.05678591709256105%
discussion		1		0.05678591709256105%
aujourd’hui		1		0.05678591709256105%
Moussa		1		0.05678591709256105%
Faki		1		0.05678591709256105%
Mahamat		1		0.05678591709256105%
présentation		1		0.05678591709256105%
pandémie		1		0.05678591709256105%
exacerber		1		0.05678591709256105%
engendrer		1		0.05678591709256105%
profond		1		0.05678591709256105%
impacts		1		0.05678591709256105%
politique		1		0.05678591709256105%
économique		1		0.05678591709256105%
poser		1		0.05678591709256105%
appeler		1		0.05678591709256105%
égard		1		0.05678591709256105%
proposition		1		0.05678591709256105%
quatre		1		0.05678591709256105%
point		1		0.05678591709256105%
premièrement		1		0.05678591709256105%
privilégier		1		0.05678591709256105%
ligne		1		0.05678591709256105%
défense		1		0.05678591709256105%
OMS		1		0.05678591709256105%
jouer		1		0.05678591709256105%
coordinateur		1		0.05678591709256105%
mobiliser		1		0.05678591709256105%
stratégie		1		0.05678591709256105%
obtenir		1		0.05678591709256105%
diagnostic		1		0.05678591709256105%
traitement		1		0.05678591709256105%
anti-épidémiqu		1		0.05678591709256105%
favoriser		1		0.05678591709256105%
accessibilité		1		0.05678591709256105%
abordabilité		1		0.05678591709256105%
PAM		1		0.05678591709256105%
femme		1		0.05678591709256105%
UNICEF		1		0.05678591709256105%
acteur		1		0.05678591709256105%
concerner		1		0.05678591709256105%
utiliser		1		0.05678591709256105%
respectif		1		0.05678591709256105%
transport		1		0.05678591709256105%
couvrir		1		0.05678591709256105%
dernier		1		0.05678591709256105%
livraison		1		0.05678591709256105%
sorte		1		0.05678591709256105%
population		1		0.05678591709256105%
pauvre		1		0.05678591709256105%
habitant		1		0.05678591709256105%
région		1		0.05678591709256105%
éloigné		1		0.05678591709256105%
vulnérable		1		0.05678591709256105%
prendre		1		0.05678591709256105%
charge		1		0.05678591709256105%
rapidement		1		0.05678591709256105%
effectivement		1		0.05678591709256105%
vision		1		0.05678591709256105%
long		1		0.05678591709256105%
terme		1		0.05678591709256105%
viser		1		0.05678591709256105%
contrôle		1		0.05678591709256105%
incident		1		0.05678591709256105%
réponse		1		0.05678591709256105%
maladie		1		0.05678591709256105%
infectieuse		1		0.05678591709256105%
vue		1		0.05678591709256105%
deuxièmement		1		0.05678591709256105%
objectif		1		0.05678591709256105%
pacifique		1		0.05678591709256105%
stable		1		0.05678591709256105%
70		1		0.05678591709256105%
pourcent		1		0.05678591709256105%
sujet		1		0.05678591709256105%
traiter		1		0.05678591709256105%
sein		1		0.05678591709256105%
concerne		1		0.05678591709256105%
n’		1		0.05678591709256105%
pas		1		0.05678591709256105%
étroite		1		0.05678591709256105%
manière		1		0.05678591709256105%
coordonnée		1		0.05678591709256105%
appel		1		0.05678591709256105%
cessez-le-feu		1		0.05678591709256105%
party		1		0.05678591709256105%
concentrer		1		0.05678591709256105%
riposte		1		0.05678591709256105%
hostilité		1		0.05678591709256105%
réconciliation		1		0.05678591709256105%
réalisation		1		0.05678591709256105%
consultation		1		0.05678591709256105%
annuel		1		0.05678591709256105%
élever		1		0.05678591709256105%
assumer		1		0.05678591709256105%
responsabilité		1		0.05678591709256105%
terrorisme		1		0.05678591709256105%
accélération		1		0.05678591709256105%
attente		1		0.05678591709256105%
réaction		1		0.05678591709256105%
immédiat		1		0.05678591709256105%
alerte		1		0.05678591709256105%
