单词		词频		占比
le		1259		9.550902746169019%
de		828		6.281292671825216%
et		502		3.808223334850554%
.		457		3.4668487331209223%
,		393		2.98133818843878%

		381		2.8903049613108784%
un		319		2.4199666211500532%
l’		313		2.3744500075861024%
à		285		2.162039144287665%
être		217		1.646184190562889%
avoir		190		1.44135942952511%
d’		175		1.3275678956152328%
Chine		157		1.1910180549233804%
pour		135		1.024123805188894%
dans		132		1.0013654984069187%
en		119		0.9027461690183585%
pays		117		0.8875739644970414%
nous		112		0.8496434531937491%
au		86		0.6524047944166288%
sur		82		0.6220603853739949%
que		81		0.6144742831133363%
plus		79		0.5993020785920194%
chinois		75		0.5689576695493855%
:		65		0.4930966469428008%
coopération		64		0.4855105446821423%
ce		61		0.4627522379001669%
avec		58		0.43999393111819146%
tout		57		0.432407828857533%
il		53		0.40206341981489907%
nouveau		52		0.39447731755424065%
monde		50		0.3793051130329237%
international		49		0.3717190107722652%
développement		48		0.36413290851160673%
faire		47		0.35654680625094826%
deux		47		0.35654680625094826%
relation		46		0.3489607039902898%
«		46		0.3489607039902898%
»		46		0.3489607039902898%
par		45		0.34137460172963136%
année		44		0.3337884994689728%
son		40		0.30344409042633896%
grand		38		0.288271885905022%
?		36		0.27309968138370505%
qui		34		0.2579274768623881%
entre		34		0.2579274768623881%
se		33		0.25034137460172967%
devoir		33		0.25034137460172967%
Wang		31		0.2351691700804127%
Yi		31		0.2351691700804127%
qu’		30		0.22758306781975418%
notre		30		0.22758306781975418%
vaccin		30		0.22758306781975418%
-		29		0.21999696555909573%
leur		28		0.21241086329843728%
peuple		27		0.20482476103777877%
pas		27		0.20482476103777877%
travailler		27		0.20482476103777877%
étranger		26		0.19723865877712032%
lui		25		0.18965255651646185%
région		25		0.18965255651646185%
ne		24		0.18206645425580337%
an		24		0.18206645425580337%
contre		23		0.1744803519951449%
n’		23		0.1744803519951449%
dernier		23		0.1744803519951449%
autre		23		0.1744803519951449%
diplomatie		22		0.1668942497344864%
covid-19		22		0.1668942497344864%
pouvoir		22		0.1668942497344864%
mondial		21		0.15930814747382793%
ASEAN		21		0.15930814747382793%
renforcer		20		0.15172204521316948%
communauté		19		0.144135942952511%
s’		19		0.144135942952511%
partager		19		0.144135942952511%
party		19		0.144135942952511%
politique		18		0.13654984069185253%
voir		18		0.13654984069185253%
depuis		18		0.13654984069185253%
important		18		0.13654984069185253%
commun		18		0.13654984069185253%
avenir		18		0.13654984069185253%
stabilité		18		0.13654984069185253%
y		18		0.13654984069185253%
Hong		18		0.13654984069185253%
Kong		18		0.13654984069185253%
bon		17		0.12896373843119405%
promouvoir		17		0.12896373843119405%
amitié		17		0.12896373843119405%
question		16		0.12137763617053557%
même		16		0.12137763617053557%
Xi		16		0.12137763617053557%
Jinping		16		0.12137763617053557%
intérêt		16		0.12137763617053557%
économique		16		0.12137763617053557%
américain		16		0.12137763617053557%
États-Unis		16		0.12137763617053557%
ensemble		15		0.11379153390987709%
premier		15		0.11379153390987709%
principe		15		0.11379153390987709%
multilatéralisme		15		0.11379153390987709%
paix		15		0.11379153390987709%
poursuivre		14		0.10620543164921864%
apporter		14		0.10620543164921864%
sans		14		0.10620543164921864%
président		14		0.10620543164921864%
échange		14		0.10620543164921864%
mutuel		14		0.10620543164921864%
Afrique		14		0.10620543164921864%
système		14		0.10620543164921864%
vous		13		0.09861932938856016%
tenir		13		0.09861932938856016%
encore		13		0.09861932938856016%
préserver		13		0.09861932938856016%
différent		13		0.09861932938856016%
continuer		13		0.09861932938856016%
initiative		13		0.09861932938856016%
partie		13		0.09861932938856016%
espérer		13		0.09861932938856016%
affaire		12		0.09103322712790168%
épidémie		12		0.09103322712790168%
toujours		12		0.09103322712790168%
comment		12		0.09103322712790168%
mettre		12		0.09103322712790168%
Parti		12		0.09103322712790168%
stratégique		12		0.09103322712790168%
cadre		12		0.09103322712790168%
route		12		0.09103322712790168%
c’		12		0.09103322712790168%
davantage		12		0.09103322712790168%
majeur		12		0.09103322712790168%
comme		12		0.09103322712790168%
Nations		12		0.09103322712790168%
national		11		0.0834471248672432%
contribuer		11		0.0834471248672432%
rôle		11		0.0834471248672432%
lutte		11		0.0834471248672432%
face		11		0.0834471248672432%
économie		11		0.0834471248672432%
uni		11		0.0834471248672432%
mais		11		0.0834471248672432%
fournir		11		0.0834471248672432%
Xinjiang		11		0.0834471248672432%
besoin		11		0.0834471248672432%
Myanmar		11		0.0834471248672432%
conférence		10		0.07586102260658474%
effort		10		0.07586102260658474%
votre		10		0.07586102260658474%
quel		10		0.07586102260658474%
cours		10		0.07586102260658474%
cela		10		0.07586102260658474%
droit		10		0.07586102260658474%
virus		10		0.07586102260658474%
santé		10		0.07586102260658474%
ouverture		10		0.07586102260658474%
connaître		10		0.07586102260658474%
