单词		词频		占比
le		249		10.769896193771626%
de		161		6.963667820069204%
et		127		5.493079584775087%
,		100		4.325259515570934%

		68		2.941176470588235%
.		68		2.941176470588235%
l’		50		2.162629757785467%
à		49		2.1193771626297577%
un		41		1.7733564013840832%
d’		32		1.384083044982699%
nous		30		1.2975778546712802%
pour		27		1.1678200692041523%
développement		27		1.1678200692041523%
dans		22		0.9515570934256056%
être		21		0.9083044982698962%
en		19		0.8217993079584774%
avoir		17		0.7352941176470588%
pays		17		0.7352941176470588%
covid-19		15		0.6487889273356401%
sur		15		0.6487889273356401%
que		15		0.6487889273356401%
tout		14		0.6055363321799307%
international		14		0.6055363321799307%
plus		12		0.5190311418685121%
coopération		11		0.4757785467128028%
devoir		11		0.4757785467128028%
par		11		0.4757785467128028%
mondial		10		0.43252595155709345%
Chine		9		0.38927335640138405%
monde		9		0.38927335640138405%
il		9		0.38927335640138405%
promouvoir		8		0.34602076124567477%
ce		8		0.34602076124567477%
économie		8		0.34602076124567477%
faire		8		0.34602076124567477%
économique		7		0.3027681660899654%
construction		7		0.3027681660899654%
falloir		7		0.3027681660899654%
avec		7		0.3027681660899654%
autre		7		0.3027681660899654%
au		6		0.25951557093425603%
BRICS		6		0.25951557093425603%
contre		6		0.25951557093425603%
peuple		6		0.25951557093425603%
ne		6		0.25951557093425603%
poursuivre		6		0.25951557093425603%
son		6		0.25951557093425603%
vaccin		6		0.25951557093425603%
nouveau		6		0.25951557093425603%
président		5		0.21626297577854672%
tenir		5		0.21626297577854672%
qui		5		0.21626297577854672%
système		5		0.21626297577854672%
s’		5		0.21626297577854672%
―		5		0.21626297577854672%
politique		5		0.21626297577854672%
entre		5		0.21626297577854672%
virus		5		0.21626297577854672%
activement		5		0.21626297577854672%
excellence		4		0.17301038062283738%
Monsieur		4		0.17301038062283738%
vie		4		0.17301038062283738%
santé		4		0.17301038062283738%
mettre		4		0.17301038062283738%
année		4		0.17301038062283738%
se		4		0.17301038062283738%
paix		4		0.17301038062283738%
davantage		4		0.17301038062283738%
notre		4		0.17301038062283738%
multilatéralisme		4		0.17301038062283738%
national		4		0.17301038062283738%
sécurité		4		0.17301038062283738%
effort		4		0.17301038062283738%
lutte		4		0.17301038062283738%
renforcer		4		0.17301038062283738%
afin		4		0.17301038062283738%
chinois		4		0.17301038062283738%
«		4		0.17301038062283738%
»		4		0.17301038062283738%
innovation		4		0.17301038062283738%
travailler		4		0.17301038062283738%
sommet		3		0.12975778546712802%
je		3		0.12975778546712802%
prendre		3		0.12975778546712802%
depuis		3		0.12975778546712802%
pratique		3		0.12975778546712802%
œuvrer		3		0.12975778546712802%
partager		3		0.12975778546712802%
meilleur		3		0.12975778546712802%
justice		3		0.12975778546712802%
unilatéralisme		3		0.12975778546712802%
état		3		0.12975778546712802%
droit		3		0.12975778546712802%
intérêt		3		0.12975778546712802%
Nations		3		0.12975778546712802%
centré		3		0.12975778546712802%
commun		3		0.12975778546712802%
durable		3		0.12975778546712802%
créer		3		0.12975778546712802%
solidarité		3		0.12975778546712802%
défi		3		0.12975778546712802%
réaliser		3		0.12975778546712802%
scientifique		3		0.12975778546712802%
bric		3		0.12975778546712802%
entendre		3		0.12975778546712802%
responsabilité		3		0.12975778546712802%
reprise		3		0.12975778546712802%
activité		3		0.12975778546712802%
coordination		3		0.12975778546712802%
bien		3		0.12975778546712802%
notamment		3		0.12975778546712802%
récemment		3		0.12975778546712802%
favoriser		3		0.12975778546712802%
vers		3		0.12975778546712802%
pas		3		0.12975778546712802%
circuit		3		0.12975778546712802%
main		2		0.08650519031141869%
2020		2		0.08650519031141869%
Poutine		2		0.08650519031141869%
premier		2		0.08650519031141869%
remercier		2		0.08650519031141869%
russe		2		0.08650519031141869%
