单词		词频		占比
le		178		8.412098298676748%
de		150		7.088846880907372%
,		88		4.158790170132325%
et		85		4.017013232514178%
l’		75		3.544423440453686%

		64		3.0245746691871456%
.		60		2.835538752362949%
à		53		2.504725897920605%
un		41		1.9376181474480152%
en		38		1.7958412098298677%
Afrique		33		1.559546313799622%
Chine		28		1.3232514177693762%
avoir		27		1.275992438563327%
être		26		1.2287334593572778%
pour		24		1.1342155009451798%
africain		22		1.0396975425330812%
coopération		19		0.8979206049149339%
nous		18		0.8506616257088847%
pays		17		0.8034026465028355%
dans		16		0.7561436672967864%
d’		15		0.7088846880907372%
développement		15		0.7088846880907372%
plus		14		0.6616257088846881%
sur		14		0.6616257088846881%
nouveau		11		0.5198487712665406%
avec		10		0.4725897920604915%
devoir		9		0.42533081285444235%
je		8		0.3780718336483932%
que		8		0.3780718336483932%
international		8		0.3780718336483932%
sino-africain		8		0.3780718336483932%
ensemble		7		0.33081285444234404%
excellence		7		0.33081285444234404%
au		7		0.33081285444234404%
chinois		7		0.33081285444234404%
vous		7		0.33081285444234404%
son		7		0.33081285444234404%
soutien		6		0.28355387523629494%
initiative		6		0.28355387523629494%
promouvoir		6		0.28355387523629494%
justice		6		0.28355387523629494%
journée		5		0.23629489603024575%
important		5		0.23629489603024575%
amitié		5		0.23629489603024575%
ce		5		0.23629489603024575%
par		5		0.23629489603024575%
commun		5		0.23629489603024575%
année		5		0.23629489603024575%
renforcer		5		0.23629489603024575%
solidarité		5		0.23629489603024575%
leur		5		0.23629489603024575%
covid-19		5		0.23629489603024575%
«		5		0.23629489603024575%
»		5		0.23629489603024575%
avenir		4		0.1890359168241966%
affaire		4		0.1890359168241966%
occasion		4		0.1890359168241966%
ambassadeur		4		0.1890359168241966%
madame		4		0.1890359168241966%
monsieur		4		0.1890359168241966%
cher		4		0.1890359168241966%
ami		4		0.1890359168241966%
tenir		4		0.1890359168241966%
peuple		4		0.1890359168241966%
tout		4		0.1890359168241966%
entre		4		0.1890359168241966%
lutte		4		0.1890359168241966%
dernier		4		0.1890359168241966%
-		4		0.1890359168241966%
effort		4		0.1890359168241966%
s’		4		0.1890359168241966%
il		4		0.1890359168241966%
toujours		4		0.1890359168241966%
se		4		0.1890359168241966%
soutenir		4		0.1890359168241966%
intérêt		4		0.1890359168241966%
face		4		0.1890359168241966%
contre		4		0.1890359168241966%
vaccin		4		0.1890359168241966%
mettre		4		0.1890359168241966%
projet		4		0.1890359168241966%
cadre		4		0.1890359168241966%
fcsa		4		0.1890359168241966%
notre		4		0.1890359168241966%
investissement		4		0.1890359168241966%
apporter		4		0.1890359168241966%
faire		4		0.1890359168241966%
sécurité		4		0.1890359168241966%
conférence		4		0.1890359168241966%
relation		3		0.14177693761814747%
sino-africaine		3		0.14177693761814747%
Monsieur		3		0.14177693761814747%
grand		3		0.14177693761814747%
célébrer		3		0.14177693761814747%
mon		3		0.14177693761814747%
contribution		3		0.14177693761814747%
donner		3		0.14177693761814747%
créer		3		0.14177693761814747%
intégration		3		0.14177693761814747%
dynamique		3		0.14177693761814747%
paix		3		0.14177693761814747%
bien-être		3		0.14177693761814747%
majeur		3		0.14177693761814747%
—		3		0.14177693761814747%
sanitaire		3		0.14177693761814747%
prendre		3		0.14177693761814747%
qui		3		0.14177693761814747%
médical		3		0.14177693761814747%
partager		3		0.14177693761814747%
forum		3		0.14177693761814747%
aux		3		0.14177693761814747%
continuer		3		0.14177693761814747%
œuvre		3		0.14177693761814747%
équité		3		0.14177693761814747%
multilatéralisme		3		0.14177693761814747%
qu’		3		0.14177693761814747%
vue		3		0.14177693761814747%
défendre		3		0.14177693761814747%
Xinjiang		3		0.14177693761814747%
allocution		2		0.0945179584120983%
réception		2		0.0945179584120983%
offrir		2		0.0945179584120983%
Beijing		2		0.0945179584120983%
doyen		2		0.0945179584120983%
Union		2		0.0945179584120983%
c’		2		0.0945179584120983%
frère		2		0.0945179584120983%
58		2		0.0945179584120983%
gouvernement		2		0.0945179584120983%
chaleureux		2		0.0945179584120983%
approfondissement		2		0.0945179584120983%
promotion		2		0.0945179584120983%
commémorer		2		0.0945179584120983%
indépendance		2		0.0945179584120983%
unité		2		0.0945179584120983%
remercier		2		0.0945179584120983%
président		2		0.0945179584120983%
commission		2		0.0945179584120983%
aussi		2		0.0945179584120983%
marche		2		0.0945179584120983%
vers		2		0.0945179584120983%
échange		2		0.0945179584120983%
(		2		0.0945179584120983%
ZLECAf		2		0.0945179584120983%
)		2		0.0945179584120983%
lancer		2		0.0945179584120983%
progrès		2		0.0945179584120983%
voir		2		0.0945179584120983%
rôle		2		0.0945179584120983%
côte		2		0.0945179584120983%
avancer		2		0.0945179584120983%
main		2		0.0945179584120983%
économique		2		0.0945179584120983%
mutuellement		2		0.0945179584120983%
autre		2		0.0945179584120983%
défi		2		0.0945179584120983%
surmonter		2		0.0945179584120983%
difficulté		2		0.0945179584120983%
UA		2		0.0945179584120983%
suivre		2		0.0945179584120983%
sommet		2		0.0945179584120983%
là		2		0.0945179584120983%
bel		2		0.0945179584120983%
illustration		2		0.0945179584120983%
continent		2		0.0945179584120983%
aide		2		0.0945179584120983%
matériel		2		0.0945179584120983%
15		2		0.0945179584120983%
partenariat		2		0.0945179584120983%
hôpital		2		0.0945179584120983%
20		2		0.0945179584120983%
santé		2		0.0945179584120983%
tôt		2		0.0945179584120983%
siège		2		0.0945179584120983%
cdc		2		0.0945179584120983%
concret		2		0.0945179584120983%
communauté		2		0.0945179584120983%
service		2		0.0945179584120983%
signer		2		0.0945179584120983%
ou		2		0.0945179584120983%
sans		2		0.0945179584120983%
2020		2		0.0945179584120983%
pleinement		2		0.0945179584120983%
rester		2		0.0945179584120983%
commercial		2		0.0945179584120983%
milliard		2		0.0945179584120983%
dollar		2		0.0945179584120983%
américain		2		0.0945179584120983%
reprise		2		0.0945179584120983%
ceinture		2		0.0945179584120983%
route		2		0.0945179584120983%
approfondir		2		0.0945179584120983%
résultat		2		0.0945179584120983%
assurer		2		0.0945179584120983%
qualité		2		0.0945179584120983%
pourcent		2		0.0945179584120983%
mesure		2		0.0945179584120983%
changement		2		0.0945179584120983%
