单词		词频		占比
le		149		9.675324675324676%
de		118		7.662337662337662%
et		62		4.025974025974026%
,		57		3.7012987012987013%

		52		3.3766233766233764%
un		50		3.2467532467532463%
.		48		3.116883116883117%
l’		32		2.0779220779220777%
à		31		2.012987012987013%
pour		30		1.948051948051948%
nous		23		1.4935064935064934%
dans		21		1.3636363636363635%
être		18		1.1688311688311688%
développement		17		1.103896103896104%
en		16		1.0389610389610389%
d’		16		1.0389610389610389%
devoir		14		0.9090909090909091%
plus		12		0.7792207792207793%
sur		11		0.7142857142857143%
tout		11		0.7142857142857143%
national		10		0.6493506493506493%
terre		9		0.5844155844155844%
nature		9		0.5844155844155844%
parc		9		0.5844155844155844%
Chine		8		0.5194805194805194%
homme		8		0.5194805194805194%
protéger		8		0.5194805194805194%
civilisation		8		0.5194805194805194%
avoir		8		0.5194805194805194%
biodiversité		7		0.45454545454545453%
notre		7		0.45454545454545453%
écologique		7		0.45454545454545453%
environnement		7		0.45454545454545453%
au		6		0.38961038961038963%
mettre		6		0.38961038961038963%
vie		5		0.3246753246753247%
peuple		5		0.3246753246753247%
faire		5		0.3246753246753247%
son		5		0.3246753246753247%
conservation		5		0.3246753246753247%
international		5		0.3246753246753247%
vert		5		0.3246753246753247%
protection		5		0.3246753246753247%
bâtir		4		0.2597402597402597%
ensemble		4		0.2597402597402597%
communauté		4		0.2597402597402597%
cher		4		0.2597402597402597%
c’		4		0.2597402597402597%
planète		4		0.2597402597402597%
avenir		4		0.2597402597402597%
objectif		4		0.2597402597402597%
monde		4		0.2597402597402597%
construire		4		0.2597402597402597%
naturel		4		0.2597402597402597%
économique		4		0.2597402597402597%
gagnant		4		0.2597402597402597%
pays		4		0.2597402597402597%
main		4		0.2597402597402597%
place		4		0.2597402597402597%
ce		4		0.2597402597402597%
party		3		0.19480519480519481%
collègue		3		0.19480519480519481%
grand		3		0.19480519480519481%
Kunming		3		0.19480519480519481%
«		3		0.19480519480519481%
harmonie		3		0.19480519480519481%
que		3		0.19480519480519481%
il		3		0.19480519480519481%
»		3		0.19480519480519481%
durable		3		0.19480519480519481%
mondial		3		0.19480519480519481%
renforcer		3		0.19480519480519481%
où		3		0.19480519480519481%
qui		3		0.19480519480519481%
accélérer		3		0.19480519480519481%
économie		3		0.19480519480519481%
équitable		3		0.19480519480519481%
nouveau		3		0.19480519480519481%
vision		3		0.19480519480519481%
gouvernance		3		0.19480519480519481%
désert		3		0.19480519480519481%
apporter		3		0.19480519480519481%
système		3		0.19480519480519481%
construction		3		0.19480519480519481%
leur		3		0.19480519480519481%
premier		3		0.19480519480519481%
quinzième		2		0.12987012987012986%
réunion		2		0.12987012987012986%
conférence		2		0.12987012987012986%
convention		2		0.12987012987012986%
diversité		2		0.12987012987012986%
biologique		2		0.12987012987012986%
nom		2		0.12987012987012986%
chinois		2		0.12987012987012986%
je		2		0.12987012987012986%
comme		2		0.12987012987012986%
vivre		2		0.12987012987012986%
qu’		2		0.12987012987012986%
base		2		0.12987012987012986%
aide		2		0.12987012987012986%
commun		2		0.12987012987012986%
promouvoir		2		0.12987012987012986%
placer		2		0.12987012987012986%
partager		2		0.12987012987012986%
occasion		2		0.12987012987012986%
suivre		2		0.12987012987012986%
coopération		2		0.12987012987012986%
effort		2		0.12987012987012986%
coexister		2		0.12987012987012986%
quand		2		0.12987012987012986%
lui		2		0.12987012987012986%
sans		2		0.12987012987012986%
toujours		2		0.12987012987012986%
cœur		2		0.12987012987012986%
sentiment		2		0.12987012987012986%
respecter		2		0.12987012987012986%
richesse		2		0.12987012987012986%
mais		2		0.12987012987012986%
aussi		2		0.12987012987012986%
social		2		0.12987012987012986%
résultat		2		0.12987012987012986%
-		2		0.12987012987012986%
aller		2		0.12987012987012986%
défi		2		0.12987012987012986%
face		2		0.12987012987012986%
manière		2		0.12987012987012986%
environnemental		2		0.12987012987012986%
développer		2		0.12987012987012986%
plein		2		0.12987012987012986%
bel		2		0.12987012987012986%
travailler		2		0.12987012987012986%
vers		2		0.12987012987012986%
