单词		词频		占比
le		2532		10.876288659793815%
de		2429		10.43384879725086%
et		1014		4.355670103092783%
,		961		4.128006872852233%
.		672		2.88659793814433%

		602		2.585910652920962%
à		588		2.5257731958762886%
un		394		1.6924398625429553%
nous		328		1.4089347079037802%
en		310		1.331615120274914%
être		290		1.245704467353952%
avoir		216		0.9278350515463918%
pour		178		0.7646048109965635%
dans		167		0.7173539518900344%
que		152		0.6529209621993127%
développement		117		0.5025773195876289%
tout		115		0.4939862542955326%
sur		108		0.4639175257731959%
plus		104		0.4467353951890034%
au		102		0.4381443298969072%
notre		102		0.4381443298969072%
ce		100		0.429553264604811%
leur		99		0.4252577319587629%
il		94		0.4037800687285224%
se		93		0.3994845360824742%
devoir		85		0.3651202749140893%
par		84		0.36082474226804123%
faire		83		0.35652920962199314%
réforme		82		0.35223367697594504%
nouveau		79		0.3393470790378007%
entreprise		70		0.30068728522336774%
qui		69		0.2963917525773196%
;		63		0.2706185567010309%
renforcer		63		0.2706185567010309%
marché		61		0.26202749140893467%
politique		58		0.24914089347079035%
améliorer		58		0.24914089347079035%
«		57		0.24484536082474226%
»		57		0.24484536082474226%
grand		56		0.24054982817869416%
système		56		0.24054982817869416%
région		53		0.22766323024054985%
service		52		0.2233676975945017%
-		46		0.19759450171821305%
falloir		46		0.19759450171821305%
économique		45		0.19329896907216496%
son		45		0.19329896907216496%
poursuivre		44		0.18900343642611683%
mesure		44		0.18900343642611683%
économie		43		0.1847079037800687%
public		43		0.1847079037800687%
ainsi		42		0.18041237113402062%
avec		42		0.18041237113402062%
chinois		40		0.1718213058419244%
année		39		0.16752577319587628%
contre		39		0.16752577319587628%
social		38		0.16323024054982818%
effort		38		0.16323024054982818%
accélérer		37		0.15893470790378006%
base		37		0.15893470790378006%
innovation		35		0.15034364261168387%
Chine		34		0.14604810996563575%
mettre		34		0.14604810996563575%
appliquer		34		0.14604810996563575%
assurer		34		0.14604810996563575%
contrôle		33		0.14175257731958762%
pourcent		32		0.13745704467353953%
bien		32		0.13745704467353953%
loi		32		0.13745704467353953%
secteur		31		0.1331615120274914%
promouvoir		31		0.1331615120274914%
rural		31		0.1331615120274914%
niveau		30		0.12886597938144329%
pays		29		0.12457044673539518%
augmenter		29		0.12457044673539518%
ou		29		0.12457044673539518%
financier		28		0.12027491408934708%
mener		28		0.12027491408934708%
encourager		28		0.12027491408934708%
afin		28		0.12027491408934708%
favoriser		28		0.12027491408934708%
assurance		27		0.11597938144329897%
ne		27		0.11597938144329897%
manière		27		0.11597938144329897%
national		26		0.11168384879725085%
emploi		26		0.11168384879725085%
risque		26		0.11168384879725085%
difficulté		25		0.10738831615120276%
croissance		25		0.10738831615120276%
développer		25		0.10738831615120276%
application		25		0.10738831615120276%
mécanisme		25		0.10738831615120276%
activité		24		0.10309278350515465%
peuple		24		0.10309278350515465%
central		24		0.10309278350515465%
matière		24		0.10309278350515465%
population		24		0.10309278350515465%
qualité		24		0.10309278350515465%
campagne		24		0.10309278350515465%
aller		23		0.09879725085910653%
taux		23		0.09879725085910653%
industrie		23		0.09879725085910653%
étranger		23		0.09879725085910653%
pouvoir		23		0.09879725085910653%
traitement		23		0.09879725085910653%
état		22		0.09450171821305842%
travail		22		0.09450171821305842%
réaliser		22		0.09450171821305842%
édification		22		0.09450171821305842%
local		22		0.09450171821305842%
environnement		22		0.09450171821305842%
projet		22		0.09450171821305842%
soutien		22		0.09450171821305842%
Parti		21		0.09020618556701031%
comme		21		0.09020618556701031%
société		21		0.09020618556701031%
acteur		21		0.09020618556701031%
lutte		21		0.09020618556701031%
maladie		21		0.09020618556701031%
veiller		21		0.09020618556701031%
protection		21		0.09020618556701031%
sans		21		0.09020618556701031%
affaire		20		0.0859106529209622%
maintenir		20		0.0859106529209622%
milliard		20		0.0859106529209622%
yuan		20		0.0859106529209622%
million		20		0.0859106529209622%
zone		20		0.0859106529209622%
investissement		20		0.0859106529209622%
pas		20		0.0859106529209622%
prendre		20		0.0859106529209622%
créer		19		0.08161512027491409%
continuer		19		0.08161512027491409%
scientifique		19		0.08161512027491409%
ouverture		19		0.08161512027491409%
agir		19		0.08161512027491409%
prévention		19		0.08161512027491409%
ville		19		0.08161512027491409%
concerner		19		0.08161512027491409%
construction		19		0.08161512027491409%
intérêt		19		0.08161512027491409%
gouvernement		18		0.07731958762886598%
plan		18		0.07731958762886598%
progrès		18		0.07731958762886598%
intégral		18		0.07731958762886598%
:		18		0.07731958762886598%
moyen		18		0.07731958762886598%
viser		18		0.07731958762886598%
administratif		18		0.07731958762886598%
pauvreté		18		0.07731958762886598%
personne		18		0.07731958762886598%
divers		18		0.07731958762886598%
réduire		18		0.07731958762886598%
réduction		18		0.07731958762886598%
enseignement		18		0.07731958762886598%
objectif		17		0.07302405498281787%
consommation		17		0.07302405498281787%
international		17		0.07302405498281787%
capital		17		0.07302405498281787%
autre		17		0.07302405498281787%
vie		17		0.07302405498281787%
pollution		17		0.07302405498281787%
problème		17		0.07302405498281787%
fiscal		17		0.07302405498281787%
réel		17		0.07302405498281787%
capacité		17		0.07302405498281787%
coopération		17		0.07302405498281787%
droit		17		0.07302405498281787%
armée		17		0.07302405498281787%
fondamental		17		0.07302405498281787%
populaire		16		0.06872852233676977%
même		16		0.06872852233676977%
nombre		16		0.06872852233676977%
approfondir		16		0.06872852233676977%
permettre		16		0.06872852233676977%
régulier		16		0.06872852233676977%
général		16		0.06872852233676977%
domaine		16		0.06872852233676977%
grave		16		0.06872852233676977%
