单词		词频		占比
le		368		10.823529411764705%
de		306		9.0%
et		151		4.4411764705882355%
,		140		4.117647058823529%
l’		76		2.235294117647059%
.		71		2.088235294117647%

		70		2.0588235294117645%
un		70		2.0588235294117645%
à		68		2.0%
sur		61		1.7941176470588234%
diplomatie		53		1.5588235294117647%
pensée		48		1.411764705882353%
Xi		43		1.2647058823529411%
Jinping		43		1.2647058823529411%
d’		40		1.1764705882352942%
chinois		34		1.0%
dans		32		0.9411764705882352%
pour		31		0.9117647058823529%
être		30		0.8823529411764706%
nouveau		30		0.8823529411764706%
en		29		0.8529411764705883%
grand		26		0.7647058823529412%
avoir		23		0.676470588235294%
international		23		0.676470588235294%
nous		22		0.6470588235294118%
pays		19		0.5588235294117647%
monde		18		0.5294117647058824%
notre		18		0.5294117647058824%
développement		17		0.5%
Chine		16		0.4705882352941176%
tout		15		0.4411764705882353%
faire		15		0.4411764705882353%
«		15		0.4411764705882353%
»		15		0.4411764705882353%
plus		15		0.4411764705882353%
au		14		0.411764705882353%
qui		14		0.411764705882353%
ce		14		0.411764705882353%
caractéristique		13		0.3823529411764706%
diplomatique		13		0.3823529411764706%
théorie		13		0.3823529411764706%
son		11		0.3235294117647059%
pratique		11		0.3235294117647059%
devoir		11		0.3235294117647059%
partager		11		0.3235294117647059%
humanité		10		0.29411764705882354%
par		10		0.29411764705882354%
relation		10		0.29411764705882354%
mondial		10		0.29411764705882354%
politique		10		0.29411764705882354%
ère		9		0.2647058823529412%
s’		9		0.2647058823529412%
important		8		0.2352941176470588%
histoire		8		0.2352941176470588%
que		8		0.2352941176470588%
socialisme		8		0.2352941176470588%
nation		8		0.2352941176470588%
avec		8		0.2352941176470588%
entre		8		0.2352941176470588%
traditionnel		8		0.2352941176470588%
lui		7		0.2058823529411765%
action		7		0.2058823529411765%
principe		7		0.2058823529411765%
gouvernance		7		0.2058823529411765%
communauté		7		0.2058823529411765%
se		7		0.2058823529411765%
secrétaire		6		0.17647058823529413%
général		6		0.17647058823529413%
vision		6		0.17647058823529413%
position		6		0.17647058823529413%
avancer		6		0.17647058823529413%
coopération		6		0.17647058823529413%
renforcer		6		0.17647058823529413%
intérêt		6		0.17647058823529413%
sans		5		0.14705882352941177%
cesse		5		0.14705882352941177%
centre		5		0.14705882352941177%
étude		5		0.14705882352941177%
ainsi		5		0.14705882352941177%
époque		5		0.14705882352941177%
profond		5		0.14705882352941177%
construire		5		0.14705882352941177%
comité		5		0.14705882352941177%
central		5		0.14705882352941177%
PCC		5		0.14705882352941177%
-		5		0.14705882352941177%
système		5		0.14705882352941177%
plan		5		0.14705882352941177%
avenir		5		0.14705882352941177%
marxisme		5		0.14705882352941177%
manière		5		0.14705882352941177%
il		5		0.14705882352941177%
peuple		5		0.14705882352941177%
profondeur		4		0.1176470588235294%
ouvrir		4		0.1176470588235294%
perspective		4		0.1176470588235294%
recherche		4		0.1176470588235294%
cher		4		0.1176470588235294%
collègue		4		0.1176470588235294%
aujourd’hui		4		0.1176470588235294%
c’		4		0.1176470588235294%
camarade		4		0.1176470588235294%
depuis		4		0.1176470588235294%
aussi		4		0.1176470588235294%
temps		4		0.1176470588235294%
global		4		0.1176470588235294%
concept		4		0.1176470588235294%
initiative		4		0.1176470588235294%
esprit		4		0.1176470588235294%
progrès		4		0.1176470588235294%
fondamental		4		0.1176470588235294%
historique		4		0.1176470588235294%
gagnant		4		0.1176470588235294%
réforme		4		0.1176470588235294%
scientifique		4		0.1176470588235294%
construction		4		0.1176470588235294%
type		4		0.1176470588235294%
essentiel		4		0.1176470588235294%
dire		4		0.1176470588235294%
bien		4		0.1176470588235294%
commun		4		0.1176470588235294%
effort		4		0.1176470588235294%
travailler		3		0.08823529411764706%
année		3		0.08823529411764706%
théorique		3		0.08823529411764706%
riche		3		0.08823529411764706%
n’		3		0.08823529411764706%
renouveau		3		0.08823529411764706%
même		3		0.08823529411764706%
voir		3		0.08823529411764706%
changement		3		0.08823529411764706%
face		3		0.08823529411764706%
situation		3		0.08823529411764706%
juste		3		0.08823529411764706%
loi		3		0.08823529411764706%
humain		3		0.08823529411764706%
idée		3		0.08823529411764706%
incarner		3		0.08823529411764706%
tendance		3		0.08823529411764706%
apporter		3		0.08823529411764706%
ordre		3		0.08823529411764706%
savoir		3		0.08823529411764706%
base		3		0.08823529411764706%
jour		3		0.08823529411764706%
dernier		3		0.08823529411764706%
direction		3		0.08823529411764706%
mettre		3		0.08823529411764706%
;		3		0.08823529411764706%
promouvoir		3		0.08823529411764706%
cadre		3		0.08823529411764706%
route		3		0.08823529411764706%
bénéfice		3		0.08823529411764706%
mondialisation		3		0.08823529411764706%
contre		3		0.08823529411764706%
importance		3		0.08823529411764706%
porter		3		0.08823529411764706%
prendre		3		0.08823529411764706%
inscrire		3		0.08823529411764706%
acquérir		3		0.08823529411764706%
saisir		3		0.08823529411764706%
économique		3		0.08823529411764706%
associer		3		0.08823529411764706%
enrichir		3		0.08823529411764706%
développer		3		0.08823529411764706%
portée		3		0.08823529411764706%
réaliser		3		0.08823529411764706%
justice		3		0.08823529411764706%
hauteur		3		0.08823529411764706%
paix		3		0.08823529411764706%
égard		3		0.08823529411764706%
davantage		3		0.08823529411764706%
approche		3		0.08823529411764706%
ouverture		3		0.08823529411764706%
Parti		3		0.08823529411764706%
afin		3		0.08823529411764706%
capacité		3		0.08823529411764706%
appliquer		2		0.0588235294117647%
état		2		0.0588235294117647%
affaire		2		0.0588235294117647%
étranger		2		0.0588235294117647%
marquer		2		0.0588235294117647%
je		2		0.0588235294117647%
front		2		0.0588235294117647%
mon		2		0.0588235294117647%
également		2		0.0588235294117647%
édification		2		0.0588235294117647%
montre		2		0.0588235294117647%
donner		2		0.0588235294117647%
parti		2		0.0588235294117647%
couleur		2		0.0588235294117647%
haut		2		0.0588235294117647%
voie		2		0.0588235294117647%
essor		2		0.0588235294117647%
grandiose		2		0.0588235294117647%
proche		2		0.0588235294117647%
rêve		2		0.0588235294117647%
jamais		2		0.0588235294117647%
traverse		2		0.0588235294117647%
transformation		2		0.0588235294117647%
siècle		2		0.0588235294117647%
aux		2		0.0588235294117647%
société		2		0.0588235294117647%
analyse		2		0.0588235294117647%
question		2		0.0588235294117647%
majeur		2		0.0588235294117647%
quel		2		0.0588235294117647%
suivre		2		0.0588235294117647%
retour		2		0.0588235294117647%
ferme		2		0.0588235294117647%
grâce		2		0.0588235294117647%
lumière		2		0.0588235294117647%
poursuivre		2		0.0588235294117647%
succès		2		0.0588235294117647%
:		2		0.0588235294117647%
activement		2		0.0588235294117647%
bâtir		2		0.0588235294117647%
réseau		2		0.0588235294117647%
partenariat		2		0.0588235294117647%
place		2		0.0588235294117647%
différent		2		0.0588235294117647%
niveau		2		0.0588235294117647%
ceinture		2		0.0588235294117647%
contribution		2		0.0588235294117647%
sorte		2		0.0588235294117647%
sens		2		0.0588235294117647%
pleinement		2		0.0588235294117647%
covid-19		2		0.0588235294117647%
santé		2		0.0588235294117647%
acquis		2		0.0588235294117647%
contemporain		2		0.0588235294117647%
étudier		2		0.0588235294117647%
composante		2		0.0588235294117647%
cause		2		0.0588235294117647%
autour		2		0.0588235294117647%
stratégique		2		0.0588235294117647%
réalisation		2		0.0588235294117647%
plein		2		0.0588235294117647%
extérieur		2		0.0588235294117647%
victoire		2		0.0588235294117647%
connaissance		2		0.0588235294117647%
régir		2		0.0588235294117647%
refléter		2		0.0588235294117647%
comme		2		0.0588235294117647%
pas		2		0.0588235294117647%
méthode		2		0.0588235294117647%
fidèle		2		0.0588235294117647%
marxiste		2		0.0588235294117647%
reste		2		0.0588235294117647%
rapport		2		0.0588235294117647%
toujours		2		0.0588235294117647%
valeur		2		0.0588235294117647%
culture		2		0.0588235294117647%
empreinte		2		0.0588235294117647%
créatif		2		0.0588235294117647%
aspiration		2		0.0588235294117647%
appuyer		2		0.0588235294117647%
ancien		2		0.0588235294117647%
coexistence		2		0.0588235294117647%
pacifique		2		0.0588235294117647%
moral		2		0.0588235294117647%
valoriser		2		0.0588235294117647%
celui		2		0.0588235294117647%
civilisation		2		0.0588235294117647%
travail		2		0.0588235294117647%
amitié		2		0.0588235294117647%
sincérité		2		0.0588235294117647%
mutuel		2		0.0588235294117647%
région		2		0.0588235294117647%
résolument		2		0.0588235294117647%
moins		2		0.0588235294117647%
sécurité		2		0.0588235294117647%
seul		2		0.0588235294117647%
aller		2		0.0588235294117647%
leur		2		0.0588235294117647%
matière		2		0.0588235294117647%
confiance		2		0.0588235294117647%
accroître		2		0.0588235294117647%
guide		2		0.0588235294117647%
opportunité		2		0.0588235294117647%
compréhension		2		0.0588235294117647%
contenu		2		0.0588235294117647%
création		2		0.0588235294117647%
approfondir		2		0.0588235294117647%
terme		2		0.0588235294117647%
falloir		2		0.0588235294117647%
échange		2		0.0588235294117647%
profondément		2		0.0588235294117647%
guider		2		0.0588235294117647%
ÉTUDIER		1		0.02941176470588235%
xi		1		0.02941176470588235%
JINPING		1		0.02941176470588235%
nouvelle		1		0.02941176470588235%
CHINOISES		1		0.02941176470588235%
allocution		1		0.02941176470588235%
cérémonie		1		0.02941176470588235%
inauguration		1		0.02941176470588235%
m.		1		0.02941176470588235%
Wang		1		0.02941176470588235%
Yi		1		0.02941176470588235%
conseiller		1		0.02941176470588235%
