单词		词频		占比
le		205		8.798283261802576%
de		189		8.111587982832617%
et		95		4.07725321888412%
,		80		3.4334763948497855%

		71		3.0472103004291844%
.		68		2.9184549356223175%
l’		67		2.875536480686695%
à		45		1.9313304721030045%
Chine		45		1.9313304721030045%
en		42		1.8025751072961373%
un		40		1.7167381974248928%
Afrique		40		1.7167381974248928%
pour		38		1.6309012875536482%
d’		32		1.3733905579399142%
africain		29		1.2446351931330473%
coopération		23		0.9871244635193134%
dans		20		0.8583690987124464%
développement		20		0.8583690987124464%
avoir		17		0.7296137339055794%
sur		15		0.6437768240343348%
pays		15		0.6437768240343348%
-		14		0.6008583690987125%
être		12		0.5150214592274678%
nous		12		0.5150214592274678%
soutenir		12		0.5150214592274678%
programme		11		0.4721030042918455%
sino-africain		10		0.4291845493562232%
tout		10		0.4291845493562232%
ce		10		0.4291845493562232%
avec		10		0.4291845493562232%
mettre		10		0.4291845493562232%
projet		10		0.4291845493562232%
que		9		0.38626609442060084%
au		8		0.34334763948497854%
par		8		0.34334763948497854%
lui		8		0.34334763948497854%
«		8		0.34334763948497854%
»		8		0.34334763948497854%
dix		8		0.34334763948497854%
partager		7		0.30042918454935624%
ami		7		0.30042918454935624%
amitié		7		0.30042918454935624%
milliard		7		0.30042918454935624%
réaliser		7		0.30042918454935624%
cher		6		0.2575107296137339%
relation		6		0.2575107296137339%
initiative		6		0.2575107296137339%
chinois		6		0.2575107296137339%
vert		6		0.2575107296137339%
entreprise		6		0.2575107296137339%
avenir		5		0.2145922746781116%
conférence		5		0.2145922746781116%
forum		5		0.2145922746781116%
grand		5		0.2145922746781116%
je		5		0.2145922746781116%
an		5		0.2145922746781116%
contre		5		0.2145922746781116%
esprit		5		0.2145922746781116%
commun		5		0.2145922746781116%
plus		5		0.2145922746781116%
son		5		0.2145922746781116%
œuvre		5		0.2145922746781116%
place		5		0.2145922746781116%
promotion		5		0.2145922746781116%
dollar		5		0.2145922746781116%
américain		5		0.2145922746781116%
10		5		0.2145922746781116%
communauté		4		0.17167381974248927%
président		4		0.17167381974248927%
changement		4		0.17167381974248927%
nouveau		4		0.17167381974248927%
qu’		4		0.17167381974248927%
notre		4		0.17167381974248927%
intérêt		4		0.17167381974248927%
promouvoir		4		0.17167381974248927%
j’		4		0.17167381974248927%
construire		4		0.17167381974248927%
