单词		词频		占比
le		161		9.698795180722891%
de		109		6.566265060240964%
et		71		4.27710843373494%
,		68		4.096385542168675%

		55		3.313253012048193%
.		54		3.2530120481927707%
l’		53		3.1927710843373496%
à		35		2.108433734939759%
un		31		1.8674698795180724%
être		23		1.3855421686746987%
pour		19		1.144578313253012%
dans		18		1.0843373493975903%
devoir		18		1.0843373493975903%
multilatéralisme		17		1.0240963855421688%
sur		15		0.9036144578313252%
en		15		0.9036144578313252%
avoir		15		0.9036144578313252%
développement		15		0.9036144578313252%
pays		13		0.783132530120482%
tout		13		0.783132530120482%
paix		12		0.7228915662650602%
international		11		0.6626506024096386%
Chine		11		0.6626506024096386%
par		11		0.6626506024096386%
ONU		10		0.6024096385542169%
nous		10		0.6024096385542169%
son		9		0.5421686746987951%
plus		9		0.5421686746987951%
au		9		0.5421686746987951%
sécurité		8		0.48192771084337355%
d’		8		0.48192771084337355%
ce		8		0.48192771084337355%
que		8		0.48192771084337355%
faire		8		0.48192771084337355%
il		7		0.42168674698795183%
mondial		7		0.42168674698795183%
Nations		6		0.3614457831325301%
ne		6		0.3614457831325301%
droit		6		0.3614457831325301%
monde		6		0.3614457831325301%
nouveau		6		0.3614457831325301%
falloir		5		0.30120481927710846%
promouvoir		5		0.30120481927710846%
lui		5		0.30120481927710846%
action		5		0.30120481927710846%
avec		5		0.30120481927710846%
grand		5		0.30120481927710846%
ensemble		4		0.24096385542168677%
haut		4		0.24096385542168677%
conseil		4		0.24096385542168677%
défendre		4		0.24096385542168677%
uni		4		0.24096385542168677%
poursuivre		4		0.24096385542168677%
voie		4		0.24096385542168677%
pas		4		0.24096385542168677%
coopération		4		0.24096385542168677%
problème		4		0.24096385542168677%
bien		4		0.24096385542168677%
non		4		0.24096385542168677%
œuvrer		4		0.24096385542168677%
intérêt		4		0.24096385542168677%
durable		4		0.24096385542168677%
public		4		0.24096385542168677%
objectif		4		0.24096385542168677%
niveau		3		0.18072289156626506%
président		3		0.18072289156626506%
cher		3		0.18072289156626506%
collègue		3		0.18072289156626506%
participer		3		0.18072289156626506%
occasion		3		0.18072289156626506%
anniversaire		3		0.18072289156626506%
c’		3		0.18072289156626506%
importance		3		0.18072289156626506%
relation		3		0.18072289156626506%
épidémie		3		0.18072289156626506%
rejeter		3		0.18072289156626506%
humanité		3		0.18072289156626506%
commun		3		0.18072289156626506%
gouvernance		3		0.18072289156626506%
qu’		3		0.18072289156626506%
respecter		3		0.18072289156626506%
deux		3		0.18072289156626506%
mesure		3		0.18072289156626506%
mettre		3		0.18072289156626506%
court		3		0.18072289156626506%
donner		3		0.18072289156626506%
histoire		3		0.18072289156626506%
œuvre		3		0.18072289156626506%
aussi		3		0.18072289156626506%
continuer		3		0.18072289156626506%
politique		3		0.18072289156626506%
pouvoir		3		0.18072289156626506%
initiative		3		0.18072289156626506%
porter		3		0.18072289156626506%
cause		3		0.18072289156626506%
année		3		0.18072289156626506%
contre		3		0.18072289156626506%
plan		3		0.18072289156626506%
vrai		2		0.12048192771084339%
«		2		0.12048192771084339%
maintien		2		0.12048192771084339%
:		2		0.12048192771084339%
système		2		0.12048192771084339%
»		2		0.12048192771084339%
état		2		0.12048192771084339%
affaire		2		0.12048192771084339%
république		2		0.12048192771084339%
populaire		2		0.12048192771084339%
chinois		2		0.12048192771084339%
Xi		2		0.12048192771084339%
Jinping		2		0.12048192771084339%
réunion		2		0.12048192771084339%
organiser		2		0.12048192771084339%
célébration		2		0.12048192771084339%
75		2		0.12048192771084339%
lors		2		0.12048192771084339%
fermement		2		0.12048192771084339%
étendard		2		0.12048192771084339%
préserver		2		0.12048192771084339%
rôle		2		0.12048192771084339%
construire		2		0.12048192771084339%
gagnant		2		0.12048192771084339%
solidaire		2		0.12048192771084339%
travailler		2		0.12048192771084339%
équité		2		0.12048192771084339%
justice		2		0.12048192771084339%
contribuer		2		0.12048192771084339%
favoriser		2		0.12048192771084339%
accord		2		0.12048192771084339%
se		2		0.12048192771084339%
ni		2		0.12048192771084339%
vision		2		0.12048192771084339%
associer		2		0.12048192771084339%
celui		2		0.12048192771084339%
terme		2		0.12048192771084339%
fournir		2		0.12048192771084339%
diversité		2		0.12048192771084339%
chaque		2		0.12048192771084339%
esprit		2		0.12048192771084339%
marche		2		0.12048192771084339%
point		2		0.12048192771084339%
autre		2		0.12048192771084339%
coercitif		2		0.12048192771084339%
règlement		2		0.12048192771084339%
accorder		2		0.12048192771084339%
homme		2		0.12048192771084339%
leur		2		0.12048192771084339%
réaliser		2		0.12048192771084339%
solidement		2		0.12048192771084339%
horizon		2		0.12048192771084339%
2030		2		0.12048192771084339%
sécuritaire		2		0.12048192771084339%
accroître		2		0.12048192771084339%
cadre		2		0.12048192771084339%
covid-19		2		0.12048192771084339%
évoluer		2		0.12048192771084339%
urgence		2		0.12048192771084339%
lutte		2		0.12048192771084339%
pauvreté		2		0.12048192771084339%
50		2		0.12048192771084339%
toujours		2		0.12048192771084339%
opération		2		0.12048192771084339%
programme		2		0.12048192771084339%
développer		2		0.12048192771084339%
impulsion		2		0.12048192771084339%
annoncer		2		0.12048192771084339%
soutenir		2		0.12048192771084339%
CONSTRUISONS		1		0.06024096385542169%
―intervention		1		0.06024096385542169%
visioconférence		1		0.06024096385542169%
centré		1		0.06024096385542169%
organisation		1		0.06024096385542169%
m.		1		0.06024096385542169%
Wang		1		0.06024096385542169%
Yi		1		0.06024096385542169%
conseiller		1		0.06024096385542169%
ministre		1		0.06024096385542169%
étranger		1		0.06024096385542169%
Beijing		1		0.06024096385542169%
7		1		0.06024096385542169%
mai		1		0.06024096385542169%
2021		1		0.06024096385542169%
Monsieur		1		0.06024096385542169%
assemblée		1		0.06024096385542169%
général		1		0.06024096385542169%
septembre		1		0.06024096385542169%
2020		1		0.06024096385542169%
desquelles		1		0.06024096385542169%
expliquer		1		0.06024096385542169%
profondeur		1		0.06024096385542169%
indiquer		1		0.06024096385542169%
clairement		1		0.06024096385542169%
dirigeant		1		0.06024096385542169%
différent		1		0.06024096385542169%
réaffirmer		1		0.06024096385542169%
déclaration		1		0.06024096385542169%
n’		1		0.06024096385542169%
option		1		0.06024096385542169%
mais		1		0.06024096385542169%
nécessité		1		0.06024096385542169%
norme		1		0.06024096385542169%
fondamental		1		0.06024096385542169%
régir		1		0.06024096385542169%
fonder		1		0.06024096385542169%
but		1		0.06024096385542169%
principe		1		0.06024096385542169%
charte		1		0.06024096385542169%
autorité		1		0.06024096385542169%
place		1		0.06024096385542169%
maintenir		1		0.06024096385542169%
central		1		0.06024096385542169%
qui		1		0.06024096385542169%
aujourd’hui		1		0.06024096385542169%
bannir		1		0.06024096385542169%
unilatéralisme		1		0.06024096385542169%
face		1		0.06024096385542169%
transformation		1		0.06024096385542169%
jamais		1		0.06024096385542169%
connaître		1		0.06024096385542169%
depuis		1		0.06024096385542169%
siècle		1		0.06024096385542169%
mutuellement		1		0.06024096385542169%
bénéfique		1		0.06024096385542169%
voici		1		0.06024096385542169%
proposition		1		0.06024096385542169%
-		1		0.06024096385542169%
jeu		1		0.06024096385542169%
somme		1		0.06024096385542169%
nul		1		0.06024096385542169%
planétaire		1		0.06024096385542169%
complexe		1		0.06024096385542169%
défi		1		0.06024096385542169%
épineux		1		0.06024096385542169%
sagesse		1		0.06024096385542169%
collectif		1		0.06024096385542169%
s’		1		0.06024096385542169%
avérer		1		0.06024096385542169%
nécessaire		1		0.06024096385542169%
dialoguer		1		0.06024096385542169%
coopérer		1		0.06024096385542169%
base		1		0.06024096385542169%
égalité		1		0.06024096385542169%
respect		1		0.06024096385542169%
mutuel		1		0.06024096385542169%
aucun		1		0.06024096385542169%
miser		1		0.06024096385542169%
échec		1		0.06024096385542169%
autrui		1		0.06024096385542169%
assurer		1		0.06024096385542169%
universel		1		0.06024096385542169%
prospérité		1		0.06024096385542169%
plaider		1		0.06024096385542169%
dire		1		0.06024096385542169%
agissement		1		0.06024096385542169%
intimidant		1		0.06024096385542169%
hégémonique		1		0.06024096385542169%
essentiel		1		0.06024096385542169%
démocratisation		1		0.06024096385542169%
sorte		1		0.06024096385542169%
assumer		1		0.06024096385542169%
responsabilité		1		0.06024096385542169%
clé		1		0.06024096385542169%
observer		1		0.06024096385542169%
scrupuleusement		1		0.06024096385542169%
universellement		1		0.06024096385542169%
reconnaître		1		0.06024096385542169%
fidèlement		1		0.06024096385542169%
convenir		1		0.06024096385542169%
règle		1		0.06024096385542169%
baser		1		0.06024096385542169%
élaborer		1		0.06024096385542169%
apanage		1		0.06024096385542169%
ou		1		0.06024096385542169%
privilège		1		0.06024096385542169%
quelques-uns		1		0.06024096385542169%
exceptionnalisme		1		0.06024096385542169%
poids		1		0.06024096385542169%
permettre		1		0.06024096385542169%
accent		1		0.06024096385542169%
lieu		1		0.06024096385542169%
parler		1		0.06024096385542169%
creux		1		0.06024096385542169%
passer		1		0.06024096385542169%
identifier		1		0.06024096385542169%
résoudre		1		0.06024096385542169%
sinon		1		0.06024096385542169%
tenable		1		0.06024096385542169%
viable		1		0.06024096385542169%
agir		1		0.06024096385542169%
vue		1		0.06024096385542169%
notre		1		0.06024096385542169%
respectif		1		0.06024096385542169%
entier		1		0.06024096385542169%
ménager		1		0.06024096385542169%
long		1		0.06024096385542169%
garder		1		0.06024096385542169%
satisfaire		1		0.06024096385542169%
besoin		1		0.06024096385542169%
immédiat		1		0.06024096385542169%
détriment		1		0.06024096385542169%
notamment		1		0.06024096385542169%
exemple		1		0.06024096385542169%
recherche		1		0.06024096385542169%
suprématie		1		0.06024096385542169%
unique		1		0.06024096385542169%
culture		1		0.06024096385542169%
suivre		1		0.06024096385542169%
adapter		1		0.06024096385542169%
réalité		1		0.06024096385542169%
valeur		1		0.06024096385542169%
savoir		1		0.06024096385542169%
démocratie		1		0.06024096385542169%
liberté		1		0.06024096385542169%
jaillir		1		0.06024096385542169%
force		1		0.06024096385542169%
diviser		1		0.06024096385542169%
clivage		1		0.06024096385542169%
idéologique		1		0.06024096385542169%
aller		1		0.06024096385542169%
encontre		1		0.06024096385542169%
arrière		1		0.06024096385542169%
juger		1		0.06024096385542169%
si		1		0.06024096385542169%
march		1		0.06024096385542169%
fonctionne		1		0.06024096385542169%
miroir		1		0.06024096385542169%
référence		1		0.06024096385542169%
créer		1		0.06024096385542169%
concentrer		1		0.06024096385542169%
mission		1		0.06024096385542169%
principal		1		0.06024096385542169%
aplanir		1		0.06024096385542169%
divergence		1		0.06024096385542169%
dialogue		1		0.06024096385542169%
concertation		1		0.06024096385542169%
désamorcer		1		0.06024096385542169%
différend		1		0.06024096385542169%
médiation		1		0.06024096385542169%
bon		1		0.06024096385542169%
office		1		0.06024096385542169%
régler		1		0.06024096385542169%
chaud		1		0.06024096385542169%
sanction		1		0.06024096385542169%
appliquer		1		0.06024096385542169%
lorsque		1		0.06024096385542169%
moyen		1		0.06024096385542169%
épuiser		1		0.06024096385542169%
seul		1		0.06024096385542169%
fin		1		0.06024096385542169%
unilatéral		1		0.06024096385542169%
prise		1		0.06024096385542169%
dehors		1		0.06024096385542169%
illégal		1		0.06024096385542169%
majeur		1		0.06024096385542169%
contexte		1		0.06024096385542169%
actuel		1		0.06024096385542169%
mieux		1		0.06024096385542169%
fédérer		1		0.06024096385542169%
service		1		0.06024096385542169%
attentif		1		0.06024096385542169%
difficulté		1		0.06024096385542169%
écouter		1		0.06024096385542169%
répondre		1		0.06024096385542169%
demande		1		0.06024096385542169%
surtout		1		0.06024096385542169%
selon		1		0.06024096385542169%
calendrier		1		0.06024096385542169%
établir		1		0.06024096385542169%
question		1		0.06024096385542169%
conventionnel		1		0.06024096385542169%
peser		1		0.06024096385542169%
autant		1		0.06024096385542169%
guerre		1		0.06024096385542169%
