单词		词频		占比
le		253		9.960629921259843%
de		199		7.834645669291339%
et		104		4.094488188976378%

		73		2.874015748031496%
,		73		2.874015748031496%
.		73		2.874015748031496%
à		68		2.677165354330709%
un		57		2.2440944881889764%
l’		43		1.6929133858267715%
d’		35		1.3779527559055118%
dans		31		1.220472440944882%
nucléaire		29		1.141732283464567%
sécurité		26		1.0236220472440944%
en		25		0.984251968503937%
arme		24		0.9448818897637795%
Chine		23		0.905511811023622%
pour		22		0.8661417322834646%
sur		21		0.8267716535433071%
nous		20		0.7874015748031495%
au		19		0.7480314960629921%
désarmement		18		0.7086614173228346%
international		18		0.7086614173228346%
devoir		18		0.7086614173228346%
avoir		17		0.6692913385826772%
être		15		0.5905511811023622%
paix		14		0.5511811023622047%
pays		14		0.5511811023622047%
par		13		0.5118110236220472%
plus		13		0.5118110236220472%
tout		12		0.47244094488188976%
avec		11		0.4330708661417323%
leur		11		0.4330708661417323%
monde		10		0.39370078740157477%
party		10		0.39370078740157477%
armement		9		0.3543307086614173%
non-prolifération		9		0.3543307086614173%
ce		9		0.3543307086614173%
traité		9		0.3543307086614173%
conférence		8		0.31496062992125984%
promouvoir		8		0.31496062992125984%
Monsieur		7		0.2755905511811024%
commun		7		0.2755905511811024%
réaliser		7		0.2755905511811024%
processus		7		0.2755905511811024%
contrôle		7		0.2755905511811024%
stratégique		7		0.2755905511811024%
président		7		0.2755905511811024%
durable		7		0.2755905511811024%
coopération		7		0.2755905511811024%
ne		7		0.2755905511811024%
autre		7		0.2755905511811024%
négociation		7		0.2755905511811024%
préserver		6		0.23622047244094488%
état		6		0.23622047244094488%
important		6		0.23622047244094488%
stabilité		6		0.23622047244094488%
mondial		6		0.23622047244094488%
il		6		0.23622047244094488%
que		6		0.23622047244094488%
multilatéral		6		0.23622047244094488%
son		6		0.23622047244094488%
poursuivre		6		0.23622047244094488%
politique		6		0.23622047244094488%
doter		6		0.23622047244094488%
avancer		6		0.23622047244094488%
matière		6		0.23622047244094488%
multilatéralisme		5		0.19685039370078738%
développement		5		0.19685039370078738%
jamais		5		0.19685039370078738%
faire		5		0.19685039370078738%
fermement		5		0.19685039370078738%
voie		5		0.19685039370078738%
nouveau		5		0.19685039370078738%
global		5		0.19685039370078738%
deux		5		0.19685039370078738%
interdiction		5		0.19685039370078738%
toujours		5		0.19685039370078738%
ensemble		5		0.19685039370078738%
effort		5		0.19685039370078738%
s’		5		0.19685039370078738%
soutenir		5		0.19685039370078738%
initiative		5		0.19685039370078738%
biologique		5		0.19685039370078738%
lui		4		0.15748031496062992%
contribution		4		0.15748031496062992%
appeler		4		0.15748031496062992%
qu’		4		0.15748031496062992%
-		4		0.15748031496062992%
vue		4		0.15748031496062992%
uni		4		0.15748031496062992%
gouvernance		4		0.15748031496062992%
grand		4		0.15748031496062992%
aucun		4		0.15748031496062992%
pacifique		4		0.15748031496062992%
complet		4		0.15748031496062992%
contre		4		0.15748031496062992%
travail		4		0.15748031496062992%
sorte		4		0.15748031496062992%
lancer		4		0.15748031496062992%
régime		4		0.15748031496062992%
travailler		4		0.15748031496062992%
manière		4		0.15748031496062992%
(		4		0.15748031496062992%
)		4		0.15748031496062992%
chimique		4		0.15748031496062992%
entendre		4		0.15748031496062992%
JCPOA		4		0.15748031496062992%
espace		4		0.15748031496062992%
donnée		4		0.15748031496062992%
ONU		4		0.15748031496062992%
monsieur		3		0.11811023622047244%
général		3		0.11811023622047244%
notre		3		0.11811023622047244%
rôle		3		0.11811023622047244%
historique		3		0.11811023622047244%
niveau		3		0.11811023622047244%
apporter		3		0.11811023622047244%
préservation		3		0.11811023622047244%
depuis		3		0.11811023622047244%
sécuritaire		3		0.11811023622047244%
falloir		3		0.11811023622047244%
bon		3		0.11811023622047244%
rejeter		3		0.11811023622047244%
renforcer		3		0.11811023622047244%
Nations		3		0.11811023622047244%
y		3		0.11811023622047244%
national		3		0.11811023622047244%
premier		3		0.11811023622047244%
principe		3		0.11811023622047244%
réduction		3		0.11811023622047244%
action		3		0.11811023622047244%
créer		3		0.11811023622047244%
membre		3		0.11811023622047244%
mener		3		0.11811023622047244%
dialogue		3		0.11811023622047244%
projet		3		0.11811023622047244%
résolution		3		0.11811023622047244%
substantiel		3		0.11811023622047244%
délai		3		0.11811023622047244%
déploiement		3		0.11811023622047244%
équilibré		3		0.11811023622047244%
vérification		3		0.11811023622047244%
continuer		3		0.11811023622047244%
double		3		0.11811023622047244%
convention		3		0.11811023622047244%
prévenir		3		0.11811023622047244%
moyen-orient		3		0.11811023622047244%
États-Unis		3		0.11811023622047244%
prendre		3		0.11811023622047244%
rapidement		3		0.11811023622047244%
péninsule		3		0.11811023622047244%
domaine		3		0.11811023622047244%
préoccupation		3		0.11811023622047244%
scientifique		3		0.11811023622047244%
rechercher		2		0.07874015748031496%
étranger		2		0.07874015748031496%
excellence		2		0.07874015748031496%
secrétaire		2		0.07874015748031496%
madame		2		0.07874015748031496%
jouer		2		0.07874015748031496%
moment		2		0.07874015748031496%
où		2		0.07874015748031496%
changement		2		0.07874015748031496%
situation		2		0.07874015748031496%
dernier		2		0.07874015748031496%
agenda		2		0.07874015748031496%
clairement		2		0.07874015748031496%
avant		2		0.07874015748031496%
coopérative		2		0.07874015748031496%
gagnant		2		0.07874015748031496%
guerre		2		0.07874015748031496%
mécanisme		2		0.07874015748031496%
mesure		2		0.07874015748031496%
mettre		2		0.07874015748031496%
place		2		0.07874015748031496%
approche		2		0.07874015748031496%
défi		2		0.07874015748031496%
menace		2		0.07874015748031496%
année		2		0.07874015748031496%
50		2		0.07874015748031496%
légitime		2		0.07874015748031496%
an		2		0.07874015748031496%
participer		2		0.07874015748031496%
plan		2		0.07874015748031496%
cadre		2		0.07874015748031496%
recherche		2		0.07874015748031496%
défense		2		0.07874015748031496%
jour		2		0.07874015748031496%
destruction		2		0.07874015748031496%
utiliser		2		0.07874015748031496%
pas		2		0.07874015748031496%
employer		2		0.07874015748031496%
zone		2		0.07874015748031496%
se		2		0.07874015748031496%
obligation		2		0.07874015748031496%
force		2		0.07874015748031496%
ou		2		0.07874015748031496%
non		2		0.07874015748031496%
sens		2		0.07874015748031496%
je		2		0.07874015748031496%
partager		2		0.07874015748031496%
vous		2		0.07874015748031496%
observer		2		0.07874015748031496%
juridiquement		2		0.07874015748031496%
massif		2		0.07874015748031496%
cinq		2		0.07874015748031496%
conseil		2		0.07874015748031496%
lequel		2		0.07874015748031496%
approfondir		2		0.07874015748031496%
dossier		2		0.07874015748031496%
lier		2		0.07874015748031496%
proposer		2		0.07874015748031496%
soumettre		2		0.07874015748031496%
juridique		2		0.07874015748031496%
œuvrer		2		0.07874015748031496%
bref		2		0.07874015748031496%
oppose		2		0.07874015748031496%
certain		2		0.07874015748031496%
système		2		0.07874015748031496%
régional		2		0.07874015748031496%
région		2		0.07874015748031496%
revêtir		2		0.07874015748031496%
particulier		2		0.07874015748031496%
pilier		2		0.07874015748031496%
utilisation		2		0.07874015748031496%
différent		2		0.07874015748031496%
essai		2		0.07874015748031496%
TICE		2		0.07874015748031496%
viser		2		0.07874015748031496%
objectif		2		0.07874015748031496%
concerner		2		0.07874015748031496%
offrir		2		0.07874015748031496%
«		2		0.07874015748031496%
»		2		0.07874015748031496%
gérer		2		0.07874015748031496%
iranien		2		0.07874015748031496%
majeur		2		0.07874015748031496%
unilatéral		2		0.07874015748031496%
Iran		2		0.07874015748031496%
bâtir		2		0.07874015748031496%
création		2		0.07874015748031496%
maintien		2		0.07874015748031496%
règlement		2		0.07874015748031496%
réalisation		2		0.07874015748031496%
course		2		0.07874015748031496%
prévention		2		0.07874015748031496%
ouvrir		2		0.07874015748031496%
constructif		2		0.07874015748031496%
relatif		2		0.07874015748031496%
Russie		2		0.07874015748031496%
solution		2		0.07874015748031496%
cybersécurité		2		0.07874015748031496%
récemment		2		0.07874015748031496%
publier		2		0.07874015748031496%
élaborer		2		0.07874015748031496%
entraver		2		0.07874015748031496%
usage		2		0.07874015748031496%
responsable		2		0.07874015748031496%
collectif		1		0.03937007874015748%
Wang		1		0.03937007874015748%
Yi		1		0.03937007874015748%
conseiller		1		0.03937007874015748%
ministre		1		0.03937007874015748%
affaire		1		0.03937007874015748%
allocution		1		0.03937007874015748%
11		1		0.03937007874015748%
juin		1		0.03937007874015748%
2021		1		0.03937007874015748%
ambassadeur		1		0.03937007874015748%
Salomon		1		0.03937007874015748%
Eheth		1		0.03937007874015748%
Tatiana		1		0.03937007874015748%
Valovaya		1		0.03937007874015748%
représentant		1		0.03937007874015748%
porte		1		0.03937007874015748%
aspiration		1		0.03937007874015748%
forger		1		0.03937007874015748%
hoyau		1		0.03937007874015748%
glaive		1		0.03937007874015748%
traverse		1		0.03937007874015748%
épidémie		1		0.03937007874015748%
connaître		1		0.03937007874015748%
siècle		1		0.03937007874015748%
face		1		0.03937007874015748%
aux		1		0.03937007874015748%
profond		1		0.03937007874015748%
complexe		1		0.03937007874015748%
actuel		1		0.03937007874015748%
envoyer		1		0.03937007874015748%
message		1		0.03937007874015748%
clair		1		0.03937007874015748%
défendre		1		0.03937007874015748%
janvier		1		0.03937007874015748%
édition		1		0.03937007874015748%
virtuel		1		0.03937007874015748%
Davos		1		0.03937007874015748%
forum		1		0.03937007874015748%
économique		1		0.03937007874015748%
Xi		1		0.03937007874015748%
Jinping		1		0.03937007874015748%
affirmer		1		0.03937007874015748%
flambeau		1		0.03937007874015748%
éclair		1		0.03937007874015748%
marche		1		0.03937007874015748%
humanité		1		0.03937007874015748%
suivre		1		0.03937007874015748%
vision		1		0.03937007874015748%
progresser		1		0.03937007874015748%
développer		1		0.03937007874015748%
mentalité		1		0.03937007874015748%
froid		1		0.03937007874015748%
jeu		1		0.03937007874015748%
somme		1		0.03937007874015748%
nul		1		0.03937007874015748%
équité		1		0.03937007874015748%
justice		1		0.03937007874015748%
autorité		1		0.03937007874015748%
efficacité		1		0.03937007874015748%
centrer		1		0.03937007874015748%
nation		1		0.03937007874015748%
exceptionnalisme		1		0.03937007874015748%
poids		1		0.03937007874015748%
universel		1		0.03937007874015748%
intégrer		1		0.03937007874015748%
adopter		1		0.03937007874015748%
affronter		1		0.03937007874015748%
contemporain		1		0.03937007874015748%
éliminer		1		0.03937007874015748%
potentiel		1		0.03937007874015748%
marque		1		0.03937007874015748%
anniversaire		1		0.03937007874015748%
rétablissement		1		0.03937007874015748%
siège		1		0.03937007874015748%
cours		1		0.03937007874015748%
écouler		1		0.03937007874015748%
activité		1		0.03937007874015748%
sagesse		1		0.03937007874015748%
plusieurs		1		0.03937007874015748%
fois		1		0.03937007874015748%
millénaire		1		0.03937007874015748%
estime		1		0.03937007874015748%
hégémonie		1		0.03937007874015748%
conduire		1		0.03937007874015748%
déclin		1		0.03937007874015748%
puissant		1		0.03937007874015748%
prétendre		1		0.03937007874015748%
résolument		1		0.03937007874015748%
extérieur		1		0.03937007874015748%
indépendance		1		0.03937007874015748%
caractère		1		0.03937007874015748%
défensif		1		0.03937007874015748%
stable		1		0.03937007874015748%
cohérent		1		0.03937007874015748%
prévisible		1		0.03937007874015748%
parmi		1		0.03937007874015748%
dès		1		0.03937007874015748%
plaider		1		0.03937007874015748%
total		1		0.03937007874015748%
engager		1		0.03937007874015748%
ouvertement		1		0.03937007874015748%
circonstance		1		0.03937007874015748%
applique		1		0.03937007874015748%
ni		1		0.03937007874015748%
menacer		1		0.03937007874015748%
cas		1		0.03937007874015748%
exempts		1		0.03937007874015748%
soustraire		1		0.03937007874015748%
maintenir		1		0.03937007874015748%
strict		1		0.03937007874015748%
besoin		1		0.03937007874015748%
rivalise		1		0.03937007874015748%
ampleur		1		0.03937007874015748%
quantité		1		0.03937007874015748%
sans		1		0.03937007874015748%
cesse		1		0.03937007874015748%
constitue		1		0.03937007874015748%
seulement		1		0.03937007874015748%
moyen		1		0.03937007874015748%
mais		1		0.03937007874015748%
aussi		1		0.03937007874015748%
concret		1		0.03937007874015748%
vouloir		1		0.03937007874015748%
quelque		1		0.03937007874015748%
une		1		0.03937007874015748%
mon		1		0.03937007874015748%
réflexion		1		0.03937007874015748%
premièrement		1		0.03937007874015748%
juste		1		0.03937007874015748%
