单词		词频		占比
le		167		9.488636363636363%
de		117		6.647727272727273%
et		77		4.375%
,		73		4.147727272727273%
à		62		3.5227272727272725%
l’		50		2.840909090909091%
.		50		2.840909090909091%

		44		2.5%
un		36		2.0454545454545454%
d’		27		1.5340909090909092%
nous		27		1.5340909090909092%
avoir		26		1.4772727272727273%
pour		26		1.4772727272727273%
en		19		1.0795454545454546%
pays		19		1.0795454545454546%
monde		17		0.9659090909090908%
dans		16		0.9090909090909091%
année		15		0.8522727272727272%
être		14		0.7954545454545454%
tout		14		0.7954545454545454%
avec		14		0.7954545454545454%
plus		13		0.7386363636363636%
développement		12		0.6818181818181818%
mondial		12		0.6818181818181818%
Chine		12		0.6818181818181818%
international		11		0.625%
chinois		10		0.5681818181818182%
coopération		9		0.5113636363636364%
travailler		9		0.5113636363636364%
vous		8		0.45454545454545453%
ce		8		0.45454545454545453%
communauté		8		0.45454545454545453%
nouveau		7		0.3977272727272727%
2020		7		0.3977272727272727%
peuple		7		0.3977272727272727%
sur		7		0.3977272727272727%
partager		6		0.3409090909090909%
avenir		6		0.3409090909090909%
organisation		5		0.2840909090909091%
notre		5		0.2840909090909091%
au		5		0.2840909090909091%
-		5		0.2840909090909091%
contre		5		0.2840909090909091%
économique		5		0.2840909090909091%
humanité		5		0.2840909090909091%
diplomatie		5		0.2840909090909091%
«		5		0.2840909090909091%
»		5		0.2840909090909091%
important		5		0.2840909090909091%
construction		5		0.2840909090909091%
son		5		0.2840909090909091%
covid-19		4		0.22727272727272727%
virus		4		0.22727272727272727%
commun		4		0.22727272727272727%
faire		4		0.22727272727272727%
intérêt		4		0.22727272727272727%
défi		4		0.22727272727272727%
promouvoir		4		0.22727272727272727%
apporter		4		0.22727272727272727%
côte		4		0.22727272727272727%
Xi		4		0.22727272727272727%
Jinping		4		0.22727272727272727%
autre		4		0.22727272727272727%
relation		4		0.22727272727272727%
économie		4		0.22727272727272727%
amitié		4		0.22727272727272727%
il		4		0.22727272727272727%
étranger		3		0.17045454545454544%
2021		3		0.17045454545454544%
chef		3		0.17045454545454544%
cher		3		0.17045454545454544%
ami		3		0.17045454545454544%
jour		3		0.17045454545454544%
moment		3		0.17045454545454544%
comme		3		0.17045454545454544%
porter		3		0.17045454545454544%
effort		3		0.17045454545454544%
épidémie		3		0.17045454545454544%
sécurité		3		0.17045454545454544%
ensemble		3		0.17045454545454544%
paix		3		0.17045454545454544%
aide		3		0.17045454545454544%
solidarité		3		0.17045454545454544%
président		3		0.17045454545454544%
aussi		3		0.17045454545454544%
donner		3		0.17045454545454544%
activement		3		0.17045454545454544%
multilatéralisme		3		0.17045454545454544%
qui		3		0.17045454545454544%
préserver		3		0.17045454545454544%
par		3		0.17045454545454544%
continuer		3		0.17045454545454544%
y		3		0.17045454545454544%
encore		3		0.17045454545454544%
voie		3		0.17045454545454544%
vidéo		2		0.11363636363636363%
état		2		0.11363636363636363%
affaire		2		0.11363636363636363%
occasion		2		0.11363636363636363%
an		2		0.11363636363636363%
madame		2		0.11363636363636363%
monsieur		2		0.11363636363636363%
mission		2		0.11363636363636363%
diplomatique		2		0.11363636363636363%
représentant		2		0.11363636363636363%
quelque		2		0.11363636363636363%
vœu		2		0.11363636363636363%
je		2		0.11363636363636363%
tenir		2		0.11363636363636363%
votre		2		0.11363636363636363%
lutte		2		0.11363636363636363%
solidaire		2		0.11363636363636363%
vision		2		0.11363636363636363%
rôle		2		0.11363636363636363%
politique		2		0.11363636363636363%
défendre		2		0.11363636363636363%
fermement		2		0.11363636363636363%
relever		2		0.11363636363636363%
poursuivre		2		0.11363636363636363%
ainsi		2		0.11363636363636363%
