单词		词频		占比
非洲		44		5.152224824355972%
中非		38		4.449648711943794%
中国		28		3.278688524590164%
合作		23		2.693208430913349%
发展		13		1.5222482435597189%
国家		11		1.288056206088993%
实施		11		1.288056206088993%
支持		10		1.1709601873536302%
工程		10		1.1709601873536302%
援助		10		1.1709601873536302%
项目		8		0.936768149882904%
建设		8		0.936768149882904%
论坛		7		0.819672131147541%
朋友		7		0.819672131147541%
会议		6		0.702576112412178%
绿色		6		0.702576112412178%
构建		5		0.5854800936768151%
关系		5		0.5854800936768151%
提供		5		0.5854800936768151%
企业		5		0.5854800936768151%
美元		5		0.5854800936768151%
命运		4		0.468384074941452%
共同体		4		0.468384074941452%
中		4		0.468384074941452%
友好		4		0.468384074941452%
正义		4		0.468384074941452%
年		4		0.468384074941452%
愿		4		0.468384074941452%
疫苗		4		0.468384074941452%
投资		4		0.468384074941452%
减贫		4		0.468384074941452%
气候		4		0.468384074941452%
变化		4		0.468384074941452%
推动		4		0.468384074941452%
联合		4		0.468384074941452%
农业		4		0.468384074941452%
设立		4		0.468384074941452%
活动		4		0.468384074941452%
100亿		4		0.468384074941452%
举办		4		0.468384074941452%
携手		3		0.351288056206089%
总统		3		0.351288056206089%
精神		3		0.351288056206089%
联合国		3		0.351288056206089%
提出		3		0.351288056206089%
非方		3		0.351288056206089%
贸易		3		0.351288056206089%
数字		3		0.351288056206089%
经济		3		0.351288056206089%
非盟		3		0.351288056206089%
维护		3		0.351288056206089%
和平		3		0.351288056206089%
自由		3		0.351288056206089%
卫生		3		0.351288056206089%
名		3		0.351288056206089%
华		3		0.351288056206089%
中心		3		0.351288056206089%
未来		3		0.351288056206089%
就业		3		0.351288056206089%
继往开来		2		0.234192037470726%
新时代		2		0.234192037470726%
第八		2		0.234192037470726%
届		2		0.234192037470726%
部长级		2		0.234192037470726%
开幕式		2		0.234192037470726%
2021年		2		0.234192037470726%
尊敬		2		0.234192037470726%
萨勒		2		0.234192037470726%
同事		2		0.234192037470726%
嘉宾		2		0.234192037470726%
出席		2		0.234192037470726%
塞内加尔		2		0.234192037470726%
政府		2		0.234192037470726%
本次		2		0.234192037470726%
感谢		2		0.234192037470726%
周年		2		0.234192037470726%
国际		2		0.234192037470726%
真实		2		0.234192037470726%
力量		2		0.234192037470726%
理念		2		0.234192037470726%
峰会		2		0.234192037470726%
推进		2		0.234192037470726%
落实		2		0.234192037470726%
重点		2		0.234192037470726%
一带		2		0.234192037470726%
一路		2		0.234192037470726%
伙伴		2		0.234192037470726%
至上		2		0.234192037470726%
青年		2		0.234192037470726%
中小企业		2		0.234192037470726%
议程		2		0.234192037470726%
可持续		2		0.234192037470726%
全人类		2		0.234192037470726%
应对		2		0.234192037470726%
能力		2		0.234192037470726%
公平		2		0.234192037470726%
世界		2		0.234192037470726%
目标		2		0.234192037470726%
发展中国家		2		0.234192037470726%
愿景		2		0.234192037470726%
医疗		2		0.234192037470726%
派遣		2		0.234192037470726%
专家		2		0.234192037470726%
交流		2		0.234192037470726%
培训		2		0.234192037470726%
鼓励		2		0.234192037470726%
机构		2		0.234192037470726%
非		2		0.234192037470726%
输华		2		0.234192037470726%
发达		2		0.234192037470726%
总额		2		0.234192037470726%
额度		2		0.234192037470726%
大陆		2		0.234192037470726%
贸易区		2		0.234192037470726%
平台		2		0.234192037470726%
创新		2		0.234192037470726%
电商		2		0.234192037470726%
旅游		2		0.234192037470726%
电影节		2		0.234192037470726%
努力		2		0.234192037470726%
同舟共济		1		0.117096018735363%
主旨		1		0.117096018735363%
演讲		1		0.117096018735363%
11月		1		0.117096018735363%
29日		1		0.117096018735363%
中华		1		0.117096018735363%
共和国		1		0.117096018735363%
主席		1		0.117096018735363%
习近平		1		0.117096018735363%
作		1		0.117096018735363%
精心		1		0.117096018735363%
诚挚		1		0.117096018735363%
热烈		1		0.117096018735363%
开启		1		0.117096018735363%
外交		1		0.117096018735363%
65年		1		0.117096018735363%
反帝		1		0.117096018735363%
反殖		1		0.117096018735363%
斗争		1		0.117096018735363%
结下		1		0.117096018735363%
牢不可破		1		0.117096018735363%
兄弟		1		0.117096018735363%
情谊		1		0.117096018735363%
振兴		1		0.117096018735363%
征程		1		0.117096018735363%
走出		1		0.117096018735363%
特色		1		0.117096018735363%
鲜明		1		0.117096018735363%
路		1		0.117096018735363%
纷繁		1		0.117096018735363%
变局		1		0.117096018735363%
谱写		1		0.117096018735363%
守望		1		0.117096018735363%
相助		1		0.117096018735363%
精彩		1		0.117096018735363%
篇章		1		0.117096018735363%
新型		1		0.117096018735363%
树立		1		0.117096018735363%
光辉		1		0.117096018735363%
典范		1		0.117096018735363%
友谊		1		0.117096018735363%
深		1		0.117096018735363%
关键		1		0.117096018735363%
缔造		1		0.117096018735363%
历久弥坚		1		0.117096018735363%
真诚		1		0.117096018735363%
平等		1		0.117096018735363%
相待		1		0.117096018735363%
互利		1		0.117096018735363%
共赢		1		0.117096018735363%
主持		1		0.117096018735363%
公道		1		0.117096018735363%
捍卫		1		0.117096018735363%
顺应		1		0.117096018735363%
时势		1		0.117096018735363%
开放		1		0.117096018735363%
包容		1		0.117096018735363%
这是		1		0.117096018735363%
数十		1		0.117096018735363%
休戚与共		1		0.117096018735363%
奋斗		1		0.117096018735363%
写照		1		0.117096018735363%
源泉		1		0.117096018735363%
恢复		1		0.117096018735363%
合法		1		0.117096018735363%
席位		1		0.117096018735363%
