标签	含义	频数
A1	General And Abstract Terms	0
A1.1.1	General actions / making	260
A1.1.1-	Inaction	0
A1.1.2	Damaging and destroying	0
A1.1.2-	Fixing and mending	0
A1.2	Suitability	0
A1.2+	Suitable	0
A1.2-	Unsuitable	0
A1.3	Caution	0
A1.3+	Cautious	0
A1.3-	No caution	0
A1.4	Chance, luck	0
A1.4+	Lucky	0
A1.4-	Unlucky	0
A1.5	Use	0
A1.5.1	Using	2
A1.5.1+	Used	0
A1.5.1-	Unused	0
A1.5.2	Usefulness	0
A1.5.2+	Useful	0
A1.5.2-	Useless	0
A1.6	Concrete/Abstract	5
A1.7+	Constraint	10
A1.7-	No constraint	1
A1.8+	Inclusion	6
A1.8-	Exclusion	7
A1.9	Avoiding	0
A1.9-	Unavoidable	0
A2	Affect	0
A2.1	Modify, change	0
A2.1+	Change	143
A2.1-	No change	4
A2.2	Cause&Effect/Connection	33
A2.2+	Cause/Effect/Connected	0
A2.2-	Unconnected	0
A3	Being	0
A3+	Existing	23
A3-	Non-existing	0
A4	Classification	0
A4.1	Generally kinds, groups, examples	53
A4.1-	Unclassified	0
A4.2	Particular/general; detail	0
A4.2+	Detailed	3
A4.2-	General	0
A5	Evaluation	0
A5.1	Evaluation: Good/bad	8
A5.1+	Evaluation: Good	40
A5.1-	Evaluation: Bad	17
A5.2	Evaluation: True/false	0
A5.2+	Evaluation: True	10
A5.2-	Evaluation: False	0
A5.3	Evaluation: Accuracy	0
A5.3+	Evaluation: Accurate	12
A5.3-	Evaluation: Inaccurate	3
A5.4	Evaluation: Authenticity	0
A5.4+	Evaluation: Authentic	2
A5.4-	Evaluation: Unauthentic	0
A6	Comparing	0
A6.1	Comparing: Similar/different	1
A6.1+	Comparing: Similar	7
A6.1-	Comparing: Different	68
A6.2	Comparing: Usual/unusual	0
A6.2+	Comparing: Usual	24
A6.2-	Comparing: Unusual	6
A6.3	Comparing: Variety	0
A6.3+	Comparing: Varied	1
A6.3-	Comparing: Unvaried	0
A7	Probability	0
A7+	Likely	25
A7-	Unlikely	2
A8	Seem	0
A9	Getting and giving; possession	2
A9+	Getting and possession	157
A9-	Giving	63
A10	Open/closed; Hiding/Hidden; Finding; Showing	0
A10+	Open; Finding; Showing	29
A10-	Closed; Hiding/Hidden	8
A11	Importance	0
A11.1	Importance	0
A11.1+	Important	121
A11.1-	Unimportant	0
A11.2	Noticeability	0
A11.2+	Noticeable	0
A11.2-	Unnoticeable	0
A12	Easy/difficult	0
A12+	Easy	1
A12-	Difficult	19
A13	Degree	3
A13.1	Degree: Non-specific	3
A13.2	Degree: Maximizers	4
A13.3	Degree: Boosters	36
A13.4	Degree: Approximators	5
A13.5	Degree: Compromisers	3
A13.6	Degree: Diminishers	30
A13.7	Degree: Minimizers	1
A14	Exclusivizers/particularizers	5
A15	Safety/Danger	0
A15+	Safe	11
A15-	Danger	3
B1	Anatomy and physiology	41
B2	Health and disease	1
B2+	Healthy	0
B2-	Disease	0
B3	Medicines and medical treatment	0
B3-	Without medical treatment	0
B4	Cleaning and personal care	11
B4+	Clean	0
B4-	Dirty	0
