标签	含义	频数
N3.7+	Long, tall and wide	0
N3.7-	Short and narrow	0
N3.8	Measurement: Speed	0
N3.8+	Speed: Fast	1
N3.8-	Speed: Slow	2
N4	Linear order	26
N4-	Nonlinear	0
N5	Quantities	2
N5+	Quantities: many/much	27
N5-	Quantities: little	27
N5.1	Entirety; maximum	0
N5.1+	Entire; maximum	3
N5.1-	Part	0
N5.2	Exceeding	0
N5.2+	Exceed; waste	0
N6	Frequency	0
N6+	Frequent	0
N6-	Infrequent	0
O1	Substances and materials generally	1
O1.1	Substances and materials: Solid	3
O1.2	Substances and materials: Liquid	0
O1.2-	Dry	0
O1.3	Substances and materials: Gas	0
O1.3-	Gasless	0
O2	Objects generally	24
O3	Electricity and electrical equipment	3
O4	Physical attributes	0
O4.1	General appearance and physical properties	3
O4.2	Judgement of appearance	0
O4.2+	Judgement of appearance: Beautiful	0
O4.2-	Judgement of appearance: Ugly	0
O4.3	Colour and colour patterns	0
O4.4	Shape	0
O4.5	Texture	0
O4.6	Temperature	0
O4.6+	Temperature: Hot / on fire	0
O4.6-	Temperature: Cold	0
P1	Education in general	27
P1-	Not educated	0
Q1	Linguistic Actions, States And Processes; Communication	0
Q1.1	Linguistic Actions, States And Processes; Communication	2
Q1.2	Paper documents and writing	17
Q1.2-	Unwritten	0
Q1.3	Telecommunications	0
Q2	Speech	0
Q2.1	Speech: Communicative	7
Q2.1+	Speech: Talkative	0
Q2.1-	Speech: Not communicating	0
Q2.2	Speech acts	43
Q2.2-	Speech acts: Not speaking	0
Q3	Language, speech and grammar	1
Q3-	Non-verbal	0
Q4	The Media	2
Q4.1	The Media: Books	0
Q4.2	The Media: Newspapers etc.	3
Q4.3	The Media: TV, Radio and Cinema	6
S1	Social Actions, States And Processes	0
S1.1	Social Actions, States And Processes	0
S1.1.1	Social Actions, States And Processes	30
S1.1.2	Reciprocity	0
S1.1.2+	Reciprocal	7
S1.1.2-	Unilateral	0
S1.1.3	Participation	0
S1.1.3+	Participating	5
S1.1.3-	Non-participating	0
S1.1.4	Deserve	0
S1.1.4+	Deserving	0
S1.1.4-	Undeserving	0
S1.2	Personality traits	2
S1.2.1	Approachability and Friendliness	0
S1.2.1+	Informal/Friendly	2
S1.2.1-	Formal/Unfriendly	0
S1.2.2	Avarice	0
S1.2.2+	Greedy	0
S1.2.2-	Generous	0
S1.2.3	Egoism	0
S1.2.3+	Selfish	0
S1.2.3-	Unselfish	1
S1.2.4	Politeness	0
S1.2.4+	Polite	4
S1.2.4-	Impolite	0
S1.2.5	Toughness; strong/weak	0
S1.2.5+	Tough/strong	5
S1.2.5-	Weak	2
S1.2.6	Common sense	0
S1.2.6+	Sensible	2
S1.2.6-	Foolish	0
S2	People	42
S2-	No people	0
S2.1	People: Female	0
S2.1-	Not feminine	0
S2.2	People: Male	0
S3	Relationship	0
S3.1	Personal relationship: General	8
S3.1-	No personal relationship	0
S3.2	Relationship: Intimacy and sex	0
S3.2+	Relationship: Sexual	0
S3.2-	Relationship: Asexual	0
S4	Kin	1
S4-	No kin	0
S5	Groups and affiliation	0
S5+	Belonging to a group	22
S5-	Not part of a group	1
S6	Obligation and necessity	0
S6+	Strong obligation or necessity	20
S6-	No obligation or necessity	5
S7	Power relationship	0
S7.1	Power, organizing	0
S7.1+	In power	83
S7.1-	No power	0
S7.2	Respect	0
S7.2+	Respected	3
S7.2-	No respect	0
S7.3	Competition	0
S7.3+	Competitive	1
S7.3-	No competition	0
S7.4	Permission	1
S7.4+	Allowed	6
S7.4-	Not allowed	0
S8	Helping/hindering	0
S8+	Helping	93
S8-	Hindering	7
S9	Religion and the supernatural	4
S9-	Non-religious	0
T1	Time	8
T1.1	Time: General	0
T1.1.1	Time: Past	2
T1.1.2	Time: Present; simultaneous	3
T1.1.2-	Time: Asynchronous	0
T1.1.3	Time: Future	4
T1.2	Time: Momentary	1
T1.3	Time: Period	45
T1.3+	Time period: long	0
T1.3-	Time period: short	0
T2	Time: Beginning and ending	0
T2+	Time: Beginning	13
T2-	Time: Ending	1
T3	Time: Old, new and young; age	1
T3+	Time: Old; grown-up	3
T3-	Time: New and young	56
T4	Time: Early/late	1
T4+	Time: Early	0
T4-	Time: Late	9
W1	The universe	1
W2	Light	0
W2-	Darkness	0
