单词		词频		占比
de		128		5.39401601348504%
la		113		4.761904761904762%
et		106		4.466919511167299%
,		101		4.256215760640539%

		79		3.329119258322798%
.		74		3.1184155077960387%
les		58		2.444163506110409%
l’		55		2.3177412557943535%
à		54		2.275600505689001%
des		43		1.8120522545301307%
le		36		1.5170670037926675%
d’		32		1.34850400337126%
chine		28		1.1799410029498525%
une		28		1.1799410029498525%
du		23		0.9692372524230931%
un		22		0.9270965023177412%
pour		21		0.8849557522123894%
dans		21		0.8849557522123894%
ouverture		18		0.7585335018963337%
en		17		0.7163927517909818%
pays		17		0.7163927517909818%
plus		17		0.7163927517909818%
-		15		0.6321112515802781%
coopération		14		0.5899705014749262%
a		13		0.5478297513695743%
sur		13		0.5478297513695743%
par		12		0.5056890012642226%
aux		11		0.4635482511588706%
tous		11		0.4635482511588706%
mondiale		11		0.4635482511588706%
nous		11		0.4635482511588706%
est		11		0.4635482511588706%
au		10		0.42140750105351876%
elle		10		0.42140750105351876%
libre		10		0.42140750105351876%
développement		10		0.42140750105351876%
mesdames		9		0.37926675094816686%
messieurs		9		0.37926675094816686%
avec		9		0.37926675094816686%
économie		9		0.37926675094816686%
monde		9		0.37926675094816686%
échange		9		0.37926675094816686%
chinois		8		0.337126000842815%
marché		8		0.337126000842815%
devons		8		0.337126000842815%
commerce		8		0.337126000842815%
amis		7		0.2949852507374631%
ciie		7		0.2949852507374631%
ont		7		0.2949852507374631%
chers		6		0.2528445006321113%
cette		6		0.2528445006321113%
covid-19		6		0.2528445006321113%
autres		6		0.2528445006321113%
entreprises		6		0.2528445006321113%
que		6		0.2528445006321113%
son		6		0.2528445006321113%
échanges		5		0.21070375052675938%
investissements		5		0.21070375052675938%
pilotes		5		0.21070375052675938%
été		5		0.21070375052675938%
sont		5		0.21070375052675938%
croissance		5		0.21070375052675938%
zones		5		0.21070375052675938%
ne		5		0.21070375052675938%
défis		5		0.21070375052675938%
renforcer		5		0.21070375052675938%
économique		5		0.21070375052675938%
domestique		5		0.21070375052675938%
extérieur		5		0.21070375052675938%
internationale		4		0.1685630004214075%
nouveaux		4		0.1685630004214075%
se		4		0.1685630004214075%
international		4		0.1685630004214075%
opportunités		4		0.1685630004214075%
marquée		4		0.1685630004214075%
élargissement		4		0.1685630004214075%
étrangers		4		0.1685630004214075%
main		4		0.1685630004214075%
œuvrer		4		0.1685630004214075%
gagnant		4		0.1685630004214075%
communauté		4		0.1685630004214075%
partagé		4		0.1685630004214075%
non		4		0.1685630004214075%
responsabilités		4		0.1685630004214075%
