单词		词频		占比
de		77		4.63855421686747%
et		71		4.27710843373494%
la		70		4.216867469879518%
,		68		4.096385542168675%

		55		3.313253012048193%
.		54		3.2530120481927707%
l’		53		3.1927710843373496%
le		46		2.7710843373493974%
les		45		2.710843373493976%
à		26		1.566265060240964%
des		20		1.2048192771084338%
pour		19		1.144578313253012%
dans		18		1.0843373493975903%
multilatéralisme		17		1.0240963855421688%
du		17		1.0240963855421688%
une		16		0.9638554216867471%
sur		15		0.9036144578313252%
en		15		0.9036144578313252%
développement		15		0.9036144578313252%
a		13		0.783132530120482%
pays		13		0.783132530120482%
paix		12		0.7228915662650602%
chine		11		0.6626506024096386%
par		11		0.6626506024096386%
un		10		0.6024096385542169%
onu		10		0.6024096385542169%
est		10		0.6024096385542169%
nous		10		0.6024096385542169%
tous		10		0.6024096385542169%
aux		9		0.5421686746987951%
plus		9		0.5421686746987951%
au		9		0.5421686746987951%
sécurité		8		0.48192771084337355%
d’		8		0.48192771084337355%
que		8		0.48192771084337355%
doit		8		0.48192771084337355%
devons		7		0.42168674698795183%
internationales		6		0.3614457831325301%
nations		6		0.3614457831325301%
il		6		0.3614457831325301%
être		6		0.3614457831325301%
ne		6		0.3614457831325301%
monde		6		0.3614457831325301%
unies		5		0.30120481927710846%
faut		5		0.30120481927710846%
son		5		0.30120481927710846%
promouvoir		5		0.30120481927710846%
mondiale		5		0.30120481927710846%
avec		5		0.30120481927710846%
nouvelle		5		0.30120481927710846%
ensemble		4		0.24096385542168677%
haut		4		0.24096385542168677%
conseil		4		0.24096385542168677%
défendre		4		0.24096385542168677%
international		4		0.24096385542168677%
voie		4		0.24096385542168677%
cette		4		0.24096385542168677%
pas		4		0.24096385542168677%
coopération		4		0.24096385542168677%
problèmes		4		0.24096385542168677%
sont		4		0.24096385542168677%
non		4		0.24096385542168677%
droit		4		0.24096385542168677%
grande		4		0.24096385542168677%
niveau		3		0.18072289156626506%
président		3		0.18072289156626506%
chers		3		0.18072289156626506%
collègues		3		0.18072289156626506%
participé		3		0.18072289156626506%
occasion		3		0.18072289156626506%
anniversaire		3		0.18072289156626506%
ce		3		0.18072289156626506%
c’		3		0.18072289156626506%
importance		3		0.18072289156626506%
poursuivre		3		0.18072289156626506%
relations		3		0.18072289156626506%
épidémie		3		0.18072289156626506%
humanité		3		0.18072289156626506%
faire		3		0.18072289156626506%
gouvernance		3		0.18072289156626506%
qu’		3		0.18072289156626506%
respecter		3		0.18072289156626506%
doivent		3		0.18072289156626506%
deux		3		0.18072289156626506%
mesures		3		0.18072289156626506%
action		3		0.18072289156626506%
intérêts		3		0.18072289156626506%
histoire		3		0.18072289156626506%
ses		3		0.18072289156626506%
marche		3		0.18072289156626506%
œuvre		3		0.18072289156626506%
aussi		3		0.18072289156626506%
politique		3		0.18072289156626506%
objectifs		3		0.18072289156626506%
durable		3		0.18072289156626506%
porter		3		0.18072289156626506%
contre		3		0.18072289156626506%
plans		3		0.18072289156626506%
vrai		2		0.12048192771084339%
«		2		0.12048192771084339%
maintien		2		0.12048192771084339%
:		2		0.12048192771084339%
système		2		0.12048192771084339%
»		2		0.12048192771084339%
état		2		0.12048192771084339%
affaires		2		0.12048192771084339%
république		2		0.12048192771084339%
populaire		2		0.12048192771084339%
chinois		2		0.12048192771084339%
xi		2		0.12048192771084339%
jinping		2		0.12048192771084339%
réunions		2		0.12048192771084339%
organisées		2		0.12048192771084339%
célébration		2		0.12048192771084339%
75e		2		0.12048192771084339%
lors		2		0.12048192771084339%
fermement		2		0.12048192771084339%
ont		2		0.12048192771084339%
étendard		2		0.12048192771084339%
préserver		2		0.12048192771084339%
rôle		2		0.12048192771084339%
fait		2		0.12048192771084339%
construire		2		0.12048192771084339%
gagnant		2		0.12048192771084339%
rejeter		2		0.12048192771084339%
solidaire		2		0.12048192771084339%
bien		2		0.12048192771084339%
commune		2		0.12048192771084339%
équité		2		0.12048192771084339%
justice		2		0.12048192771084339%
favoriser		2		0.12048192771084339%
se		2		0.12048192771084339%
elles		2		0.12048192771084339%
ni		2		0.12048192771084339%
vision		2		0.12048192771084339%
œuvrer		2		0.12048192771084339%
court		2		0.12048192771084339%
donner		2		0.12048192771084339%
biens		2		0.12048192771084339%
publics		2		0.12048192771084339%
diversité		2		0.12048192771084339%
chaque		2		0.12048192771084339%
toute		2		0.12048192771084339%
elle		2		0.12048192771084339%
autres		2		0.12048192771084339%
règlement		2		0.12048192771084339%
accorder		2		0.12048192771084339%
initiative		2		0.12048192771084339%
droits		2		0.12048192771084339%
homme		2		0.12048192771084339%
leurs		2		0.12048192771084339%
solidement		2		0.12048192771084339%
horizon		2		0.12048192771084339%
2030		2		0.12048192771084339%
sécuritaires		2		0.12048192771084339%
causes		2		0.12048192771084339%
cadre		2		0.12048192771084339%
covid-19		2		0.12048192771084339%
évoluer		2		0.12048192771084339%
année		2		0.12048192771084339%
lutte		2		0.12048192771084339%
pauvreté		2		0.12048192771084339%
œuvré		2		0.12048192771084339%
toujours		2		0.12048192771084339%
programme		2		0.12048192771084339%
impulsion		2		0.12048192771084339%
soutenir		2		0.12048192771084339%
continuera		2		0.12048192771084339%
actions		2		0.12048192771084339%
construisons		1		0.06024096385542169%
―intervention		1		0.06024096385542169%
visioconférence		1		0.06024096385542169%
centré		1		0.06024096385542169%
organisation		1		0.06024096385542169%
m.		1		0.06024096385542169%
wang		1		0.06024096385542169%
yi		1		0.06024096385542169%
conseiller		1		0.06024096385542169%
ministre		1		0.06024096385542169%
étrangères		1		0.06024096385542169%
beijing		1		0.06024096385542169%
7		1		0.06024096385542169%
mai		1		0.06024096385542169%
2021		1		0.06024096385542169%
monsieur		1		0.06024096385542169%
assemblée		1		0.06024096385542169%
générale		1		0.06024096385542169%
septembre		1		0.06024096385542169%
2020		1		0.06024096385542169%
desquelles		1		0.06024096385542169%
expliqué		1		0.06024096385542169%
profondeur		1		0.06024096385542169%
indiqué		1		0.06024096385542169%
clairement		1		0.06024096385542169%
dirigeants		1		0.06024096385542169%
différents		1		0.06024096385542169%
réaffirmé		1		0.06024096385542169%
déclaration		1		0.06024096385542169%
faite		1		0.06024096385542169%
n’		1		0.06024096385542169%
était		1		0.06024096385542169%
option		1		0.06024096385542169%
mais		1		0.06024096385542169%
nécessité		1		0.06024096385542169%
normes		1		0.06024096385542169%
fondamentales		1		0.06024096385542169%
régissant		1		0.06024096385542169%
fondées		1		0.06024096385542169%
buts		1		0.06024096385542169%
principes		1		0.06024096385542169%
charte		1		0.06024096385542169%
autorité		1		0.06024096385542169%
place		1		0.06024096385542169%
maintenir		1		0.06024096385542169%
central		1		0.06024096385542169%
qui		1		0.06024096385542169%
aujourd’hui		1		0.06024096385542169%
bannir		1		0.06024096385542169%
unilatéralisme		1		0.06024096385542169%
face		1		0.06024096385542169%
transformations		1		0.06024096385542169%
jamais		1		0.06024096385542169%
connues		1		0.06024096385542169%
depuis		1		0.06024096385542169%
siècle		1		0.06024096385542169%
mutuellement		1		0.06024096385542169%
bénéfique		1		0.06024096385542169%
voici		1		0.06024096385542169%
propositions		1		0.06024096385542169%
-		1		0.06024096385542169%
jeu		1		0.06024096385542169%
somme		1		0.06024096385542169%
nulle		1		0.06024096385542169%
planétaires		1		0.06024096385542169%
complexes		1		0.06024096385542169%
défis		1		0.06024096385542169%
épineux		1		0.06024096385542169%
sagesse		1		0.06024096385542169%
collective		1		0.06024096385542169%
s’		1		0.06024096385542169%
avèrent		1		0.06024096385542169%
nécessaires		1		0.06024096385542169%
dialoguer		1		0.06024096385542169%
coopérer		1		0.06024096385542169%
base		1		0.06024096385542169%
égalité		1		0.06024096385542169%
respect		1		0.06024096385542169%
mutuel		1		0.06024096385542169%
aucun		1		0.06024096385542169%
miser		1		0.06024096385542169%
échec		1		0.06024096385542169%
autrui		1		0.06024096385542169%
travailler		1		0.06024096385542169%
assurer		1		0.06024096385542169%
universelle		1		0.06024096385542169%
prospérité		1		0.06024096385542169%
plaider		1		0.06024096385542169%
dire		1		0.06024096385542169%
agissements		1		0.06024096385542169%
intimidants		1		0.06024096385542169%
hégémoniques		1		0.06024096385542169%
essentiel		1		0.06024096385542169%
démocratisation		1		0.06024096385542169%
sorte		1		0.06024096385542169%
