单词		词频		占比
de		85		5.427841634738186%
la		78		4.980842911877394%
et		74		4.725415070242656%
,		57		3.6398467432950192%

		54		3.4482758620689653%
.		49		3.1289910600255424%
les		36		2.2988505747126435%
en		31		1.979565772669221%
le		27		1.7241379310344827%
l’		25		1.5964240102171137%
nous		22		1.40485312899106%
pour		21		1.3409961685823755%
à		21		1.3409961685823755%
des		21		1.3409961685823755%
d’		18		1.1494252873563218%
du		18		1.1494252873563218%
pays		18		1.1494252873563218%
dans		16		1.0217113665389528%
plus		14		0.8939974457215836%
développement		14		0.8939974457215836%
une		12		0.7662835249042145%
un		12		0.7662835249042145%
sur		11		0.70242656449553%
devons		11		0.70242656449553%
vaccins		11		0.70242656449553%
contre		10		0.6385696040868455%
santé		9		0.5747126436781609%
au		9		0.5747126436781609%
chine		9		0.5747126436781609%
épidémie		8		0.5108556832694764%
aux		8		0.5108556832694764%
a		7		0.4469987228607918%
avec		7		0.4469987228607918%
covid-19		7		0.4469987228607918%
ont		7		0.4469987228607918%
internationale		7		0.4469987228607918%
coopération		7		0.4469987228607918%
renforcer		7		0.4469987228607918%
il		6		0.38314176245210724%
soutenir		6		0.38314176245210724%
production		6		0.38314176245210724%
est		5		0.31928480204342274%
g20		5		0.31928480204342274%
réponse		5		0.31928480204342274%
leurs		5		0.31928480204342274%
mesures		5		0.31928480204342274%
que		5		0.31928480204342274%
milliards		5		0.31928480204342274%
ensemble		4		0.2554278416347382%
communauté		4		0.2554278416347382%
tous		4		0.2554278416347382%
sommet		4		0.2554278416347382%
mondial		4		0.2554278416347382%
été		4		0.2554278416347382%
solidarité		4		0.2554278416347382%
face		4		0.2554278416347382%
mondiale		4		0.2554278416347382%
sont		4		0.2554278416347382%
faire		4		0.2554278416347382%
capacités		4		0.2554278416347382%
vie		4		0.2554278416347382%
faut		4		0.2554278416347382%
nos		4		0.2554278416347382%
qui		4		0.2554278416347382%
sanitaire		4		0.2554278416347382%
aide		4		0.2554278416347382%
monde		4		0.2554278416347382%
mis		4		0.2554278416347382%
avons		4		0.2554278416347382%
autres		4		0.2554278416347382%
chers		3		0.19157088122605362%
collègues		3		0.19157088122605362%
reprise		3		0.19157088122605362%
membres		3		0.19157088122605362%
responsabilités		3		0.19157088122605362%
même		3		0.19157088122605362%
peuples		3		0.19157088122605362%
lutte		3		0.19157088122605362%
combat		3		0.19157088122605362%
peuple		3		0.19157088122605362%
par		3		0.19157088122605362%
adopter		3		0.19157088122605362%
économique		3		0.19157088122605362%
suspension		3		0.19157088122605362%
riposte		3		0.19157088122605362%
j’		3		0.19157088122605362%
entreprises		3		0.19157088122605362%
conjointe		3		0.19157088122605362%
soutien		3		0.19157088122605362%
ce		3		0.19157088122605362%
dollars		3		0.19157088122605362%
us		3		0.19157088122605362%
mai		2		0.1277139208173691%
monsieur		2		0.1277139208173691%
grand		2		0.1277139208173691%
tenu		2		0.1277139208173691%
importants		2		0.1277139208173691%
