单词		词频		占比
la		159		4.976525821596244%
de		158		4.945226917057903%
et		133		4.162754303599374%
,		117		3.6619718309859155%
.		81		2.535211267605634%
l’		80		2.503912363067293%

		77		2.4100156494522693%
les		76		2.3787167449139277%
des		72		2.2535211267605635%
le		61		1.9092331768388107%
à		57		1.784037558685446%
en		46		1.4397496087636934%
chine		44		1.3771517996870108%
afrique		44		1.3771517996870108%
du		40		1.2519561815336464%
coopération		37		1.1580594679186227%
a		36		1.1267605633802817%
d’		35		1.0954616588419406%
ont		35		1.0954616588419406%
dans		33		1.0328638497652582%
africains		29		0.9076682316118936%
-		22		0.6885758998435054%
pays		22		0.6885758998435054%
un		21		0.6572769953051643%
pour		21		0.6572769953051643%
sur		20		0.6259780907668232%
avec		18		0.5633802816901409%
une		18		0.5633802816901409%
été		18		0.5633802816901409%
forum		17		0.5320813771517997%
développement		17		0.5320813771517997%
aux		16		0.5007824726134585%
sino-africaine		15		0.4694835680751174%
au		15		0.4694835680751174%
entre		14		0.4381846635367762%
œuvre		13		0.4068857589984351%
plus		12		0.3755868544600939%
paix		11		0.3442879499217527%
échanges		10		0.3129890453834116%
sommet		9		0.28169014084507044%
«		9		0.28169014084507044%
»		9		0.28169014084507044%
qui		9		0.28169014084507044%
internationale		9		0.28169014084507044%
chinois		8		0.25039123630672927%
gagnant		8		0.25039123630672927%
sécurité		8		0.25039123630672927%
covid-19		8		0.25039123630672927%
s’		8		0.25039123630672927%
ensemble		8		0.25039123630672927%
que		8		0.25039123630672927%
efforts		8		0.25039123630672927%
par		7		0.2190923317683881%
mise		7		0.2190923317683881%
se		7		0.2190923317683881%
deux		7		0.2190923317683881%
est		7		0.2190923317683881%
solidarité		7		0.2190923317683881%
son		7		0.2190923317683881%
elle		7		0.2190923317683881%
leur		7		0.2190923317683881%
conférence		6		0.18779342723004694%
(		6		0.18779342723004694%
fcsa		6		0.18779342723004694%
)		6		0.18779342723004694%
beijing		6		0.18779342723004694%
sont		6		0.18779342723004694%
relations		6		0.18779342723004694%
communauté		6		0.18779342723004694%
parties		6		0.18779342723004694%
depuis		6		0.18779342723004694%
travaillé		6		0.18779342723004694%
épidémie		6		0.18779342723004694%
autres		6		0.18779342723004694%
président		6		0.18779342723004694%
contre		6		0.18779342723004694%
nations		6		0.18779342723004694%
unies		6		0.18779342723004694%
nouvelle		6		0.18779342723004694%
soutien		6		0.18779342723004694%
millions		6		0.18779342723004694%
médias		6		0.18779342723004694%
ministérielle		5		0.1564945226917058%
succès		5		0.1564945226917058%
sino-africaines		5		0.1564945226917058%
tous		5		0.1564945226917058%
projets		5		0.1564945226917058%
n’		5		0.1564945226917058%
cause		5		0.1564945226917058%
niveau		5		0.1564945226917058%
xi		5		0.1564945226917058%
jinping		5		0.1564945226917058%
initiative		5		0.1564945226917058%
nombre		5		0.1564945226917058%
sans		5		0.1564945226917058%
promouvoir		5		0.1564945226917058%
africaines		5		0.1564945226917058%
nouveaux		5		0.1564945226917058%
peuples		5		0.1564945226917058%
suivi		4		0.12519561815336464%
avenir		4		0.12519561815336464%
ans		4		0.12519561815336464%
jusqu’		4		0.12519561815336464%
haut		4		0.12519561815336464%
ses		4		0.12519561815336464%
dirigeants		4		0.12519561815336464%
commission		4		0.12519561815336464%
face		4		0.12519561815336464%
ua		4		0.12519561815336464%
internationales		4		0.12519561815336464%
ou		4		0.12519561815336464%
organisation		4		0.12519561815336464%
mondiale		4		0.12519561815336464%
activement		4		0.12519561815336464%
aides		4		0.12519561815336464%
cadre		4		0.12519561815336464%
cessé		4		0.12519561815336464%
approfondir		4		0.12519561815336464%
culturels		4		0.12519561815336464%
qualité		4		0.12519561815336464%
rapport		3		0.09389671361502347%
chers		3		0.09389671361502347%
je		3		0.09389671361502347%
acquis		3		0.09389671361502347%
construire		3		0.09389671361502347%
partagé		3		0.09389671361502347%
2019		3		0.09389671361502347%
commun		3		0.09389671361502347%
huit		3		0.09389671361502347%
initiatives		3		0.09389671361502347%
majeures		3		0.09389671361502347%
trois		3		0.09389671361502347%
surmonter		3		0.09389671361502347%
domaines		3		0.09389671361502347%
rôle		3		0.09389671361502347%
difficultés		3		0.09389671361502347%
travers		3		0.09389671361502347%
il		3		0.09389671361502347%
union		3		0.09389671361502347%
africaine		3		0.09389671361502347%
donné		3		0.09389671361502347%
lors		3		0.09389671361502347%
générale		3		0.09389671361502347%
situation		3		0.09389671361502347%
fermement		3		0.09389671361502347%
forte		3		0.09389671361502347%
sous		3		0.09389671361502347%
organisations		3		0.09389671361502347%
lutte		3		0.09389671361502347%
nombreux		3		0.09389671361502347%
