单词		词频		占比
la		251		7.38235294117647%
de		236		6.9411764705882355%
et		151		4.4411764705882355%
,		140		4.117647058823529%
l’		76		2.235294117647059%
.		71		2.088235294117647%

		70		2.0588235294117645%
sur		61		1.7941176470588234%
le		61		1.7941176470588234%
les		56		1.647058823529412%
à		54		1.588235294117647%
diplomatie		53		1.5588235294117647%
du		52		1.5294117647058825%
pensée		47		1.3823529411764706%
xi		44		1.2941176470588236%
jinping		44		1.2941176470588236%
d’		40		1.1764705882352942%
une		38		1.1176470588235294%
dans		32		0.9411764705882352%
pour		31		0.9117647058823529%
en		29		0.8529411764705883%
des		26		0.7647058823529412%
un		24		0.7058823529411765%
est		23		0.676470588235294%
nous		21		0.6176470588235293%
pays		19		0.5588235294117647%
chinoise		19		0.5588235294117647%
a		19		0.5588235294117647%
monde		18		0.5294117647058824%
aux		17		0.5%
développement		17		0.5%
grand		16		0.4705882352941176%
chine		16		0.4705882352941176%
nouvelle		16		0.4705882352941176%
«		15		0.4411764705882353%
»		15		0.4411764705882353%
plus		15		0.4411764705882353%
chinoises		14		0.411764705882353%
qui		14		0.411764705882353%
au		13		0.3823529411764706%
notre		13		0.3823529411764706%
théorie		13		0.3823529411764706%
caractéristiques		12		0.35294117647058826%
tous		11		0.3235294117647059%
diplomatique		11		0.3235294117647059%
faire		11		0.3235294117647059%
humanité		10		0.29411764705882354%
internationale		10		0.29411764705882354%
par		10		0.29411764705882354%
relations		10		0.29411764705882354%
ère		9		0.2647058823529412%
s’		9		0.2647058823529412%
pratique		9		0.2647058823529412%
internationales		9		0.2647058823529412%
histoire		8		0.2352941176470588%
cette		8		0.2352941176470588%
que		8		0.2352941176470588%
socialisme		8		0.2352941176470588%
nation		8		0.2352941176470588%
avec		8		0.2352941176470588%
partagé		8		0.2352941176470588%
devons		8		0.2352941176470588%
entre		8		0.2352941176470588%
politique		8		0.2352941176470588%
mondiale		7		0.2058823529411765%
gouvernance		7		0.2058823529411765%
communauté		7		0.2058823529411765%
se		7		0.2058823529411765%
nouvelles		6		0.17647058823529413%
secrétaire		6		0.17647058823529413%
général		6		0.17647058823529413%
grande		6		0.17647058823529413%
coopération		6		0.17647058823529413%
traditionnelle		6		0.17647058823529413%
sans		5		0.14705882352941177%
cesse		5		0.14705882352941177%
centre		5		0.14705882352941177%
étude		5		0.14705882352941177%
ainsi		5		0.14705882352941177%
son		5		0.14705882352941177%
elle		5		0.14705882352941177%
sa		5		0.14705882352941177%
comité		5		0.14705882352941177%
central		5		0.14705882352941177%
pcc		5		0.14705882352941177%
-		5		0.14705882352941177%
nos		5		0.14705882352941177%
système		5		0.14705882352941177%
action		5		0.14705882352941177%
avenir		5		0.14705882352941177%
nouveau		5		0.14705882352941177%
marxisme		5		0.14705882352941177%
manière		5		0.14705882352941177%
intérêts		5		0.14705882352941177%
profondeur		4		0.1176470588235294%
perspectives		4		0.1176470588235294%
recherche		4		0.1176470588235294%
chers		4		0.1176470588235294%
collègues		4		0.1176470588235294%
aujourd’hui		4		0.1176470588235294%
c’		4		0.1176470588235294%
importante		4		0.1176470588235294%
depuis		4		0.1176470588235294%
parti		4		0.1176470588235294%
été		4		0.1176470588235294%
aussi		4		0.1176470588235294%
temps		4		0.1176470588235294%
vision		4		0.1176470588235294%
globale		4		0.1176470588235294%
position		4		0.1176470588235294%
esprit		4		0.1176470588235294%
progrès		4		0.1176470588235294%
construire		4		0.1176470588235294%
principes		4		0.1176470588235294%
époque		4		0.1176470588235294%
avons		4		0.1176470588235294%
gagnant		4		0.1176470588235294%
réforme		4		0.1176470588235294%
acquis		4		0.1176470588235294%
scientifique		4		0.1176470588235294%
construction		4		0.1176470588235294%
type		4		0.1176470588235294%
renforcer		4		0.1176470588235294%
il		4		0.1176470588235294%
bien		4		0.1176470588235294%
peuples		4		0.1176470588235294%
efforts		4		0.1176470588235294%
étudier		3		0.08823529411764706%
ouvrir		3		0.08823529411764706%
années		3		0.08823529411764706%
théorique		3		0.08823529411764706%
grandes		3		0.08823529411764706%
chinois		3		0.08823529411764706%
riche		3		0.08823529411764706%
jamais		3		0.08823529411764706%
n’		3		0.08823529411764706%
renouveau		3		0.08823529411764706%
même		3		0.08823529411764706%
changements		3		0.08823529411764706%
face		3		0.08823529411764706%
situation		3		0.08823529411764706%
juste		3		0.08823529411764706%
loi		3		0.08823529411764706%
humaine		3		0.08823529411764706%
avancé		3		0.08823529411764706%
nouveaux		3		0.08823529411764706%
concepts		3		0.08823529411764706%
tendance		3		0.08823529411764706%
ordre		3		0.08823529411764706%
base		3		0.08823529411764706%
jour		3		0.08823529411764706%
fondamentaux		3		0.08823529411764706%
direction		3		0.08823529411764706%
tout		3		0.08823529411764706%
mondial		3		0.08823529411764706%
;		3		0.08823529411764706%
promouvoir		3		0.08823529411764706%
cadre		3		0.08823529411764706%
initiative		3		0.08823529411764706%
route		3		0.08823529411764706%
principe		3		0.08823529411764706%
mondialisation		3		0.08823529411764706%
contre		3		0.08823529411764706%
importance		3		0.08823529411764706%
plan		3		0.08823529411764706%
historique		3		0.08823529411764706%
économique		3		0.08823529411764706%
portée		3		0.08823529411764706%
justice		3		0.08823529411764706%
hauteur		3		0.08823529411764706%
profonde		3		0.08823529411764706%
paix		3		0.08823529411764706%
égard		3		0.08823529411764706%
davantage		3		0.08823529411764706%
approche		3		0.08823529411764706%
ouverture		3		0.08823529411764706%
afin		3		0.08823529411764706%
capacité		3		0.08823529411764706%
appliquer		2		0.0588235294117647%
état		2		0.0588235294117647%
affaires		2		0.0588235294117647%
je		2		0.0588235294117647%
camarades		2		0.0588235294117647%
front		2		0.0588235294117647%
mes		2		0.0588235294117647%
également		2		0.0588235294117647%
édification		2		0.0588235294117647%
montre		2		0.0588235294117647%
couleurs		2		0.0588235294117647%
haute		2		0.0588235294117647%
voie		2		0.0588235294117647%
essor		2		0.0588235294117647%
grandiose		2		0.0588235294117647%
proche		2		0.0588235294117647%
traverse		2		0.0588235294117647%
vues		2		0.0588235294117647%
siècle		2		0.0588235294117647%
profonds		2		0.0588235294117647%
société		2		0.0588235294117647%
idées		2		0.0588235294117647%
questions		2		0.0588235294117647%
doivent		2		0.0588235294117647%
-elle		2		0.0588235294117647%
actions		2		0.0588235294117647%
diplomatiques		2		0.0588235294117647%
suivre		2		0.0588235294117647%
retour		2		0.0588235294117647%
avancer		2		0.0588235294117647%
ces		2		0.0588235294117647%
dernières		2		0.0588235294117647%
grâce		2		0.0588235294117647%
lumière		2		0.0588235294117647%
su		2		0.0588235294117647%
succès		2		0.0588235294117647%
:		2		0.0588235294117647%
activement		2		0.0588235294117647%
bâtir		2		0.0588235294117647%
réseau		2		0.0588235294117647%
partenariats		2		0.0588235294117647%
mettre		2		0.0588235294117647%
place		2		0.0588235294117647%
différents		2		0.0588235294117647%
ceinture		2		0.0588235294117647%
contribution		2		0.0588235294117647%
partagés		2		0.0588235294117647%
sorte		2		0.0588235294117647%
international		2		0.0588235294117647%
sens		2		0.0588235294117647%
pleinement		2		0.0588235294117647%
covid-19		2		0.0588235294117647%
santé		2		0.0588235294117647%
fait		2		0.0588235294117647%
ce		2		0.0588235294117647%
important		2		0.0588235294117647%
plans		2		0.0588235294117647%
composante		2		0.0588235294117647%
cause		2		0.0588235294117647%
autour		2		0.0588235294117647%
camarade		2		0.0588235294117647%
stratégique		2		0.0588235294117647%
