单词		词频		占比
discussions		1		0.05678591709256105%
aujourd’hui		1		0.05678591709256105%
remercions		1		0.05678591709256105%
moussa		1		0.05678591709256105%
faki		1		0.05678591709256105%
mahamat		1		0.05678591709256105%
présentations		1		0.05678591709256105%
pandémie		1		0.05678591709256105%
exacerbé		1		0.05678591709256105%
crise		1		0.05678591709256105%
engendré		1		0.05678591709256105%
profonds		1		0.05678591709256105%
politique		1		0.05678591709256105%
économique		1		0.05678591709256105%
posé		1		0.05678591709256105%
nouveaux		1		0.05678591709256105%
défis		1		0.05678591709256105%
est		1		0.05678591709256105%
appelée		1		0.05678591709256105%
avance		1		0.05678591709256105%
cet		1		0.05678591709256105%
égard		1		0.05678591709256105%
proposition		1		0.05678591709256105%
quatre		1		0.05678591709256105%
points		1		0.05678591709256105%
premièrement		1		0.05678591709256105%
privilégier		1		0.05678591709256105%
ligne		1		0.05678591709256105%
défense		1		0.05678591709256105%
oms		1		0.05678591709256105%
jouer		1		0.05678591709256105%
coordinateur		1		0.05678591709256105%
mobiliser		1		0.05678591709256105%
stratégie		1		0.05678591709256105%
commune		1		0.05678591709256105%
élaborée		1		0.05678591709256105%
obtenir		1		0.05678591709256105%
sanitaires		1		0.05678591709256105%
diagnostic		1		0.05678591709256105%
traitement		1		0.05678591709256105%
technologies		1		0.05678591709256105%
mécanismes		1		0.05678591709256105%
anti-épidémique		1		0.05678591709256105%
public		1		0.05678591709256105%
favoriser		1		0.05678591709256105%
accessibilité		1		0.05678591709256105%
abordabilité		1		0.05678591709256105%
pam		1		0.05678591709256105%
femmes		1		0.05678591709256105%
unicef		1		0.05678591709256105%
acteurs		1		0.05678591709256105%
concernés		1		0.05678591709256105%
invités		1		0.05678591709256105%
utiliser		1		0.05678591709256105%
respectifs		1		0.05678591709256105%
transport		1		0.05678591709256105%
couvrir		1		0.05678591709256105%
dernier		1		0.05678591709256105%
kilomètre		1		0.05678591709256105%
livraison		1		0.05678591709256105%
sorte		1		0.05678591709256105%
populations		1		0.05678591709256105%
pauvres		1		0.05678591709256105%
habitants		1		0.05678591709256105%
régions		1		0.05678591709256105%
éloignées		1		0.05678591709256105%
vulnérables		1		0.05678591709256105%
soient		1		0.05678591709256105%
pris		1		0.05678591709256105%
charge		1		0.05678591709256105%
rapidement		1		0.05678591709256105%
effectivement		1		0.05678591709256105%
devons		1		0.05678591709256105%
vision		1		0.05678591709256105%
long		1		0.05678591709256105%
terme		1		0.05678591709256105%
visant		1		0.05678591709256105%
contrôle		1		0.05678591709256105%
incidents		1		0.05678591709256105%
réponse		1		0.05678591709256105%
maladies		1		0.05678591709256105%
infectieuses		1		0.05678591709256105%
vue		1		0.05678591709256105%
deuxièmement		1		0.05678591709256105%
objectif		1		0.05678591709256105%
pacifique		1		0.05678591709256105%
stable		1		0.05678591709256105%
70		1		0.05678591709256105%
%		1		0.05678591709256105%
sujets		1		0.05678591709256105%
traités		1		0.05678591709256105%
sein		1		0.05678591709256105%
concerne		1		0.05678591709256105%
n’		1		0.05678591709256105%
aura		1		0.05678591709256105%
pas		1		0.05678591709256105%
étroite		1		0.05678591709256105%
manière		1		0.05678591709256105%
coordonnée		1		0.05678591709256105%
appel		1		0.05678591709256105%
cessez-le-feu		1		0.05678591709256105%
parties		1		0.05678591709256105%
conflit		1		0.05678591709256105%
concentrer		1		0.05678591709256105%
riposte		1		0.05678591709256105%
hostilités		1		0.05678591709256105%
continuer		1		0.05678591709256105%
commun		1		0.05678591709256105%
partenariat		1		0.05678591709256105%
renforcé		1		0.05678591709256105%
conflits		1		0.05678591709256105%
réconciliation		1		0.05678591709256105%
réalisation		1		0.05678591709256105%
mécanisme		1		0.05678591709256105%
consultations		1		0.05678591709256105%
annuelles		1		0.05678591709256105%
élever		1		0.05678591709256105%
assumer		1		0.05678591709256105%
responsabilités		1		0.05678591709256105%
aidant		1		0.05678591709256105%
propres		1		0.05678591709256105%
terrorisme		1		0.05678591709256105%
même		1		0.05678591709256105%
accélération		1		0.05678591709256105%
attente		1		0.05678591709256105%
capacité		1		0.05678591709256105%
réaction		1		0.05678591709256105%
immédiate		1		0.05678591709256105%
crises		1		0.05678591709256105%
alerte		1		0.05678591709256105%
précoce		1		0.05678591709256105%
soutenant		1		0.05678591709256105%
octroi		1		0.05678591709256105%
financier		1		0.05678591709256105%
prévisible		1		0.05678591709256105%
troisièmement		1		0.05678591709256105%
appuyer		1		0.05678591709256105%
marche		1		0.05678591709256105%
partagée		1		0.05678591709256105%
revient		1		0.05678591709256105%
conformément		1		0.05678591709256105%
organisation		1		0.05678591709256105%
mise		1		0.05678591709256105%
agenda		1		0.05678591709256105%
2063		1		0.05678591709256105%
qu’		1		0.05678591709256105%
elles		1		0.05678591709256105%
priorité		1		0.05678591709256105%
élimination		1		0.05678591709256105%
pauvreté		1		0.05678591709256105%
domaines		1		0.05678591709256105%
agriculture		1		0.05678591709256105%
éducation		1		0.05678591709256105%
infrastructures		1		0.05678591709256105%
zone		1		0.05678591709256105%
libre		1		0.05678591709256105%
échange		1		0.05678591709256105%
amortir		1		0.05678591709256105%
contribuer		1		0.05678591709256105%
amélioration		1		0.05678591709256105%
bien-être		1		0.05678591709256105%
développés		1		0.05678591709256105%
doivent		1		0.05678591709256105%
davantage		1		0.05678591709256105%
tangibles		1		0.05678591709256105%
aide		1		0.05678591709256105%
allègement		1		0.05678591709256105%
transfert		1		0.05678591709256105%
technologie		1		0.05678591709256105%
institutions		1		0.05678591709256105%
financières		1		0.05678591709256105%
invitées		1		0.05678591709256105%
canaliser		1		0.05678591709256105%
continent		1		0.05678591709256105%
plein		1		0.05678591709256105%
vitalité		1		0.05678591709256105%
espoir		1		0.05678591709256105%
agit		1		0.05678591709256105%
là		1		0.05678591709256105%
investissement		1		0.05678591709256105%
humanité		1		0.05678591709256105%
quatrièmement		1		0.05678591709256105%
attacher		1		0.05678591709256105%
équité		1		0.05678591709256105%
justice		1		0.05678591709256105%
bénéficier		1		0.05678591709256105%
fruits		1		0.05678591709256105%
inégalités		1		0.05678591709256105%
droits		1		0.05678591709256105%
chances		1		0.05678591709256105%
élaboration		1		0.05678591709256105%
répartition		1		0.05678591709256105%
personnel		1		0.05678591709256105%
refléter		1		0.05678591709256105%
besoins		1		0.05678591709256105%
augmenter		1		0.05678591709256105%
représentation		1		0.05678591709256105%
droit		1		0.05678591709256105%
parole		1		0.05678591709256105%
permettre		1		0.05678591709256105%
participer		1		0.05678591709256105%
pied		1		0.05678591709256105%
égalité		1		0.05678591709256105%
contribution		1		0.05678591709256105%
importante		1		0.05678591709256105%
connaissent		1		0.05678591709256105%
passe		1		0.05678591709256105%
aptes		1		0.05678591709256105%
régler		1		0.05678591709256105%
questions		1		0.05678591709256105%
gestion		1		0.05678591709256105%
dossiers		1		0.05678591709256105%
respecter		1		0.05678591709256105%
volonté		1		0.05678591709256105%
valoir		1		0.05678591709256105%
organisations		1		0.05678591709256105%
régionales		1		0.05678591709256105%
sous-régionales		1		0.05678591709256105%
solutions		1		0.05678591709256105%
été		1		0.05678591709256105%
amie		1		0.05678591709256105%
sincère		1		0.05678591709256105%
partage		1		0.05678591709256105%
mêmes		1		0.05678591709256105%
idéaux		1		0.05678591709256105%
fidèles		1		0.05678591709256105%
principes		1		0.05678591709256105%
sincérité		1		0.05678591709256105%
résultats		1		0.05678591709256105%
réels		1		0.05678591709256105%
amitié		1		0.05678591709256105%
bonne		1		0.05678591709256105%
foi		1		0.05678591709256105%
recherche		1		0.05678591709256105%
partagés		1		0.05678591709256105%
travaillons		1		0.05678591709256105%
constamment		1		0.05678591709256105%
rêve		1		0.05678591709256105%
redressement		1		0.05678591709256105%
dirigeants		1		0.05678591709256105%
tenir		1		0.05678591709256105%
sommet		1		0.05678591709256105%
extraordinaire		1		0.05678591709256105%
ils		1		0.05678591709256105%
décidé		1		0.05678591709256105%
unanimité		1		0.05678591709256105%
communes		1		0.05678591709256105%
