单词		词频		占比
de		368		5.07446221731936%
.		300		4.136789851075565%
la		268		3.6955322669608384%
,		254		3.5024820739106453%

		222		3.061224489795918%
et		212		2.923331494760066%
les		186		2.564809707666851%
l’		151		2.082184225041368%
le		126		1.7374517374517375%
à		125		1.7236624379481522%
des		120		1.654715940430226%
d’		95		1.3099834528405958%
nous		88		1.2134583563154993%
pour		86		1.1858797573083288%
du		75		1.0341974627688912%
est		74		1.0204081632653061%
dans		72		0.9928295642581356%
en		70		0.9652509652509652%
que		60		0.827357970215113%
un		56		0.7722007722007722%
une		55		0.758411472697187%
il		47		0.6480970766685052%
chine		46		0.63430777716492%
a		37		0.5102040816326531%
sur		34		0.4688361831218974%
covid-19		33		0.4550468836183122%
aux		33		0.4550468836183122%
plus		33		0.4550468836183122%
pays		32		0.441257584114727%
mesures		30		0.4136789851075565%
qui		29		0.3998896856039713%
ces		29		0.3998896856039713%
marché		29		0.3998896856039713%
ce		27		0.37231108659680084%
cette		26		0.35852178709321564%
au		26		0.35852178709321564%
faire		25		0.34473248758963043%
entreprises		25		0.34473248758963043%
économie		24		0.3309431880860452%
sont		24		0.3309431880860452%
deux		24		0.3309431880860452%
pas		23		0.31715388858246%
:		23		0.31715388858246%
monde		23		0.31715388858246%
?		23		0.31715388858246%
mais		22		0.3033645890788748%
développement		22		0.3033645890788748%
année		21		0.28957528957528955%
avons		21		0.28957528957528955%
gouvernement		20		0.27578599007170435%
politiques		20		0.27578599007170435%
par		20		0.27578599007170435%
«		19		0.26199669056811914%
»		19		0.26199669056811914%
ont		19		0.26199669056811914%
faut		19		0.26199669056811914%
avec		19		0.26199669056811914%
emploi		18		0.2482073910645339%
personnes		18		0.2482073910645339%
population		17		0.2344180915609487%
ne		17		0.2344180915609487%
notre		17		0.2344180915609487%
c’		17		0.2344180915609487%
qu’		17		0.2344180915609487%
coopération		17		0.2344180915609487%
se		16		0.2206287920573635%
n’		16		0.2206287920573635%
y		15		0.20683949255377826%
s’		14		0.19305019305019305%
on		14		0.19305019305019305%
fonds		14		0.19305019305019305%
devons		14		0.19305019305019305%
premier		13		0.17926089354660782%
économique		13		0.17926089354660782%
comme		13		0.17926089354660782%
nouveaux		13		0.17926089354660782%
ministre		12		0.1654715940430226%
li		12		0.1654715940430226%
keqiang		12		0.1654715940430226%
difficultés		12		0.1654715940430226%
dit		12		0.1654715940430226%
croissance		12		0.1654715940430226%
