单词		词频		占比
de		1941		5.831630813604134%
,		1711		5.140608099987983%
la		1653		4.966350198293474%
et		1508		4.5307054440572045%
l’		850		2.5537795937988226%
.		778		2.3374594399711572%
à		705		2.1181348395625523%
le		694		2.085085927172215%
les		679		2.040019228458118%

		652		1.9588991707727437%
du		548		1.6464367263550055%
des		536		1.610383367383728%
en		418		1.2558586708328328%
d’		411		1.2348275447662542%
nous		326		0.9794495853863718%
une		313		0.9403917798341546%
pour		288		0.8652806153106598%
un		280		0.8412450426631415%
dans		255		0.7661338781396467%
parti		250		0.7511116452349478%
que		203		0.6099026559307776%
est		171		0.5137603653407042%
au		157		0.4716981132075472%
développement		156		0.4686936666266074%
;		153		0.459680326883788%
il		147		0.4416536473981493%
notre		145		0.4356447542362697%
système		135		0.4056002884268718%
chinoise		128		0.38456916236029326%
aux		128		0.38456916236029326%
sur		114		0.3425069102271362%
plus		114		0.3425069102271362%
peuple		108		0.32448023074149746%
par		107		0.32147578416055766%
pays		98		0.29443576493209955%
tout		98		0.29443576493209955%
a		97		0.2914313183511597%
se		95		0.2854224251892801%
politique		95		0.2854224251892801%
tous		94		0.28241797860834034%
«		93		0.27941353202740055%
»		93		0.27941353202740055%
qui		90		0.2704001922845812%
faut		89		0.2673957457036414%
s’		88		0.2643912991227016%
faire		87		0.2613868525417618%
édification		82		0.24636461963706285%
chine		76		0.2283379401514241%
état		70		0.21031126066578537%
socialisme		69		0.20730681408484558%
ainsi		69		0.20730681408484558%
grand		67		0.201297920922966%
devons		67		0.201297920922966%
socialiste		65		0.19528902776108642%
nouvelle		63		0.18928013459920684%
réforme		63		0.18928013459920684%
avec		62		0.18627568801826705%
entre		61		0.18327124143732726%
chinois		60		0.18026679485638747%
vie		57		0.1712534551135681%
leur		57		0.1712534551135681%
renforcer		57		0.1712534551135681%
sans		56		0.1682490085326283%
nation		56		0.1682490085326283%
loi		54		0.16224011537074873%
son		54		0.16224011537074873%
armée		51		0.15322677562792936%
société		50		0.15022232904698957%
grande		50		0.15022232904698957%
afin		50		0.15022232904698957%
gouvernance		49		0.14721788246604978%
nos		49		0.14721788246604978%
réaliser		48		0.14421343588510996%
toute		48		0.14421343588510996%
ce		48		0.14421343588510996%
promouvoir		48		0.14421343588510996%
qu’		47		0.14120898930417017%
travail		46		0.13820454272323038%
ses		46		0.13820454272323038%
direction		45		0.1352000961422906%
nationale		45		0.1352000961422906%
sa		45		0.1352000961422906%
développer		44		0.1321956495613508%
améliorer		43		0.129191202980411%
-		43		0.129191202980411%
population		43		0.129191202980411%
culture		42		0.12618675639947122%
esprit		41		0.12318230981853143%
leurs		41		0.12318230981853143%
lutte		40		0.12017786323759164%
ont		40		0.12017786323759164%
deux		40		0.12017786323759164%
sont		39		0.11717341665665185%
place		39		0.11717341665665185%
principe		38		0.11416897007571206%
rôle		38		0.11416897007571206%
sécurité		38		0.11416897007571206%
mettre		38		0.11416897007571206%
efforts		37		0.11116452349477227%
économie		36		0.10816007691383248%
ère		35		0.10515563033289269%
renouveau		35		0.10515563033289269%
démocratie		35		0.10515563033289269%
doit		35		0.10515563033289269%
avons		33		0.0991467371710131%
toutes		33		0.0991467371710131%
gestion		33		0.0991467371710131%
comme		33		0.0991467371710131%
manière		33		0.0991467371710131%
niveau		32		0.09614229059007331%
régions		32		0.09614229059007331%
politiques		32		0.09614229059007331%
populaire		31		0.09313784400913352%
protection		31		0.09313784400913352%
sociale		31		0.09313784400913352%
modernisation		30		0.09013339742819373%
économique		30		0.09013339742819373%
assurer		30		0.09013339742819373%
maintenir		29		0.08712895084725394%
sera		29		0.08712895084725394%
pas		28		0.08412450426631415%
ensemble		28		0.08412450426631415%
mise		28		0.08412450426631415%
domaines		28		0.08412450426631415%
matière		28		0.08412450426631415%
pouvoir		28		0.08412450426631415%
voie		28		0.08412450426631415%
cadres		28		0.08412450426631415%
populaires		28		0.08412450426631415%
même		27		0.08112005768537436%
éducation		27		0.08112005768537436%
intérêts		27		0.08112005768537436%
base		27		0.08112005768537436%
vertu		26		0.07811561110443457%
application		26		0.07811561110443457%
monde		26		0.07811561110443457%
contrôle		26		0.07811561110443457%
contre		25		0.07511116452349478%
ne		25		0.07511116452349478%
innovation		24		0.07210671794255498%
progresser		24		0.07210671794255498%
bien		24		0.07210671794255498%
n’		24		0.07210671794255498%
capacité		24		0.07210671794255498%
national		24		0.07210671794255498%
œuvre		24		0.07210671794255498%
intégrale		23		0.06910227136161519%
rêve		23		0.06910227136161519%
toujours		23		0.06910227136161519%
être		23		0.06910227136161519%
environnement		23		0.06910227136161519%
problèmes		23		0.06910227136161519%
appliquer		23		0.06910227136161519%
temps		23		0.06910227136161519%
perfectionner		23		0.06910227136161519%
services		23		0.06910227136161519%
créer		23		0.06910227136161519%
moderne		23		0.06910227136161519%
doivent		22		0.0660978247806754%
ouverture		22		0.0660978247806754%
discipline		22		0.0660978247806754%
régime		22		0.0660978247806754%
sein		22		0.0660978247806754%
scientifique		22		0.0660978247806754%
masses		22		0.0660978247806754%
coopération		22		0.0660978247806754%
forces		22		0.0660978247806754%
pratique		22		0.0660978247806754%
organisations		22		0.0660978247806754%
seront		22		0.0660978247806754%
meilleure		21		0.06309337819973561%
objectif		21		0.06309337819973561%
production		21		0.06309337819973561%
époque		21		0.06309337819973561%
puissance		21		0.06309337819973561%
aussi		21		0.06309337819973561%
sociales		21		0.06309337819973561%
