单词		词频		占比
développement		13		2.691511387163561%
Chine		11		2.2774327122153206%
paix		10		2.070393374741201%
pays		10		2.070393374741201%
mondial		8		1.6563146997929608%
international		8		1.6563146997929608%
monde		7		1.4492753623188406%
ensemble		5		1.0351966873706004%
promouvoir		5		1.0351966873706004%
covid-19		4		0.8281573498964804%
forum		4		0.8281573498964804%
grand		4		0.8281573498964804%
réponse		4		0.8281573498964804%
communauté		4		0.8281573498964804%
coopération		4		0.8281573498964804%
poursuivre		4		0.8281573498964804%
relance		3		0.6211180124223602%
Paris		3		0.6211180124223602%
président		3		0.6211180124223602%
cher		3		0.6211180124223602%
partager		3		0.6211180124223602%
faire		3		0.6211180124223602%
devoir		3		0.6211180124223602%
santé		3		0.6211180124223602%
matière		3		0.6211180124223602%
construire		3		0.6211180124223602%
déterminer		3		0.6211180124223602%
œuvre		3		0.6211180124223602%
humanité		3		0.6211180124223602%
France		3		0.6211180124223602%
voie		3		0.6211180124223602%
politique		3		0.6211180124223602%
combattre		2		0.4140786749482402%
sauvegarder		2		0.4140786749482402%
édition		2		0.4140786749482402%
Emmanuel		2		0.4140786749482402%
macron		2		0.4140786749482402%
madame		2		0.4140786749482402%
monsieur		2		0.4140786749482402%
ami		2		0.4140786749482402%
fournir		2		0.4140786749482402%
important		2		0.4140786749482402%
rôle		2		0.4140786749482402%
actif		2		0.4140786749482402%
renforcer		2		0.4140786749482402%
multilatéralisme		2		0.4140786749482402%
effort		2		0.4140786749482402%
menace		2		0.4140786749482402%
conventionnel		2		0.4140786749482402%
défi		2		0.4140786749482402%
appeler		2		0.4140786749482402%
solidarité		2		0.4140786749482402%
peuple		2		0.4140786749482402%
respecter		2		0.4140786749482402%
valoriser		2		0.4140786749482402%
bien		2		0.4140786749482402%
public		2		0.4140786749482402%
contribuer		2		0.4140786749482402%
ouverture		2		0.4140786749482402%
plan		2		0.4140786749482402%
approfondir		2		0.4140786749482402%
travailler		2		0.4140786749482402%
stabilité		2		0.4140786749482402%
économie		2		0.4140786749482402%
initiative		2		0.4140786749482402%
vert		2		0.4140786749482402%
avenir		2		0.4140786749482402%
Europe		2		0.4140786749482402%
mise		2		0.4140786749482402%
changement		2		0.4140786749482402%
climatique		2		0.4140786749482402%
défendre		2		0.4140786749482402%
justice		2		0.4140786749482402%
préserver		2		0.4140786749482402%
pacifique		2		0.4140786749482402%
droit		2		0.4140786749482402%
rejeter		2		0.4140786749482402%
sécurité		2		0.4140786749482402%
ŒUVRONS		1		0.2070393374741201%
allocution		1		0.2070393374741201%
cérémonie		1		0.2070393374741201%
officiel		1		0.2070393374741201%
Beijing		1		0.2070393374741201%
novembre		1		0.2070393374741201%
m.		1		0.2070393374741201%
Xi		1		0.2070393374741201%
Jinping		1		0.2070393374741201%
république		1		0.2070393374741201%
populaire		1		0.2070393374741201%
Monsieur		1		0.2070393374741201%
collègue		1		0.2070393374741201%
plaisir		1		0.2070393374741201%
participer		1		0.2070393374741201%
création		1		0.2070393374741201%
plateforme		1		0.2070393374741201%
party		1		0.2070393374741201%
jouer		1		0.2070393374741201%
connaissance		1		0.2070393374741201%
mutuel		1		0.2070393374741201%
perfectionner		1		0.2070393374741201%
gouvernance		1		0.2070393374741201%
saluer		1		0.2070393374741201%
déployer		1		0.2070393374741201%
partie		1		0.2070393374741201%
français		1		0.2070393374741201%
heure		1		0.2070393374741201%
actuel		1		0.2070393374741201%
échiquier		1		0.2070393374741201%
évolue		1		0.2070393374741201%
rythme		1		0.2070393374741201%
accéléré		1		0.2070393374741201%
sécuritaire		1		0.2070393374741201%
non		1		0.2070393374741201%
multiplier		1		0.2070393374741201%
situation		1		0.2070393374741201%
connaître		1		0.2070393374741201%
montée		1		0.2070393374741201%
sensible		1		0.2070393374741201%
instabilité		1		0.2070393374741201%
incertitude		1		0.2070393374741201%
vouloir		1		0.2070393374741201%
occasion		1		0.2070393374741201%
proposition		1		0.2070393374741201%
preuve		1		0.2070393374741201%
virus		1		0.2070393374741201%
continue		1		0.2070393374741201%
sévir		1		0.2070393374741201%
placer		1		0.2070393374741201%
vie		1		0.2070393374741201%
humain		1		0.2070393374741201%
au-dessus		1		0.2070393374741201%
donner		1		0.2070393374741201%
priorité		1		0.2070393374741201%
bien-être		1		0.2070393374741201%
population		1		0.2070393374741201%
science		1		0.2070393374741201%
apporter		1		0.2070393374741201%
ciblé		1		0.2070393374741201%
concertée		1		0.2070393374741201%
falloir		1		0.2070393374741201%
pleinement		1		0.2070393374741201%
leader		1		0.2070393374741201%
crucial		1		0.2070393374741201%
organisation		1		0.2070393374741201%
faveur		1		0.2070393374741201%
collectif		1		0.2070393374741201%
continuer		1		0.2070393374741201%
expérience		1		0.2070393374741201%
lutte		1		0.2070393374741201%
contre		1		0.2070393374741201%
technique		1		0.2070393374741201%
diagnostic		1		0.2070393374741201%
traitement		1		0.2070393374741201%
matériel		1		0.2070393374741201%
médical		1		0.2070393374741201%
nécessaire		1		0.2070393374741201%
honorer		1		0.2070393374741201%
engagement		1		0.2070393374741201%
vaccin		1		0.2070393374741201%
renforcement		1		0.2070393374741201%
capacité		1		0.2070393374741201%
urgence		1		0.2070393374741201%
vue		1		0.2070393374741201%
semaine		1		0.2070393374741201%
session		1		0.2070393374741201%
plénier		1		0.2070393374741201%
comité		1		0.2070393374741201%
central		1		0.2070393374741201%
issu		1		0.2070393374741201%
xix		1		0.2070393374741201%
congrès		1		0.2070393374741201%
PCC		1		0.2070393374741201%
examiner		1		0.2070393374741201%
adopter		1		0.2070393374741201%
recommandation		1		0.2070393374741201%
élaboration		1		0.2070393374741201%
14		1		0.2070393374741201%
quinquennal		1		0.2070393374741201%
économique		1		0.2070393374741201%
social		1		0.2070393374741201%
objectif		1		0.2070393374741201%
long		1		0.2070393374741201%
terme		1		0.2070393374741201%
planifier		1		0.2070393374741201%
futur		1		0.2070393374741201%
concept		1		0.2070393374741201%
nouveau		1		0.2070393374741201%
dynamique		1		0.2070393374741201%
qualité		1		0.2070393374741201%
restons		1		0.2070393374741201%
réforme		1		0.2070393374741201%
élargir		1		0.2070393374741201%
assurer		1		0.2070393374741201%
chaîne		1		0.2070393374741201%
industriel		1		0.2070393374741201%
approvisionnement		1		0.2070393374741201%
bâtir		1		0.2070393374741201%
mettre		1		0.2070393374741201%
effectivement		1		0.2070393374741201%
g20		1		0.2070393374741201%
suspension		1		0.2070393374741201%
service		1		0.2070393374741201%
dette		1		0.2070393374741201%
pauvre		1		0.2070393374741201%
