单词		词频		占比
Chine		45		4.318618042226487%
Afrique		40		3.8387715930902107%
africain		29		2.783109404990403%
coopération		23		2.2072936660268714%
développement		20		1.9193857965451053%
pays		15		1.4395393474088292%
soutenir		12		1.1516314779270633%
programme		11		1.055662188099808%
sino-africain		10		0.9596928982725527%
mettre		10		0.9596928982725527%
projet		10		0.9596928982725527%
partager		7		0.6717850287907869%
ami		7		0.6717850287907869%
amitié		7		0.6717850287907869%
milliard		7		0.6717850287907869%
réaliser		7		0.6717850287907869%
cher		6		0.5758157389635317%
relation		6		0.5758157389635317%
initiative		6		0.5758157389635317%
chinois		6		0.5758157389635317%
vert		6		0.5758157389635317%
entreprise		6		0.5758157389635317%
avenir		5		0.47984644913627633%
conférence		5		0.47984644913627633%
forum		5		0.47984644913627633%
grand		5		0.47984644913627633%
an		5		0.47984644913627633%
contre		5		0.47984644913627633%
esprit		5		0.47984644913627633%
commun		5		0.47984644913627633%
œuvre		5		0.47984644913627633%
place		5		0.47984644913627633%
promotion		5		0.47984644913627633%
dollar		5		0.47984644913627633%
américain		5		0.47984644913627633%
communauté		4		0.3838771593090211%
président		4		0.3838771593090211%
changement		4		0.3838771593090211%
intérêt		4		0.3838771593090211%
promouvoir		4		0.3838771593090211%
construire		4		0.3838771593090211%
investissement		4		0.3838771593090211%
devoir		4		0.3838771593090211%
accorder		4		0.3838771593090211%
échange		4		0.3838771593090211%
réduction		4		0.3838771593090211%
pauvreté		4		0.3838771593090211%
paix		4		0.3838771593090211%
chinoiser		4		0.3838771593090211%
produit		4		0.3838771593090211%
ouverture		3		0.28790786948176583%
république		3		0.28790786948176583%
sincère		3		0.28790786948176583%
diplomatique		3		0.28790786948176583%
lutte		3		0.28790786948176583%
recherche		3		0.28790786948176583%
construction		3		0.28790786948176583%
équité		3		0.28790786948176583%
justice		3		0.28790786948176583%
ouvrir		3		0.28790786948176583%
Nations		3		0.28790786948176583%
poursuivre		3		0.28790786948176583%
travailler		3		0.28790786948176583%
proposition		3		0.28790786948176583%
être		3		0.28790786948176583%
effort		3		0.28790786948176583%
commerce		3		0.28790786948176583%
cadre		3		0.28790786948176583%
route		3		0.28790786948176583%
nouveau		3		0.28790786948176583%
droit		3		0.28790786948176583%
vaccin		3		0.28790786948176583%
numérique		3		0.28790786948176583%
Union		3		0.28790786948176583%
climatique		3		0.28790786948176583%
conjoint		3		0.28790786948176583%
santé		3		0.28790786948176583%
professionnel		3		0.28790786948176583%
centre		3		0.28790786948176583%
démonstration		3		0.28790786948176583%
formation		3		0.28790786948176583%
