单词		词频		占比
diplomatie		53		3.5498995311453454%
pensée		48		3.2150033489618215%
Xi		43		2.8801071667782985%
Jinping		43		2.8801071667782985%
chinois		34		2.277294038847957%
grand		26		1.7414601473543203%
nouveau		25		1.6744809109176158%
international		23		1.5405224380442064%
pays		19		1.2726054922973877%
monde		18		1.2056262558606832%
développement		17		1.1386470194239784%
Chine		16		1.0716677829872738%
caractéristique		13		0.8707300736771602%
diplomatique		13		0.8707300736771602%
théorie		13		0.8707300736771602%
faire		12		0.8037508372404554%
pratique		11		0.7367716008037508%
partager		11		0.7367716008037508%
humanité		10		0.6697923643670463%
relation		10		0.6697923643670463%
mondial		10		0.6697923643670463%
politique		10		0.6697923643670463%
ère		9		0.6028131279303416%
important		8		0.5358338914936369%
histoire		8		0.5358338914936369%
socialisme		8		0.5358338914936369%
nation		8		0.5358338914936369%
devoir		8		0.5358338914936369%
traditionnel		8		0.5358338914936369%
action		7		0.46885465505693236%
principe		7		0.46885465505693236%
gouvernance		7		0.46885465505693236%
communauté		7		0.46885465505693236%
secrétaire		6		0.4018754186202277%
général		6		0.4018754186202277%
vision		6		0.4018754186202277%
position		6		0.4018754186202277%
avancer		6		0.4018754186202277%
coopération		6		0.4018754186202277%
renforcer		6		0.4018754186202277%
intérêt		6		0.4018754186202277%
cesse		5		0.33489618218352313%
centre		5		0.33489618218352313%
étude		5		0.33489618218352313%
époque		5		0.33489618218352313%
être		5		0.33489618218352313%
profond		5		0.33489618218352313%
construire		5		0.33489618218352313%
comité		5		0.33489618218352313%
central		5		0.33489618218352313%
PCC		5		0.33489618218352313%
système		5		0.33489618218352313%
plan		5		0.33489618218352313%
avenir		5		0.33489618218352313%
marxisme		5		0.33489618218352313%
manière		5		0.33489618218352313%
peuple		5		0.33489618218352313%
profondeur		4		0.26791694574681846%
ouvrir		4		0.26791694574681846%
perspective		4		0.26791694574681846%
recherche		4		0.26791694574681846%
cher		4		0.26791694574681846%
collègue		4		0.26791694574681846%
aujourd’hui		4		0.26791694574681846%
camarade		4		0.26791694574681846%
temps		4		0.26791694574681846%
global		4		0.26791694574681846%
concept		4		0.26791694574681846%
initiative		4		0.26791694574681846%
esprit		4		0.26791694574681846%
progrès		4		0.26791694574681846%
fondamental		4		0.26791694574681846%
historique		4		0.26791694574681846%
gagnant		4		0.26791694574681846%
réforme		4		0.26791694574681846%
scientifique		4		0.26791694574681846%
construction		4		0.26791694574681846%
type		4		0.26791694574681846%
essentiel		4		0.26791694574681846%
bien		4		0.26791694574681846%
commun		4		0.26791694574681846%
effort		4		0.26791694574681846%
travailler		3		0.20093770931011384%
année		3		0.20093770931011384%
théorique		3		0.20093770931011384%
riche		3		0.20093770931011384%
renouveau		3		0.20093770931011384%
changement		3		0.20093770931011384%
face		3		0.20093770931011384%
situation		3		0.20093770931011384%
loi		3		0.20093770931011384%
humain		3		0.20093770931011384%
idée		3		0.20093770931011384%
incarner		3		0.20093770931011384%
tendance		3		0.20093770931011384%
apporter		3		0.20093770931011384%
ordre		3		0.20093770931011384%
savoir		3		0.20093770931011384%
