单词		词频		占比
Parti		223		1.5670016161900078%
chinois		198		1.3913287892628767%
développement		157		1.1032253531023821%
système		155		1.0891715269482116%
grand		133		0.9345794392523363%
politique		127		0.892417960789825%
peuple		114		0.801068090787717%
faire		107		0.7518796992481203%
pays		98		0.6886374815543532%
falloir		93		0.653502916168927%
nouveau		91		0.6394490900147565%
renforcer		89		0.625395263860586%
édification		82		0.5762068723209894%
Chine		75		0.5270184807813928%
socialiste		73		0.5129646546272223%
état		72		0.505937741550137%
national		72		0.505937741550137%
réforme		69		0.4848570023188813%
loi		69		0.4848570023188813%
social		69		0.4848570023188813%
devoir		69		0.4848570023188813%
socialisme		67		0.4708031761647109%
améliorer		65		0.4567493500105404%
réaliser		64		0.4497224369334551%
mettre		61		0.4286416977021994%
populaire		59		0.4145878715480289%
nation		58		0.4075609584709437%
vie		57		0.4005340453938585%
développer		56		0.3935071323167732%
principe		55		0.386480219239688%
promouvoir		53		0.3724263930855175%
armée		52		0.3653994800084323%
société		51		0.35837256693134706%
population		50		0.35134565385426186%
gouvernance		49		0.3443187407771766%
travail		47		0.3302649146230061%
pouvoir		47		0.3302649146230061%
direction		46		0.3232380015459209%
esprit		44		0.3091841753917504%
fondamental		44		0.3091841753917504%
culture		43		0.30215726231466516%
lutte		42		0.2951303492375799%
niveau		42		0.2951303492375799%
économie		41		0.2881034361604947%
force		40		0.28107652308340947%
place		39		0.2740496100063242%
assurer		38		0.26702269692923897%
effort		38		0.26702269692923897%
rôle		38		0.26702269692923897%
sécurité		38		0.26702269692923897%
intérêt		38		0.26702269692923897%
économique		37		0.2599957838521537%
poursuivre		37		0.2599957838521537%
culturel		36		0.2529688707750685%
cadre		36		0.2529688707750685%
public		36		0.2529688707750685%
ère		35		0.24594195769798327%
renouveau		35		0.24594195769798327%
plan		35		0.24594195769798327%
démocratie		35		0.24594195769798327%
essentiel		35		0.24594195769798327%
domaine		34		0.23891504462089805%
capacité		34		0.23891504462089805%
parti		33		0.2318881315438128%
appliquer		33		0.2318881315438128%
gestion		33		0.2318881315438128%
progresser		33		0.2318881315438128%
maintenir		33		0.2318881315438128%
manière		33		0.2318881315438128%
être		32		0.22486121846672755%
région		32		0.22486121846672755%
droit		32		0.22486121846672755%
important		31		0.21783430538964235%
objectif		31		0.21783430538964235%
œuvre		31		0.21783430538964235%
créer		31		0.21783430538964235%
protection		31		0.21783430538964235%
organisation		31		0.21783430538964235%
modernisation		30		0.2108073923125571%
matière		30		0.2108073923125571%
perfectionner		30		0.2108073923125571%
voie		30		0.2108073923125571%
moderne		30		0.2108073923125571%
base		30		0.2108073923125571%
international		29		0.20378047923547185%
mécanisme		29		0.20378047923547185%
masse		29		0.20378047923547185%
approfondir		29		0.20378047923547185%
innovation		28		0.1967535661583866%
ensemble		28		0.1967535661583866%
bien		28		0.1967535661583866%
scientifique		28		0.1967535661583866%
service		28		0.1967535661583866%
problème		27		0.18972665308130138%
mise		27		0.18972665308130138%
accélérer		27		0.18972665308130138%
éducation		27		0.18972665308130138%
commun		27		0.18972665308130138%
contrôle		27		0.18972665308130138%
intégral		26		0.18269974000421615%
rêve		26		0.18269974000421615%
meilleur		26		0.18269974000421615%
historique		26		0.18269974000421615%
vertu		26		0.18269974000421615%
application		26		0.18269974000421615%
qualité		26		0.18269974000421615%
monde		26		0.18269974000421615%
travailler		26		0.18269974000421615%
central		25		0.17567282692713093%
contre		25		0.17567282692713093%
activité		24		0.16864591385004568%
stratégique		24		0.16864591385004568%
global		24		0.16864591385004568%
pratique		24		0.16864591385004568%
environnement		23		0.16161900077296046%
discipline		23		0.16161900077296046%
temps		23		0.16161900077296046%
valeur		23		0.16161900077296046%
garantir		23		0.16161900077296046%
militaire		23		0.16161900077296046%
mener		23		0.16161900077296046%
entreprise		22		0.1545920876958752%
sorte		22		0.1545920876958752%
ouverture		22		0.1545920876958752%
écologique		22		0.1545920876958752%
permettre		22		0.1545920876958752%
régime		22		0.1545920876958752%
sein		22		0.1545920876958752%
jouer		22		0.1545920876958752%
civilisation		22		0.1545920876958752%
coopération		22		0.1545920876958752%
responsabilité		22		0.1545920876958752%
production		21		0.14756517461878996%
rural		21		0.14756517461878996%
mesure		21		0.14756517461878996%
époque		21		0.14756517461878996%
puissant		21		0.14756517461878996%
puissance		21		0.14756517461878996%
échelon		21		0.14756517461878996%
exigence		21		0.14756517461878996%
gouvernement		21		0.14756517461878996%
réalisation		20		0.14053826154170473%
prendre		20		0.14053826154170473%
pensée		20		0.14053826154170473%
mondial		20		0.14053826154170473%
stratégie		20		0.14053826154170473%
veiller		20		0.14053826154170473%
donner		20		0.14053826154170473%
marché		20		0.14053826154170473%
moyenne		19		0.13351134846461948%
camarade		19		0.13351134846461948%
comité		19		0.13351134846461948%
agir		19		0.13351134846461948%
institutionnel		19		0.13351134846461948%
efficace		19		0.13351134846461948%
long		19		0.13351134846461948%
encourager		19		0.13351134846461948%
aisance		18		0.12648443538753426%
extérieur		18		0.12648443538753426%
tâche		18		0.12648443538753426%
fermement		18		0.12648443538753426%
personne		18		0.12648443538753426%
ressource		18		0.12648443538753426%
défense		18		0.12648443538753426%
relation		18		0.12648443538753426%
bon		18		0.12648443538753426%
démocratique		18		0.12648443538753426%
théorie		18		0.12648443538753426%
membre		18		0.12648443538753426%
haut		17		0.11945752231044902%
accomplir		17		0.11945752231044902%
mode		17		0.11945752231044902%
construction		17		0.11945752231044902%
davantage		17		0.11945752231044902%
respect		17		0.11945752231044902%
conscience		17		0.11945752231044902%
progrès		17		0.11945752231044902%
réel		17		0.11945752231044902%
propre		17		0.11945752231044902%
condition		17		0.11945752231044902%
moyen		17		0.11945752231044902%
écosystème		17		0.11945752231044902%
établir		17		0.11945752231044902%
Hong		17		0.11945752231044902%
Kong		17		0.11945752231044902%
Macao		17		0.11945752231044902%
histoire		17		0.11945752231044902%
nature		17		0.11945752231044902%
fidèle		16		0.11243060923336377%
avancer		16		0.11243060923336377%
profond		16		0.11243060923336377%
disposition		16		0.11243060923336377%
cause		16		0.11243060923336377%
ligne		16		0.11243060923336377%
coordonné		16		0.11243060923336377%
administration		16		0.11243060923336377%
supervision		16		0.11243060923336377%
idéologique		16		0.11243060923336377%
revenu		16		0.11243060923336377%
savoir		16		0.11243060923336377%
cesse		16		0.11243060923336377%
respecter		16		0.11243060923336377%
communiste		15		0.10540369615627855%
mission		15		0.10540369615627855%
situation		15		0.10540369615627855%
connaître		15		0.10540369615627855%
fonction		15		0.10540369615627855%
devenir		15		0.10540369615627855%
création		15		0.10540369615627855%
stabilité		15		0.10540369615627855%
renforcement		15		0.10540369615627855%
échange		15		0.10540369615627855%
campagne		15		0.10540369615627855%
résoudre		15		0.10540369615627855%
importance		15		0.10540369615627855%
technologie		15		0.10540369615627855%
former		15		0.10540369615627855%
priorité		15		0.10540369615627855%
victoire		14		0.0983767830791933%
PCC		14		0.0983767830791933%
rester		14		0.0983767830791933%
caractériser		14		0.0983767830791933%
face		14		0.0983767830791933%
général		14		0.0983767830791933%
grâce		14		0.0983767830791933%
adopter		14		0.0983767830791933%
organe		14		0.0983767830791933%
promotion		14		0.0983767830791933%
construire		14		0.0983767830791933%
unité		14		0.0983767830791933%
combat		14		0.0983767830791933%
prospérité		14		0.0983767830791933%
combattre		14		0.0983767830791933%
humanité		14		0.0983767830791933%
règle		14		0.0983767830791933%
recherche		14		0.0983767830791933%
corruption		14		0.0983767830791933%
ferme		14		0.0983767830791933%
garantie		14		0.0983767830791933%
moral		14		0.0983767830791933%
formation		14		0.0983767830791933%
destin		13		0.09134987000210808%
but		13		0.09134987000210808%
conduire		13		0.09134987000210808%
question		13		0.09134987000210808%
profondeur		13		0.09134987000210808%
souveraineté		13		0.09134987000210808%
justice		13		0.09134987000210808%
confiance		13		0.09134987000210808%
pauvreté		13		0.09134987000210808%
habitant		13		0.09134987000210808%
emploi		13		0.09134987000210808%
unifier		13		0.09134987000210808%
faveur		13		0.09134987000210808%
homme		13		0.09134987000210808%
affaire		13		0.09134987000210808%
décisif		12		0.08432295692502284%
phase		12		0.08432295692502284%
lutter		12		0.08432295692502284%
apporter		12		0.08432295692502284%
continuer		12		0.08432295692502284%
concept		12		0.08432295692502284%
idée		12		0.08432295692502284%
secteur		12		0.08432295692502284%
établissement		12		0.08432295692502284%
autorité		12		0.08432295692502284%
marxisme		12		0.08432295692502284%
durable		12		0.08432295692502284%
solide		12		0.08432295692502284%
vert		12		0.08432295692502284%
initiative		12		0.08432295692502284%
révolutionnaire		12		0.08432295692502284%
paix		12		0.08432295692502284%
Taiwan		12		0.08432295692502284%
dirigeant		12		0.08432295692502284%
contradiction		12		0.08432295692502284%
terme		12		0.08432295692502284%
non		12		0.08432295692502284%
ordre		12		0.08432295692502284%
assemblée		12		0.08432295692502284%
congrès		11		0.0772960438479376%
garder		11		0.0772960438479376%
remporter		11		0.0772960438479376%
uni		11		0.0772960438479376%
changement		11		0.0772960438479376%
transformation		11		0.0772960438479376%
décision		11		0.0772960438479376%
rang		11		0.0772960438479376%
résolument		11		0.0772960438479376%
élevé		11		0.0772960438479376%
principal		11		0.0772960438479376%
industrie		11		0.0772960438479376%
projet		11		0.0772960438479376%
résultat		11		0.0772960438479376%
caractère		11		0.0772960438479376%
consolider		11		0.0772960438479376%
citoyen		11		0.0772960438479376%
administratif		11		0.0772960438479376%
style		11		0.0772960438479376%
intégralement		11		0.0772960438479376%
exercer		11		0.0772960438479376%
communauté		11		0.0772960438479376%
défendre		11		0.0772960438479376%
accorder		11		0.0772960438479376%
exercice		11		0.0772960438479376%
avenir		11		0.0772960438479376%
trouver		11		0.0772960438479376%
jamais		11		0.0772960438479376%
preuve		11		0.0772960438479376%
orientation		11		0.0772960438479376%
accroître		11		0.0772960438479376%
favoriser		11		0.0772960438479376%
perfectionneron		11		0.0772960438479376%
continuellement		10		0.07026913077085237%
aspiration		10		0.07026913077085237%
période		10		0.07026913077085237%
défi		10		0.07026913077085237%
unir		10		0.07026913077085237%
dernier		10		0.07026913077085237%
année		10		0.07026913077085237%
difficulté		10		0.07026913077085237%
rigoureux		10		0.07026913077085237%
supérieur		10		0.07026913077085237%
an		10		0.07026913077085237%
tandis		10		0.07026913077085237%
zone		10		0.07026913077085237%
ailleurs		10		0.07026913077085237%
œuvrer		10		0.07026913077085237%
consultatif		10		0.07026913077085237%
innovant		10		0.07026913077085237%
surveillance		10		0.07026913077085237%
large		10		0.07026913077085237%
urbain		10		0.07026913077085237%
constitution		10		0.07026913077085237%
pacifique		10		0.07026913077085237%
rive		10		0.07026913077085237%
action		10		0.07026913077085237%
idéau		10		0.07026913077085237%
courage		10		0.07026913077085237%
conception		10		0.07026913077085237%
nombre		10		0.07026913077085237%
doter		10		0.07026913077085237%
faible		10		0.07026913077085237%
science		10		0.07026913077085237%
besoin		10		0.07026913077085237%
lier		10		0.07026913077085237%
mieux		10		0.07026913077085237%
réalité		10		0.07026913077085237%
révolution		10		0.07026913077085237%
aptitude		10		0.07026913077085237%
bien-être		10		0.07026913077085237%
pleinement		10		0.07026913077085237%
attacher		10		0.07026913077085237%
intégration		10		0.07026913077085237%
constitue		10		0.07026913077085237%
assurance		10		0.07026913077085237%
préserver		10		0.07026913077085237%
talent		10		0.07026913077085237%
participation		10		0.07026913077085237%
terre		10		0.07026913077085237%
attribution		10		0.07026913077085237%
thème		9		0.06324221769376713%
porter		9		0.06324221769376713%
relâche		9		0.06324221769376713%
intérieur		9		0.06324221769376713%
strict		9		0.06324221769376713%
cesser		9		0.06324221769376713%
croissance		9		0.06324221769376713%
offre		9		0.06324221769376713%
structure		9		0.06324221769376713%
ville		9		0.06324221769376713%
technologique		9		0.06324221769376713%
investissement		9		0.06324221769376713%
étranger		9		0.06324221769376713%
théorique		9		0.06324221769376713%
échelle		9		0.06324221769376713%
viser		9		0.06324221769376713%
spirituel		9		0.06324221769376713%
considérablement		9		0.06324221769376713%
amélioration		9		0.06324221769376713%
médical		9		0.06324221769376713%
naturel		9		0.06324221769376713%
acteur		9		0.06324221769376713%
partie		9		0.06324221769376713%
conformément		9		0.06324221769376713%
majeur		9		0.06324221769376713%
risque		9		0.06324221769376713%
compatriote		9		0.06324221769376713%
soutien		9		0.06324221769376713%
satisfaire		9		0.06324221769376713%
idéal		9		0.06324221769376713%
répondre		9		0.06324221769376713%
type		9		0.06324221769376713%
édifier		9		0.06324221769376713%
soutenir		9		0.06324221769376713%
forme		9		0.06324221769376713%
vue		9		0.06324221769376713%
accent		9		0.06324221769376713%
patrie		9		0.06324221769376713%
compte		9		0.06324221769376713%
enseignement		9		0.06324221769376713%
propriété		9		0.06324221769376713%
jeune		9		0.06324221769376713%
entrer		8		0.05621530461668189%
clé		8		0.05621530461668189%
engagement		8		0.05621530461668189%
aller		8		0.05621530461668189%
partager		8		0.05621530461668189%
trouve		8		0.05621530461668189%
multiethnique		8		0.05621530461668189%
suivre		8		0.05621530461668189%
surmonter		8		0.05621530461668189%
route		8		0.05621530461668189%
agriculture		8		0.05621530461668189%
sensiblement		8		0.05621530461668189%
position		8		0.05621530461668189%
énergie		8		0.05621530461668189%
acte		8		0.05621530461668189%
consommation		8		0.05621530461668189%
adapter		8		0.05621530461668189%
charger		8		0.05621530461668189%
croissant		8		0.05621530461668189%
conviction		8		0.05621530461668189%
interne		8		0.05621530461668189%
grave		8		0.05621530461668189%
atteindre		8		0.05621530461668189%
volonté		8		0.05621530461668189%
fort		8		0.05621530461668189%
capital		8		0.05621530461668189%
bel		8		0.05621530461668189%
harmonieux		8		0.05621530461668189%
humain		8		0.05621530461668189%
aucun		8		0.05621530461668189%
fois		8		0.05621530461668189%
facteur		8		0.05621530461668189%
persévérer		8		0.05621530461668189%
servir		8		0.05621530461668189%
orienter		8		0.05621530461668189%
valoir		8		0.05621530461668189%
efficacité		8		0.05621530461668189%
efforcer		8		0.05621530461668189%
mutuel		8		0.05621530461668189%
régner		8		0.05621530461668189%
sain		8		0.05621530461668189%
intensifier		8		0.05621530461668189%
réseau		8		0.05621530461668189%
compétence		8		0.05621530461668189%
professionnel		8		0.05621530461668189%
paysan		8		0.05621530461668189%
exploitation		8		0.05621530461668189%
étroitement		7		0.04918839153959665%
approfondissement		7		0.04918839153959665%
contribution		7		0.04918839153959665%
augmenter		7		0.04918839153959665%
point		7		0.04918839153959665%
coordination		7		0.04918839153959665%
ceinture		7		0.04918839153959665%
novateur		7		0.04918839153959665%
commerce		7		0.04918839153959665%
éliminer		7		0.04918839153959665%
azimut		7		0.04918839153959665%
élargir		7		0.04918839153959665%
judiciaire		7		0.04918839153959665%
traditionnel		7		0.04918839153959665%
progression		7		0.04918839153959665%
cohésion		7		0.04918839153959665%
couvrir		7		0.04918839153959665%
maintien		7		0.04918839153959665%
indépendance		7		0.04918839153959665%
actif		7		0.04918839153959665%
assumer		7		0.04918839153959665%
étude		7		0.04918839153959665%
anticorruption		7		0.04918839153959665%
obtenir		7		0.04918839153959665%
sens		7		0.04918839153959665%
réussir		7		0.04918839153959665%
fournir		7		0.04918839153959665%
cours		7		0.04918839153959665%
lancer		7		0.04918839153959665%
siècle		7		0.04918839153959665%
offrir		7		0.04918839153959665%
ancien		7		0.04918839153959665%
équité		7		0.04918839153959665%
hautement		7		0.04918839153959665%
guider		7		0.04918839153959665%
guerre		7		0.04918839153959665%
vouloir		7		0.04918839153959665%
placer		7		0.04918839153959665%
réunification		7		0.04918839153959665%
parfait		7		0.04918839153959665%
agricole		7		0.04918839153959665%
centenaire		7		0.04918839153959665%
associer		7		0.04918839153959665%
pollution		7		0.04918839153959665%
