单词		词频		占比
Afrique		33		3.559870550161812%
Chine		28		3.0204962243797198%
africain		22		2.373247033441208%
coopération		19		2.0496224379719528%
pays		17		1.8338727076591153%
développement		15		1.6181229773462782%
être		9		0.9708737864077669%
devoir		9		0.9708737864077669%
international		8		0.8629989212513484%
sino-africain		8		0.8629989212513484%
ensemble		7		0.7551240560949299%
excellence		7		0.7551240560949299%
chinois		7		0.7551240560949299%
nouveau		6		0.6472491909385114%
soutien		6		0.6472491909385114%
initiative		6		0.6472491909385114%
promouvoir		6		0.6472491909385114%
justice		6		0.6472491909385114%
journée		5		0.5393743257820928%
important		5		0.5393743257820928%
amitié		5		0.5393743257820928%
commun		5		0.5393743257820928%
année		5		0.5393743257820928%
renforcer		5		0.5393743257820928%
solidarité		5		0.5393743257820928%
covid-19		5		0.5393743257820928%
avenir		4		0.4314994606256742%
affaire		4		0.4314994606256742%
occasion		4		0.4314994606256742%
ambassadeur		4		0.4314994606256742%
madame		4		0.4314994606256742%
monsieur		4		0.4314994606256742%
cher		4		0.4314994606256742%
ami		4		0.4314994606256742%
peuple		4		0.4314994606256742%
lutte		4		0.4314994606256742%
dernier		4		0.4314994606256742%
effort		4		0.4314994606256742%
soutenir		4		0.4314994606256742%
intérêt		4		0.4314994606256742%
face		4		0.4314994606256742%
contre		4		0.4314994606256742%
vaccin		4		0.4314994606256742%
mettre		4		0.4314994606256742%
projet		4		0.4314994606256742%
cadre		4		0.4314994606256742%
fcsa		4		0.4314994606256742%
investissement		4		0.4314994606256742%
apporter		4		0.4314994606256742%
sécurité		4		0.4314994606256742%
conférence		4		0.4314994606256742%
relation		3		0.3236245954692557%
sino-africaine		3		0.3236245954692557%
Monsieur		3		0.3236245954692557%
grand		3		0.3236245954692557%
célébrer		3		0.3236245954692557%
contribution		3		0.3236245954692557%
donner		3		0.3236245954692557%
créer		3		0.3236245954692557%
intégration		3		0.3236245954692557%
dynamique		3		0.3236245954692557%
paix		3		0.3236245954692557%
bien-être		3		0.3236245954692557%
majeur		3		0.3236245954692557%
sanitaire		3		0.3236245954692557%
prendre		3		0.3236245954692557%
médical		3		0.3236245954692557%
partager		3		0.3236245954692557%
forum		3		0.3236245954692557%
continuer		3		0.3236245954692557%
œuvre		3		0.3236245954692557%
équité		3		0.3236245954692557%
multilatéralisme		3		0.3236245954692557%
vue		3		0.3236245954692557%
défendre		3		0.3236245954692557%
Xinjiang		3		0.3236245954692557%
allocution		2		0.2157497303128371%
réception		2		0.2157497303128371%
offrir		2		0.2157497303128371%
Beijing		2		0.2157497303128371%
doyen		2		0.2157497303128371%
Union		2		0.2157497303128371%
frère		2		0.2157497303128371%
gouvernement		2		0.2157497303128371%
chaleureux		2		0.2157497303128371%
approfondissement		2		0.2157497303128371%
promotion		2		0.2157497303128371%
commémorer		2		0.2157497303128371%
indépendance		2		0.2157497303128371%
unité		2		0.2157497303128371%
remercier		2		0.2157497303128371%
président		2		0.2157497303128371%
commission		2		0.2157497303128371%
marche		2		0.2157497303128371%
échange		2		0.2157497303128371%
ZLECAf		2		0.2157497303128371%
lancer		2		0.2157497303128371%
progrès		2		0.2157497303128371%
rôle		2		0.2157497303128371%
côte		2		0.2157497303128371%
avancer		2		0.2157497303128371%
main		2		0.2157497303128371%
économique		2		0.2157497303128371%
mutuellement		2		0.2157497303128371%
défi		2		0.2157497303128371%
surmonter		2		0.2157497303128371%
difficulté		2		0.2157497303128371%
UA		2		0.2157497303128371%
sommet		2		0.2157497303128371%
bel		2		0.2157497303128371%
illustration		2		0.2157497303128371%
continent		2		0.2157497303128371%
aide		2		0.2157497303128371%
matériel		2		0.2157497303128371%
partenariat		2		0.2157497303128371%
hôpital		2		0.2157497303128371%
santé		2		0.2157497303128371%
tôt		2		0.2157497303128371%
siège		2		0.2157497303128371%
cdc		2		0.2157497303128371%
concret		2		0.2157497303128371%
communauté		2		0.2157497303128371%
service		2		0.2157497303128371%
signer		2		0.2157497303128371%
pleinement		2		0.2157497303128371%
rester		2		0.2157497303128371%
commercial		2		0.2157497303128371%
milliard		2		0.2157497303128371%
dollar		2		0.2157497303128371%
