单词		词频		占比
Afrique		51		3.4274193548387095%
coopération		44		2.956989247311828%
Chine		43		2.889784946236559%
africain		24		1.6129032258064515%
développement		22		1.478494623655914%
fcsa		18		1.2096774193548387%
relation		16		1.0752688172043012%
sino-africain		15		1.0080645161290323%
pays		15		1.0080645161290323%
international		14		0.9408602150537635%
chinois		13		0.8736559139784945%
grand		12		0.8064516129032258%
sino-africaine		11		0.739247311827957%
échange		11		0.739247311827957%
faire		11		0.739247311827957%
nouveau		10		0.6720430107526881%
communauté		10		0.6720430107526881%
être		10		0.6720430107526881%
Xi		9		0.6048387096774194%
Jinping		9		0.6048387096774194%
solidarité		9		0.6048387096774194%
président		8		0.5376344086021506%
amitié		8		0.5376344086021506%
intérêt		8		0.5376344086021506%
construction		8		0.5376344086021506%
covid-19		8		0.5376344086021506%
an		7		0.47043010752688175%
forum		7		0.47043010752688175%
important		7		0.47043010752688175%
partager		7		0.47043010752688175%
jamais		7		0.47043010752688175%
ensemble		7		0.47043010752688175%
monde		7		0.47043010752688175%
paix		6		0.4032258064516129%
mutuellement		6		0.4032258064516129%
niveau		6		0.4032258064516129%
aujourd’hui		6		0.4032258064516129%
principe		6		0.4032258064516129%
bon		6		0.4032258064516129%
contre		6		0.4032258064516129%
commun		5		0.33602150537634407%
créer		5		0.33602150537634407%
porter		5		0.33602150537634407%
jour		5		0.33602150537634407%
politique		5		0.33602150537634407%
partenariat		5		0.33602150537634407%
global		5		0.33602150537634407%
économique		5		0.33602150537634407%
projet		5		0.33602150537634407%
avancer		5		0.33602150537634407%
avenir		5		0.33602150537634407%
continent		5		0.33602150537634407%
sommet		5		0.33602150537634407%
soutien		5		0.33602150537634407%
face		5		0.33602150537634407%
travailler		5		0.33602150537634407%
succès		4		0.2688172043010753%
année		4		0.2688172043010753%
haut		4		0.2688172043010753%
pragmatique		4		0.2688172043010753%
résultat		4		0.2688172043010753%
mutuel		4		0.2688172043010753%
cesse		4		0.2688172043010753%
stratégique		4		0.2688172043010753%
