单词		词频		占比
Chine		30		2.178649237472767%
coopération		30		2.178649237472767%
président		29		2.1060275962236745%
pays		27		1.9607843137254901%
Russie		24		1.7429193899782136%
international		19		1.3798111837327522%
Xi		17		1.2345679012345678%
Jinping		17		1.2345679012345678%
relation		17		1.2345679012345678%
développement		15		1.0893246187363834%
-t		14		1.016702977487291%
il		14		1.016702977487291%
affirmer		13		0.944081336238199%
année		12		0.8714596949891068%
nouveau		12		0.8714596949891068%
grand		12		0.8714596949891068%
indiquer		11		0.7988380537400145%
renforcer		11		0.7988380537400145%
Poutine		10		0.7262164124909223%
coordination		10		0.7262164124909223%
souligner		10		0.7262164124909223%
mondial		10		0.7262164124909223%
intérêt		9		0.6535947712418301%
poursuivre		9		0.6535947712418301%
party		9		0.6535947712418301%
soutenir		8		0.5809731299927379%
question		8		0.5809731299927379%
échange		8		0.5809731299927379%
sécurité		8		0.5809731299927379%
sino-russe		7		0.5083514887436456%
stratégique		7		0.5083514887436456%
droit		7		0.5083514887436456%
chinois		7		0.5083514887436456%
jeu		7		0.5083514887436456%
olympique		7		0.5083514887436456%
covid-19		6		0.4357298474945534%
démocratie		6		0.4357298474945534%
mutuel		6		0.4357298474945534%
affaire		6		0.4357298474945534%
Beijing		5		0.36310820624546114%
rappeler		5		0.36310820624546114%
fermement		5		0.36310820624546114%
exprimer		5		0.36310820624546114%
haut		5		0.36310820624546114%
travailler		5		0.36310820624546114%
faire		5		0.36310820624546114%
promouvoir		5		0.36310820624546114%
monde		5		0.36310820624546114%
national		5		0.36310820624546114%
commun		5		0.36310820624546114%
opportunité		5		0.36310820624546114%
communauté		5		0.36310820624546114%
visite		5		0.36310820624546114%
hiver		5		0.36310820624546114%
prochain		5		0.36310820624546114%
peuple		5		0.36310820624546114%
régional		5		0.36310820624546114%
important		5		0.36310820624546114%
donner		5		0.36310820624546114%
volonté		5		0.36310820624546114%
niveau		5		0.36310820624546114%
intérieur		5		0.36310820624546114%
BRICS		5		0.36310820624546114%
effort		4		0.29048656499636893%
défendre		4		0.29048656499636893%
rejeter		4		0.29048656499636893%
tentative		4		0.29048656499636893%
domaine		4		0.29048656499636893%
épidémie		4		0.29048656499636893%
communication		4		0.29048656499636893%
ensemble		4		0.29048656499636893%
traité		4		0.29048656499636893%
importance		4		0.29048656499636893%
initiative		4		0.29048656499636893%
économique		4		0.29048656499636893%
activement		4		0.29048656499636893%
multilatéralisme		4		0.29048656499636893%
équité		4		0.29048656499636893%
justice		4		0.29048656499636893%
inviter		4		0.29048656499636893%
partager		4		0.29048656499636893%
ouverture		4		0.29048656499636893%
organisation		4		0.29048656499636893%
face		4		0.29048656499636893%
an		4		0.29048656499636893%
souhait		4		0.29048656499636893%
gouvernance		4		0.29048656499636893%
préserver		4		0.29048656499636893%
contre		4		0.29048656499636893%
Nations		4		0.29048656499636893%
membre		4		0.29048656499636893%
approfondir		4		0.29048656499636893%
entretenir		3		0.2178649237472767%
visioconférence		3		0.2178649237472767%
russe		3		0.2178649237472767%
entretien		3		0.2178649237472767%
siècle		3		0.2178649237472767%
viser		3		0.2178649237472767%
global		3		0.2178649237472767%
amitié		3		0.2178649237472767%
soutien		3		0.2178649237472767%
ferme		3		0.2178649237472767%
pragmatique		3		0.2178649237472767%
offrir		3		0.2178649237472767%
commercial		3		0.2178649237472767%
technologique		3		0.2178649237472767%
succès		3		0.2178649237472767%
œuvre		3		0.2178649237472767%
devenir		3		0.2178649237472767%
véritable		3		0.2178649237472767%
préservation		3		0.2178649237472767%
PCC		3		0.2178649237472767%
tenir		3		0.2178649237472767%
croisé		3		0.2178649237472767%
sport		3		0.2178649237472767%
vue		3		0.2178649237472767%
approfondi		3		0.2178649237472767%
davantage		3		0.2178649237472767%
continuer		3		0.2178649237472767%
stabilité		3		0.2178649237472767%
force		3		0.2178649237472767%
résolument		3		0.2178649237472767%
solidarité		3		0.2178649237472767%
avancer		3		0.2178649237472767%
uni		3		0.2178649237472767%
maintenir		3		0.2178649237472767%
prête		3		0.2178649237472767%
bric		3		0.2178649237472767%
conseil		3		0.2178649237472767%
démocratique		3		0.2178649237472767%
légitime		3		0.2178649237472767%
russo		3		0.2178649237472767%
Vladimir		2		0.14524328249818447%
heureux		2		0.14524328249818447%
occasion		2		0.14524328249818447%
modèle		2		0.14524328249818447%
21		2		0.14524328249818447%
vital		2		0.14524328249818447%
semer		2		0.14524328249818447%
discorde		2		0.14524328249818447%
prêt		2		0.14524328249818447%
bilan		2		0.14524328249818447%
obtenir		2		0.14524328249818447%
bilatéral		2		0.14524328249818447%
changement		2		0.14524328249818447%
