单词		词频		占比
Afrique		36		4.4609665427509295%
africain		28		3.469640644361834%
pays		25		3.0978934324659235%
développement		21		2.6022304832713754%
paix		14		1.734820322180917%
international		10		1.2391573729863694%
sanitaire		8		0.9913258983890955%
devoir		8		0.9913258983890955%
Chine		7		0.8674101610904585%
initiative		7		0.8674101610904585%
soutien		6		0.7434944237918215%
covid-19		6		0.7434944237918215%
communauté		6		0.7434944237918215%
aider		6		0.7434944237918215%
contre		6		0.7434944237918215%
ONU		6		0.7434944237918215%
soutenir		6		0.7434944237918215%
coopération		6		0.7434944237918215%
faire		5		0.6195786864931847%
chinois		5		0.6195786864931847%
renforcer		5		0.6195786864931847%
rôle		5		0.6195786864931847%
apporter		5		0.6195786864931847%
sécurité		4		0.49566294919454773%
cause		4		0.49566294919454773%
conflit		4		0.49566294919454773%
affaire		4		0.49566294919454773%
UA		4		0.49566294919454773%
riposte		4		0.49566294919454773%
inviter		4		0.49566294919454773%
lutte		4		0.49566294919454773%
mondial		4		0.49566294919454773%
capacité		4		0.49566294919454773%
dette		4		0.49566294919454773%
partenaire		4		0.49566294919454773%
véritable		3		0.37174721189591076%
multilatéralisme		3		0.37174721189591076%
public		3		0.37174721189591076%
profond		3		0.37174721189591076%
pandémie		3		0.37174721189591076%
cher		3		0.37174721189591076%
collègue		3		0.37174721189591076%
programme		3		0.37174721189591076%
siècle		3		0.37174721189591076%
grand		3		0.37174721189591076%
travailler		3		0.37174721189591076%
ensemble		3		0.37174721189591076%
nouveau		3		0.37174721189591076%
important		3		0.37174721189591076%
urgence		3		0.37174721189591076%
moment		3		0.37174721189591076%
accroître		3		0.37174721189591076%
vaccin		3		0.37174721189591076%
appeler		3		0.37174721189591076%
fournir		3		0.37174721189591076%
matière		3		0.37174721189591076%
jouer		3		0.37174721189591076%
coordination		3		0.37174721189591076%
promouvoir		3		0.37174721189591076%
promotion		3		0.37174721189591076%
stabilité		3		0.37174721189591076%
membre		3		0.37174721189591076%
égalité		3		0.37174721189591076%
droit		3		0.37174721189591076%
bon		3		0.37174721189591076%
participer		3		0.37174721189591076%
suspension		3		0.37174721189591076%
énergique		2		0.24783147459727387%
débat		2		0.24783147459727387%
éliminer		2		0.24783147459727387%
relèvement		2		0.24783147459727387%
état		2		0.24783147459727387%
secrétaire		2		0.24783147459727387%
général		2		0.24783147459727387%
remercier		2		0.24783147459727387%
Nations		2		0.24783147459727387%
uni		2		0.24783147459727387%
jamais		2		0.24783147459727387%
connaître		2		0.24783147459727387%
aucun		2		0.24783147459727387%
créer		2		0.24783147459727387%
synergie		2		0.24783147459727387%
épidémie		2		0.24783147459727387%
durable		2		0.24783147459727387%
combler		2		0.24783147459727387%
construire		2		0.24783147459727387%
virus		2		0.24783147459727387%
aide		2		0.24783147459727387%
matériel		2		0.24783147459727387%
transfert		2		0.24783147459727387%
technologie		2		0.24783147459727387%
essentiel		2		0.24783147459727387%
santé		2		0.24783147459727387%
vue		2		0.24783147459727387%
pleinement		2		0.24783147459727387%
remédier		2		0.24783147459727387%
instabilité		2		0.24783147459727387%
continuer		2		0.24783147459727387%
effort		2		0.24783147459727387%
solution		2		0.24783147459727387%
problème		2		0.24783147459727387%
organisation		2		0.24783147459727387%
davantage		2		0.24783147459727387%
central		2		0.24783147459727387%
politique		2		0.24783147459727387%
opération		2		0.24783147459727387%
maintien		2		0.24783147459727387%
appuyer		2		0.24783147459727387%
renforcement		2		0.24783147459727387%
compte		2		0.24783147459727387%
continent		2		0.24783147459727387%
voie		2		0.24783147459727387%
allègement		2		0.24783147459727387%
responsabilité		2		0.24783147459727387%
industrialisation		2		0.24783147459727387%
activement		2		0.24783147459727387%
an		2		0.24783147459727387%
sein		2		0.24783147459727387%
changement		2		0.24783147459727387%
arriver		2		0.24783147459727387%
frère		2		0.24783147459727387%
intérêt		2		0.24783147459727387%
médical		2		0.24783147459727387%
lancer		2		0.24783147459727387%
hôpital		2		0.24783147459727387%
sino-africain		2		0.24783147459727387%
être		2		0.24783147459727387%
service		2		0.24783147459727387%
prêt		2		0.24783147459727387%
humanité		2		0.24783147459727387%
promouvon		1		0.12391573729863693%
APPORTONS		1		0.12391573729863693%
afrique		1		0.12391573729863693%
intervention		1		0.12391573729863693%
visioconférence		1		0.12391573729863693%
conseil		1		0.12391573729863693%
m.		1		0.12391573729863693%
Wang		1		0.12391573729863693%
Yi		1		0.12391573729863693%
conseiller		1		0.12391573729863693%
ministre		1		0.12391573729863693%
étranger		1		0.12391573729863693%
république		1		0.12391573729863693%
populaire		1		0.12391573729863693%
Beijing		1		0.12391573729863693%
mai		1		0.12391573729863693%
Monsieur		1		0.12391573729863693%
António		1		0.12391573729863693%
Guterres		1		0.12391573729863693%
président		1		0.12391573729863693%
commission		1		0.12391573729863693%
Union		1		0.12391573729863693%
Africaine		1		0.12391573729863693%
Moussa		1		0.12391573729863693%
Faki		1		0.12391573729863693%
Mahamat		1		0.12391573729863693%
administrateur		1		0.12391573729863693%
Achim		1		0.12391573729863693%
Steiner		1		0.12391573729863693%
information		1		0.12391573729863693%
monde		1		0.12391573729863693%
traverse		1		0.12391573729863693%
aujourd’hui		1		0.12391573729863693%
grave		1		0.12391573729863693%
abri		1		0.12391573729863693%
laisser		1		0.12391573729863693%
présent		1		0.12391573729863693%
initier		1		0.12391573729863693%
objectif		1		0.12391573729863693%
accorder		1		0.12391573729863693%
attention		1		0.12391573729863693%
défi		1		0.12391573729863693%
sérieux		1		0.12391573729863693%
causer		1		0.12391573729863693%
fédérer		1		0.12391573729863693%
esprit		1		0.12391573729863693%
vaincre		1		0.12391573729863693%
favoriser		1		0.12391573729863693%
sorte		1		0.12391573729863693%
donner		1		0.12391573729863693%
impulsion		1		0.12391573729863693%
partie		1		0.12391573729863693%
aimer		1		0.12391573729863693%
avancer		1		0.12391573729863693%
proposition		1		0.12391573729863693%
point		1		0.12391573729863693%
fossé		1		0.12391573729863693%
maillon		1		0.12391573729863693%
rempart		1		0.12391573729863693%
médicament		1		0.12391573729863693%
technique		1		0.12391573729863693%
financement		1		0.12391573729863693%
garantir		1		0.12391573729863693%
