单词		词频		占比
femme		42		6.422018348623854%
devoir		12		1.834862385321101%
égalité		11		1.6819571865443423%
cause		10		1.529051987767584%
genre		8		1.2232415902140672%
covid-19		8		1.2232415902140672%
développement		8		1.2232415902140672%
monde		7		1.0703363914373087%
Chine		7		1.0703363914373087%
réaliser		6		0.9174311926605505%
social		6		0.9174311926605505%
mondial		5		0.764525993883792%
rôle		5		0.764525993883792%
aider		5		0.764525993883792%
santé		5		0.764525993883792%
droit		5		0.764525993883792%
intérêt		5		0.764525993883792%
international		5		0.764525993883792%
sexe		5		0.764525993883792%
réunion		4		0.6116207951070336%
Beijing		4		0.6116207951070336%
président		4		0.6116207951070336%
promouvoir		4		0.6116207951070336%
progrès		4		0.6116207951070336%
société		4		0.6116207951070336%
contre		4		0.6116207951070336%
vie		4		0.6116207951070336%
pays		4		0.6116207951070336%
an		4		0.6116207951070336%
programme		4		0.6116207951070336%
économique		4		0.6116207951070336%
effort		4		0.6116207951070336%
faire		4		0.6116207951070336%
renforcer		4		0.6116207951070336%
ONU		4		0.6116207951070336%
dirigeant		4		0.6116207951070336%
anniversaire		3		0.45871559633027525%
conférence		3		0.45871559633027525%
Monsieur		3		0.45871559633027525%
occasion		3		0.45871559633027525%
nouveau		3		0.45871559633027525%
protection		3		0.45871559633027525%
autonomisation		3		0.45871559633027525%
important		3		0.45871559633027525%
durable		3		0.45871559633027525%
défi		3		0.45871559633027525%
matière		3		0.45871559633027525%
reprise		3		0.45871559633027525%
priorité		3		0.45871559633027525%
discrimination		3		0.45871559633027525%
soutenir		3		0.45871559633027525%
25		2		0.3058103975535168%
cher		2		0.3058103975535168%
collègue		2		0.3058103975535168%
organisation		2		0.3058103975535168%
Nations		2		0.3058103975535168%
ensemble		2		0.3058103975535168%
donner		2		0.3058103975535168%
réalisation		2		0.3058103975535168%
lutte		2		0.3058103975535168%
infirmier		2		0.3058103975535168%
ligne		2		0.3058103975535168%
danger		2		0.3058103975535168%
dévouement		2		0.3058103975535168%
sagesse		2		0.3058103975535168%
protéger		2		0.3058103975535168%
moment		2		0.3058103975535168%
être		2		0.3058103975535168%
jeune		2		0.3058103975535168%
enfant		2		0.3058103975535168%
grand		2		0.3058103975535168%
surmonter		2		0.3058103975535168%
dur		2		0.3058103975535168%
cours		2		0.3058103975535168%
permettre		2		0.3058103975535168%
moitié		2		0.3058103975535168%
objectif		2		0.3058103975535168%
donne		2		0.3058103975535168%
activité		2		0.3058103975535168%
mettre		2		0.3058103975535168%
accorder		2		0.3058103975535168%
attention		2		0.3058103975535168%
particulier		2		0.3058103975535168%
besoin		2		0.3058103975535168%
spécial		2		0.3058103975535168%
œuvre		2		0.3058103975535168%
avancer		2		0.3058103975535168%
condition		2		0.3058103975535168%
travail		2		0.3058103975535168%
fille		2		0.3058103975535168%
actif		2		0.3058103975535168%
service		2		0.3058103975535168%
garantir		2		0.3058103975535168%
inclusif		2		0.3058103975535168%
national		2		0.3058103975535168%
politique		2		0.3058103975535168%
éliminer		2		0.3058103975535168%
violence		2		0.3058103975535168%
valeur		2		0.3058103975535168%
essentiel		2		0.3058103975535168%
plan		2		0.3058103975535168%
apporter		2		0.3058103975535168%
force		2		0.3058103975535168%
continuer		2		0.3058103975535168%
environnement		2		0.3058103975535168%
mobiliser		2		0.3058103975535168%
initiative		2		0.3058103975535168%
pleinement		2		0.3058103975535168%
coopération		2		0.3058103975535168%
mise		2		0.3058103975535168%
accroître		2		0.3058103975535168%
règlement		2		0.3058103975535168%
système		2		0.3058103975535168%
soutien		2		0.3058103975535168%
travers		2		0.3058103975535168%
poursuivre		2		0.3058103975535168%
