单词		词频		占比
Chine		46		1.6072676450034942%
covid-19		33		1.1530398322851152%
pays		32		1.1180992313067784%
mesure		31		1.0831586303284415%
marché		30		1.0482180293501049%
faire		29		1.013277428371768%
politique		28		0.9783368273934312%
économie		26		0.9084556254367574%
emploi		26		0.9084556254367574%
nouveau		25		0.8735150244584208%
gouvernement		24		0.8385744234800839%
chinois		24		0.8385744234800839%
entreprise		24		0.8385744234800839%
monde		23		0.8036338225017471%
année		23		0.8036338225017471%
développement		22		0.7686932215234101%
grand		20		0.6988120195667366%
devoir		19		0.6638714185883997%
falloir		19		0.6638714185883997%
personne		18		0.628930817610063%
population		17		0.593990216631726%
important		17		0.593990216631726%
coopération		17		0.593990216631726%
pouvoir		16		0.5590496156533892%
économique		15		0.5241090146750524%
peuple		15		0.5241090146750524%
prendre		15		0.5241090146750524%
difficulté		14		0.4891684136967156%
être		14		0.4891684136967156%
fonds		14		0.4891684136967156%
activité		13		0.4542278127183787%
objectif		13		0.4542278127183787%
mondial		13		0.4542278127183787%
ministre		12		0.41928721174004197%
Li		12		0.41928721174004197%
Keqiang		12		0.41928721174004197%
croissance		12		0.41928721174004197%
relation		12		0.41928721174004197%
mettre		11		0.38434661076170507%
permettre		11		0.38434661076170507%
réforme		11		0.38434661076170507%
effort		11		0.38434661076170507%
million		11		0.38434661076170507%
ouverture		10		0.3494060097833683%
acteur		10		0.3494060097833683%
bien-être		10		0.3494060097833683%
promouvoir		10		0.3494060097833683%
connaître		9		0.3144654088050315%
ampleur		9		0.3144654088050315%
contre		9		0.3144654088050315%
stabilité		9		0.3144654088050315%
temps		8		0.2795248078266946%
rapport		8		0.2795248078266946%
international		8		0.2795248078266946%
compte		8		0.2795248078266946%
beaucoup		8		0.2795248078266946%
social		8		0.2795248078266946%
chômage		8		0.2795248078266946%
commercial		8		0.2795248078266946%
créer		8		0.2795248078266946%
virus		8		0.2795248078266946%
besoin		8		0.2795248078266946%
système		8		0.2795248078266946%
États-Unis		8		0.2795248078266946%
échange		7		0.2445842068483578%
face		7		0.2445842068483578%
garantir		7		0.2445842068483578%
problème		7		0.2445842068483578%
reprise		7		0.2445842068483578%
base		7		0.2445842068483578%
adopter		7		0.2445842068483578%
assurance		7		0.2445842068483578%
ménage		7		0.2445842068483578%
assurer		7		0.2445842068483578%
maintenir		7		0.2445842068483578%
travailler		7		0.2445842068483578%
investissement		7		0.2445842068483578%
Taiwan		7		0.2445842068483578%
ville		7		0.2445842068483578%
intérêt		7		0.2445842068483578%
propagation		6		0.20964360587002098%
fixer		6		0.20964360587002098%
œuvre		6		0.20964360587002098%
expérience		6		0.20964360587002098%
bien		6		0.20964360587002098%
yuan		6		0.20964360587002098%
part		6		0.20964360587002098%
revenu		6		0.20964360587002098%
chiffre		6		0.20964360587002098%
savoir		6		0.20964360587002098%
aider		6		0.20964360587002098%
consommation		6		0.20964360587002098%
répondre		6		0.20964360587002098%
défi		6		0.20964360587002098%
soutenir		6		0.20964360587002098%
non		6		0.20964360587002098%
règle		6		0.20964360587002098%
soutien		6		0.20964360587002098%
Hong		6		0.20964360587002098%
Kong		6		0.20964360587002098%
-t		5		0.17470300489168414%
milliard		5		0.17470300489168414%
pib		5		0.17470300489168414%
dernier		5		0.17470300489168414%
davantage		5		0.17470300489168414%
situation		5		0.17470300489168414%
garantie		5		0.17470300489168414%
viser		5		0.17470300489168414%
décision		5		0.17470300489168414%
réaliser		5		0.17470300489168414%
avoir		5		0.17470300489168414%
bon		5		0.17470300489168414%
état		5		0.17470300489168414%
spécial		5		0.17470300489168414%
public		5		0.17470300489168414%
argent		5		0.17470300489168414%
domaine		5		0.17470300489168414%
central		5		0.17470300489168414%
scientifique		5		0.17470300489168414%
-ce		5		0.17470300489168414%
vie		5		0.17470300489168414%
endiguer		5		0.17470300489168414%
développer		5		0.17470300489168414%
grâce		5		0.17470300489168414%
importance		5		0.17470300489168414%
continuer		5		0.17470300489168414%
apparition		5		0.17470300489168414%
poursuivre		5		0.17470300489168414%
baser		5		0.17470300489168414%
