单词		词频		占比
pays		71		2.978187919463087%
relation		65		2.726510067114094%
Chine		54		2.2651006711409396%
peuple		49		2.0553691275167787%
chinois		42		1.761744966442953%
américain		39		1.6359060402684564%
États-Unis		39		1.6359060402684564%
coopération		34		1.4261744966442953%
monde		30		1.2583892617449663%
développement		30		1.2583892617449663%
sino-américaine		26		1.0906040268456376%
histoire		20		0.8389261744966443%
intérêt		20		0.8389261744966443%
international		19		0.7969798657718121%
grand		15		0.6291946308724832%
commun		15		0.6291946308724832%
politique		14		0.587248322147651%
diplomatique		13		0.5453020134228188%
important		12		0.5033557046979865%
président		12		0.5033557046979865%
mutuel		12		0.5033557046979865%
PCC		12		0.5033557046979865%
paix		11		0.4614093959731544%
stabilité		11		0.4614093959731544%
ensemble		11		0.4614093959731544%
communauté		11		0.4614093959731544%
voie		11		0.4614093959731544%
gagnant		10		0.41946308724832215%
échange		10		0.41946308724832215%
divergence		10		0.41946308724832215%
principe		10		0.41946308724832215%
respecter		9		0.37751677852348997%
affaire		9		0.37751677852348997%
travailler		9		0.37751677852348997%
respect		9		0.37751677852348997%
faire		9		0.37751677852348997%
bénéfice		8		0.33557046979865773%
temps		8		0.33557046979865773%
préserver		8		0.33557046979865773%
gérer		8		0.33557046979865773%
politicien		8		0.33557046979865773%
système		8		0.33557046979865773%
sécurité		8		0.33557046979865773%
être		8		0.33557046979865773%
apporter		7		0.2936241610738255%
établissement		7		0.2936241610738255%
historique		7		0.2936241610738255%
meilleur		7		0.2936241610738255%
contre		7		0.2936241610738255%
base		7		0.2936241610738255%
devoir		7		0.2936241610738255%
communiqué		7		0.2936241610738255%
poursuivre		7		0.2936241610738255%
Taiwan		7		0.2936241610738255%
conjoint		7		0.2936241610738255%
party		6		0.25167785234899326%
renforcer		6		0.25167785234899326%
non		6		0.25167785234899326%
partie		6		0.25167785234899326%
promouvoir		6		0.25167785234899326%
responsabilité		6		0.25167785234899326%
souveraineté		6		0.25167785234899326%
égalité		6		0.25167785234899326%
savoir		6		0.25167785234899326%
Nixon		6		0.25167785234899326%
fondamental		6		0.25167785234899326%
question		6		0.25167785234899326%
dialogue		6		0.25167785234899326%
bon		6		0.25167785234899326%
lutte		6		0.25167785234899326%
déterminer		6		0.25167785234899326%
sino-américain		5		0.20973154362416108%
indiquer		5		0.20973154362416108%
Xi		5		0.20973154362416108%
Jinping		5		0.20973154362416108%
prendre		5		0.20973154362416108%
état		5		0.20973154362416108%
progrès		5		0.20973154362416108%
contribution		5		0.20973154362416108%
année		5		0.20973154362416108%
changement		5		0.20973154362416108%
jamais		5		0.20973154362416108%
mondial		5		0.20973154362416108%
mettre		5		0.20973154362416108%
affirmer		5		0.20973154362416108%
an		5		0.20973154362416108%
tentative		5		0.20973154362416108%
intérieur		5		0.20973154362416108%
gouvernement		5		0.20973154362416108%
fermement		5		0.20973154362416108%
avenir		5		0.20973154362416108%
pouvoir		5		0.20973154362416108%
direction		5		0.20973154362416108%
mutuellement		5		0.20973154362416108%
visite		5		0.20973154362416108%
normalisation		5		0.20973154362416108%
connaître		5		0.20973154362416108%
effort		5		0.20973154362416108%
entreprise		5		0.20973154362416108%
covid-19		5		0.20973154362416108%
falloir		5		0.20973154362416108%
esprit		5		0.20973154362416108%
humanité		5		0.20973154362416108%
élargir		5		0.20973154362416108%
continuer		5		0.20973154362416108%
préservation		4		0.16778523489932887%
réalité		4		0.16778523489932887%
voir		4		0.16778523489932887%
prospérité		4		0.16778523489932887%
choix		4		0.16778523489932887%
reconnaître		4		0.16778523489932887%
réaliser		4		0.16778523489932887%
partager		4		0.16778523489932887%
différence		4		0.16778523489932887%
accord		4		0.16778523489932887%
populaire		4		0.16778523489932887%
Mao		4		0.16778523489932887%
Zedong		4		0.16778523489932887%
part		4		0.16778523489932887%
amitié		4		0.16778523489932887%
bénéfique		4		0.16778523489932887%
établir		4		0.16778523489932887%
Richard		4		0.16778523489932887%
développer		4		0.16778523489932887%
donner		4		0.16778523489932887%
jour		4		0.16778523489932887%
venir		4		0.16778523489932887%
bien		4		0.16778523489932887%
clairement		4		0.16778523489932887%
social		4		0.16778523489932887%
bénéficier		4		0.16778523489932887%
face		4		0.16778523489932887%
avancer		4		0.16778523489932887%
économie		4		0.16778523489932887%
épidémie		4		0.16778523489932887%
garder		4		0.16778523489932887%
vital		4		0.16778523489932887%
vie		4		0.16778523489932887%
domaine		4		0.16778523489932887%
central		3		0.12583892617449663%
bilatéral		3		0.12583892617449663%
confrontation		3		0.12583892617449663%
non-confrontation		3		0.12583892617449663%
décennie		3		0.12583892617449663%
épreuve		3		0.12583892617449663%
démontrer		3		0.12583892617449663%
pleinement		3		0.12583892617449663%
côté		3		0.12583892617449663%
énorme		3		0.12583892617449663%
constituer		3		0.12583892617449663%
adéquatement		3		0.12583892617449663%
construire		3		0.12583892617449663%
baser		3		0.12583892617449663%
administration		3		0.12583892617449663%
coordination		3		0.12583892617449663%
public		3		0.12583892617449663%
erroné		3		0.12583892617449663%
réponse		3		0.12583892617449663%
manière		3		0.12583892617449663%
défendre		3		0.12583892617449663%
stabiliser		3		0.12583892617449663%
sain		3		0.12583892617449663%
aspiration		3		0.12583892617449663%
aucun		3		0.12583892617449663%
long		3		0.12583892617449663%
amical		3		0.12583892617449663%
mener		3		0.12583892617449663%
guerre		3		0.12583892617449663%
république		3		0.12583892617449663%
nouveau		3		0.12583892617449663%
intégrité		3		0.12583892617449663%
territorial		3		0.12583892617449663%
cesser		3		0.12583892617449663%
œuvrer		3		0.12583892617449663%
lien		3		0.12583892617449663%
Zhou		3		0.12583892617449663%
Enlai		3		0.12583892617449663%
impulsion		3		0.12583892617449663%
Henry		3		0.12583892617449663%
Kissinger		3		0.12583892617449663%
profondément		3		0.12583892617449663%
raison		3		0.12583892617449663%
Shanghai		3		0.12583892617449663%
pacifique		3		0.12583892617449663%
recherche		3		0.12583892617449663%
terrain		3		0.12583892617449663%
entente		3		0.12583892617449663%
but		3		0.12583892617449663%
Nations		3		0.12583892617449663%
force		3		0.12583892617449663%
maintenir		3		0.12583892617449663%
stratégique		3		0.12583892617449663%
attacher		3		0.12583892617449663%
aujourd’hui		3		0.12583892617449663%
objectif		3		0.12583892617449663%
rejeter		3		0.12583892617449663%
ouverture		3		0.12583892617449663%
constant		3		0.12583892617449663%
sens		3		0.12583892617449663%
milieu		3		0.12583892617449663%
virus		3		0.12583892617449663%
communication		3		0.12583892617449663%
matière		3		0.12583892617449663%
antiterroriste		3		0.12583892617449663%
immédiatement		3		0.12583892617449663%
exprimer		3		0.12583892617449663%
financier		3		0.12583892617449663%
climatique		3		0.12583892617449663%
majeur		3		0.12583892617449663%
national		3		0.12583892617449663%
ingérer		3		0.12583892617449663%
ferme		3		0.12583892617449663%
espérer		3		0.12583892617449663%
davantage		3		0.12583892617449663%
santé		3		0.12583892617449663%
créer		3		0.12583892617449663%
bureau		2		0.08389261744966443%
comité		2		0.08389261744966443%
communiste		2		0.08389261744966443%
étranger		2		0.08389261744966443%
fois		2		0.08389261744966443%
bien-être		2		0.08389261744966443%
impératif		2		0.08389261744966443%
accomplir		2		0.08389261744966443%
hauteur		2		0.08389261744966443%
engagement		2		0.08389261744966443%
heure		2		0.08389261744966443%
siècle		2		0.08389261744966443%
demeurer		2		0.08389261744966443%
mission		2		0.08389261744966443%
parvenir		2		0.08389261744966443%
modèle		2		0.08389261744966443%
non-conflit		2		0.08389261744966443%
actuel		2		0.08389261744966443%
volonté		2		0.08389261744966443%
déformer		2		0.08389261744966443%
nier		2		0.08389261744966443%
chercher		2		0.08389261744966443%
clair		2		0.08389261744966443%
acte		2		0.08389261744966443%
nuire		2		0.08389261744966443%
porter		2		0.08389261744966443%
situation		2		0.08389261744966443%
position		2		0.08389261744966443%
stable		2		0.08389261744966443%
poignée		2		0.08389261744966443%
fonder		2		0.08389261744966443%
déclarer		2		0.08389261744966443%
toutefois		2		0.08389261744966443%
courant		2		0.08389261744966443%
