单词		词频		占比
pays		60		2.6064291920069502%
Chine		37		1.6072980017376195%
coopération		34		1.4769765421372718%
international		32		1.3900955690703736%
développement		30		1.3032145960034751%
monde		25		1.0860121633362294%
nouveau		24		1.0425716768027802%
chinois		23		0.999131190269331%
grand		19		0.8253692441355343%
mondial		19		0.8253692441355343%
communauté		15		0.6516072980017376%
contre		15		0.6516072980017376%
relation		15		0.6516072980017376%
être		14		0.6081668114682884%
partager		13		0.5647263249348393%
construction		12		0.5212858384013901%
covid-19		11		0.47784535186794097%
économique		11		0.47784535186794097%
avenir		11		0.47784535186794097%
Xi		11		0.47784535186794097%
Jinping		11		0.47784535186794097%
diplomatique		11		0.47784535186794097%
action		11		0.47784535186794097%
fermement		11		0.47784535186794097%
système		11		0.47784535186794097%
PCC		10		0.4344048653344918%
renforcer		10		0.4344048653344918%
travailler		10		0.4344048653344918%
étranger		9		0.3909643788010426%
solidarité		9		0.3909643788010426%
ouverture		9		0.3909643788010426%
plan		9		0.3909643788010426%
lutte		9		0.3909643788010426%
initiative		9		0.3909643788010426%
important		9		0.3909643788010426%
cadre		9		0.3909643788010426%
diplomatie		8		0.3475238922675934%
humanité		8		0.3475238922675934%
virus		8		0.3475238922675934%
effort		8		0.3475238922675934%
défendre		8		0.3475238922675934%
intérêt		8		0.3475238922675934%
national		8		0.3475238922675934%
vue		8		0.3475238922675934%
sécurité		8		0.3475238922675934%
davantage		8		0.3475238922675934%
global		8		0.3475238922675934%
gouvernance		8		0.3475238922675934%
épidémie		7		0.3040834057341442%
santé		7		0.3040834057341442%
politique		7		0.3040834057341442%
créer		7		0.3040834057341442%
peuple		7		0.3040834057341442%
extérieur		7		0.3040834057341442%
réunion		7		0.3040834057341442%
mettre		7		0.3040834057341442%
activement		7		0.3040834057341442%
préserver		7		0.3040834057341442%
marché		7		0.3040834057341442%
stabilité		7		0.3040834057341442%
stratégique		7		0.3040834057341442%
confiance		7		0.3040834057341442%
affaire		6		0.26064291920069504%
année		6		0.26064291920069504%
bâtir		6		0.26064291920069504%
sanitaire		6		0.26064291920069504%
central		6		0.26064291920069504%
nation		6		0.26064291920069504%
bon		6		0.26064291920069504%
renouveau		6		0.26064291920069504%
engagement		6		0.26064291920069504%
service		6		0.26064291920069504%
paix		6		0.26064291920069504%
secrétaire		6		0.26064291920069504%
général		6		0.26064291920069504%
organisation		6		0.26064291920069504%
niveau		6		0.26064291920069504%
droit		6		0.26064291920069504%
mutuel		6		0.26064291920069504%
poursuivre		6		0.26064291920069504%
partenariat		6		0.26064291920069504%
Asie		6		0.26064291920069504%
défi		5		0.2172024326672459%
caractéristique		5		0.2172024326672459%
social		5		0.2172024326672459%
dynamique		5		0.2172024326672459%
difficulté		5		0.2172024326672459%
face		5		0.2172024326672459%
direction		5		0.2172024326672459%
voie		5		0.2172024326672459%
avancer		5		0.2172024326672459%
vision		5		0.2172024326672459%
contribution		5		0.2172024326672459%
participer		5		0.2172024326672459%
contrôle		5		0.2172024326672459%
soutenir		5		0.2172024326672459%
ensemble		5		0.2172024326672459%
esprit		5		0.2172024326672459%
fournir		5		0.2172024326672459%
médical		5		0.2172024326672459%
besoin		5		0.2172024326672459%
reprise		5		0.2172024326672459%
route		5		0.2172024326672459%
construire		5		0.2172024326672459%
vert		5		0.2172024326672459%
approfondir		5		0.2172024326672459%
ouvrir		4		0.1737619461337967%
état		4		0.1737619461337967%
fort		4		0.1737619461337967%
pratique		4		0.1737619461337967%
historique		4		0.1737619461337967%
comité		4		0.1737619461337967%
objectif		4		0.1737619461337967%
centenaire		4		0.1737619461337967%
marquer		4		0.1737619461337967%
chinoiser		4		0.1737619461337967%
résolument		4		0.1737619461337967%
ère		4		0.1737619461337967%
président		4		0.1737619461337967%
porter		4		0.1737619461337967%
responsabilité		4		0.1737619461337967%
apporter		4		0.1737619461337967%
rôle		4		0.1737619461337967%
histoire		4		0.1737619461337967%
frontière		4		0.1737619461337967%
dirigeant		4		0.1737619461337967%
mener		4		0.1737619461337967%
OMS		4		0.1737619461337967%
ligne		4		0.1737619461337967%
matériel		4		0.1737619461337967%
milliard		4		0.1737619461337967%
protection		4		0.1737619461337967%
promouvoir		4		0.1737619461337967%
vaccin		4		0.1737619461337967%
favoriser		4		0.1737619461337967%
américain		4		0.1737619461337967%
intérieur		4		0.1737619461337967%
légitime		4		0.1737619461337967%
bénéfice		4		0.1737619461337967%
réforme		4		0.1737619461337967%
circulation		4		0.1737619461337967%
ceinture		4		0.1737619461337967%
tenir		4		0.1737619461337967%
région		4		0.1737619461337967%
justice		4		0.1737619461337967%
multilatéralisme		4		0.1737619461337967%
accord		4		0.1737619461337967%
party		4		0.1737619461337967%
œuvrer		4		0.1737619461337967%
multilatéral		4		0.1737619461337967%
faire		4		0.1737619461337967%
servir		3		0.13032145960034752%
horizon		3		0.13032145960034752%
ministre		3		0.13032145960034752%
transformation		3		0.13032145960034752%
connaître		3		0.13032145960034752%
humain		3		0.13032145960034752%
venir		3		0.13032145960034752%
temps		3		0.13032145960034752%
accélérer		3		0.13032145960034752%
industriel		3		0.13032145960034752%
devenir		3		0.13032145960034752%
Parti		3		0.13032145960034752%
épreuve		3		0.13032145960034752%
environnement		3		0.13032145960034752%
ferme		3		0.13032145960034752%
mobiliser		3		0.13032145960034752%
développer		3		0.13032145960034752%
activité		3		0.13032145960034752%
