单词		词频		占比
，		68		7.5892857142857135%

		45		5.022321428571429%
。		36		4.017857142857143%
的		25		2.7901785714285716%
、		21		2.34375%
疫情		14		1.5625%
和		11		1.2276785714285714%
国际		9		1.0044642857142858%
卫生		9		1.0044642857142858%
要		8		0.8928571428571428%
政策		8		0.8928571428571428%
二十		7		0.78125%
国		7		0.78125%
集团		7		0.78125%
我		7		0.78125%
全球		7		0.78125%
加强		7		0.78125%
在		6		0.6696428571428571%
人民		6		0.6696428571428571%
协调		6		0.6696428571428571%
中国		6		0.6696428571428571%
防控		6		0.6696428571428571%
我们		6		0.6696428571428571%
世界		6		0.6696428571428571%
各国		6		0.6696428571428571%
中方		5		0.5580357142857143%
支持		5		0.5580357142857143%
公共		5		0.5580357142857143%
组织		5		0.5580357142857143%
携手		4		0.4464285714285714%
！		4		0.4464285714285714%
对		4		0.4464285714285714%
沟通		4		0.4464285714285714%
新		4		0.4464285714285714%
冠肺		4		0.4464285714285714%
安全		4		0.4464285714285714%
应该		4		0.4464285714285714%
行动		4		0.4464285714285714%
有效		4		0.4464285714285714%
共同		4		0.4464285714285714%
经济		4		0.4464285714285714%
稳定		4		0.4464285714285714%
抗疫		3		0.33482142857142855%
会议		3		0.33482142857142855%
炎		3		0.33482142857142855%
联防		3		0.33482142857142855%
联控		3		0.33482142857142855%
巨大		3		0.33482142857142855%
生活		3		0.33482142857142855%
最		3		0.33482142857142855%
社会		3		0.33482142857142855%
并		3		0.33482142857142855%
是		3		0.33482142857142855%
全面		3		0.33482142857142855%
合作		3		0.33482142857142855%
人类		3		0.33482142857142855%
信息		3		0.33482142857142855%
开展		3		0.33482142857142855%
药物		3		0.33482142857142855%
疫苗		3		0.33482142857142855%
向		3		0.33482142857142855%
等		3		0.33482142857142855%
积极		3		0.33482142857142855%
发挥		3		0.33482142857142855%
作用		3		0.33482142857142855%
将		3		0.33482142857142855%
加大		3		0.33482142857142855%
宏观		3		0.33482142857142855%
货币		3		0.33482142857142855%
市场		3		0.33482142857142855%
扩大		3		0.33482142857142855%
　		2		0.2232142857142857%
上		2		0.2232142857142857%
萨勒曼		2		0.2232142857142857%
国王		2		0.2232142857142857%
各位		2		0.2232142857142857%
同事		2		0.2232142857142857%
大家		2		0.2232142857142857%
方面		2		0.2232142857142857%
为		2		0.2232142857142857%
始终		2		0.2232142857142857%
生命		2		0.2232142857142857%
身体		2		0.2232142857142857%
健康		2		0.2232142857142857%
第一		2		0.2232142857142857%
坚定		2		0.2232142857142857%
信心		2		0.2232142857142857%
同舟共济		2		0.2232142857142857%
科学		2		0.2232142857142857%
场		2		0.2232142857142857%
形势		2		0.2232142857142857%
持续		2		0.2232142857142857%
生产		2		0.2232142857142857%
加快		2		0.2232142857142857%
成员		2		0.2232142857142857%
帮助		2		0.2232142857142857%
这		2		0.2232142857142857%
重大		2		0.2232142857142857%
传染性		2		0.2232142857142857%
疾病		2		0.2232142857142857%
全人类		2		0.2232142857142857%
敌人		2		0.2232142857142857%
蔓延		2		0.2232142857142857%
给		2		0.2232142857142857%
带来		2		0.2232142857142857%
挑战		2		0.2232142857142857%
应对		2		0.2232142857142857%
战胜		2		0.2232142857142857%
同		2		0.2232142857142857%
此		2		0.2232142857142857%
愿		2		0.2232142857142857%
倡议		2		0.2232142857142857%
坚决		2		0.2232142857142857%
分享		2		0.2232142857142857%
研发		2		0.2232142857142857%
防疫		2		0.2232142857142857%
防止		2		0.2232142857142857%
跨境		2		0.2232142857142857%
传播		2		0.2232142857142857%
提高		2		0.2232142857142857%
建议		2		0.2232142857142857%
援助		2		0.2232142857142857%
国家		2		0.2232142857142857%
建立		2		0.2232142857142857%
开放		2		0.2232142857142857%
应急		2		0.2232142857142857%
制定		2		0.2232142857142857%
力度		2		0.2232142857142857%
实施		2		0.2232142857142857%
有力		2		0.2232142857142857%
