单词		词频		占比
，		117		8.199018920812893%

		64		4.484933426769446%
的		50		3.50385423966363%
。		44		3.0833917309039944%
非洲		42		2.943237561317449%
中非		31		2.172389628591451%
合作		24		1.6818500350385426%
、		21		1.4716187806587244%
国家		17		1.1913104414856344%
在		15		1.051156271899089%
和		14		0.9810791871058164%
发展		14		0.9810791871058164%
我们		13		0.9110021023125439%
“		12		0.8409250175192713%
”		12		0.8409250175192713%
新		11		0.7708479327259986%
各位		10		0.7007708479327259%
中国		10		0.7007708479327259%
支持		10		0.7007708479327259%
共同		9		0.6306937631394535%
中方		9		0.6306937631394535%
使节		8		0.5606166783461808%
个		8		0.5606166783461808%
为		8		0.5606166783461808%
双方		8		0.5606166783461808%
国际		8		0.5606166783461808%
疫情		8		0.5606166783461808%
同		7		0.4905395935529082%
重要		7		0.4905395935529082%
是		7		0.4905395935529082%
论坛		7		0.4905395935529082%
！		6		0.42046250875963564%
了		6		0.42046250875963564%
疫苗		6		0.42046250875963564%
将		6		0.42046250875963564%
要		6		0.42046250875963564%
庆祝		5		0.35038542396636296%
我		5		0.35038542396636296%
向		5		0.35038542396636296%
推进		5		0.35038542396636296%
团结		5		0.35038542396636296%
建设		5		0.35038542396636296%
抗疫		5		0.35038542396636296%
提供		5		0.35038542396636296%
对		5		0.35038542396636296%
坚持		5		0.35038542396636296%
正义		5		0.35038542396636296%
反对		5		0.35038542396636296%
——		4		0.2803083391730904%
非洲日		4		0.2803083391730904%
上		4		0.2803083391730904%
驻华		4		0.2803083391730904%
非盟		4		0.2803083391730904%
人民		4		0.2803083391730904%
作出		4		0.2803083391730904%
加强		4		0.2803083391730904%
下		4		0.2803083391730904%
征程		4		0.2803083391730904%
中		4		0.2803083391730904%
投资		4		0.2803083391730904%
继续		4		0.2803083391730904%
推动		4		0.2803083391730904%
会议		4		0.2803083391730904%
新疆		4		0.2803083391730904%
关系		3		0.21023125437981782%
尊敬		3		0.21023125437981782%
也		3		0.21023125437981782%
深化		3		0.21023125437981782%
友谊		3		0.21023125437981782%
主席		3		0.21023125437981782%
实施		3		0.21023125437981782%
事务		3		0.21023125437981782%
朋友		3		0.21023125437981782%
方向		3		0.21023125437981782%
维护		3		0.21023125437981782%
经济		3		0.21023125437981782%
利益		3		0.21023125437981782%
面对		3		0.21023125437981782%
倡议		3		0.21023125437981782%
积极		3		0.21023125437981782%
缓债		3		0.21023125437981782%
贸易		3		0.21023125437981782%
非		3		0.21023125437981782%
项目		3		0.21023125437981782%
更		3		0.21023125437981782%
有		3		0.21023125437981782%
公平		3		0.21023125437981782%
多边主义		3		0.21023125437981782%
联合国		3		0.21023125437981782%
一		3		0.21023125437981782%
愿		3		0.21023125437981782%
好		3		0.21023125437981782%
勠力		2		0.1401541695865452%
同心		2		0.1401541695865452%
结伴		2		0.1401541695865452%
前行		2		0.1401541695865452%
明天		2		0.1401541695865452%
招待会		2		0.1401541695865452%
使团长		2		0.1401541695865452%
大使		2		0.1401541695865452%
阁下		2		0.1401541695865452%
代表		2		0.1401541695865452%
：		2		0.1401541695865452%
兄弟		2		0.1401541695865452%
政府		2		0.1401541695865452%
节日		2		0.1401541695865452%
感谢		2		0.1401541695865452%
贡献		2		0.1401541695865452%
争取		2		0.1401541695865452%
独立		2		0.1401541695865452%
委员会		2		0.1401541695865452%
旗帜		2		0.1401541695865452%
开启		2		0.1401541695865452%
联合		2		0.1401541695865452%
和平		2		0.1401541695865452%
不断		2		0.1401541695865452%
增强		2		0.1401541695865452%
自贸区		2		0.1401541695865452%
正式		2		0.1401541695865452%
一体化		2		0.1401541695865452%
取得		2		0.1401541695865452%
越来越		2		0.1401541695865452%
作用		2		0.1401541695865452%
始终		2		0.1401541695865452%
核心		2		0.1401541695865452%
相互		2		0.1401541695865452%
去年		2		0.1401541695865452%
峰会		2		0.1401541695865452%
非方		2		0.1401541695865452%
特殊		2		0.1401541695865452%
多		2		0.1401541695865452%
物资		2		0.1401541695865452%
援助		2		0.1401541695865452%
15		2		0.1401541695865452%
国		2		0.1401541695865452%
医院		2		0.1401541695865452%
人员		2		0.1401541695865452%
疾控		2		0.1401541695865452%
中心		2		0.1401541695865452%
总部		2		0.1401541695865452%
命运		2		0.1401541695865452%
共同体		2		0.1401541695865452%
集团		2		0.1401541695865452%
签署		2		0.1401541695865452%
协议		2		0.1401541695865452%
或		2		0.1401541695865452%
2020年		2		0.1401541695865452%
形势		2		0.1401541695865452%
年		2		0.1401541695865452%
美元		2		0.1401541695865452%
有力		2		0.1401541695865452%
一带		2		0.1401541695865452%
一路		2		0.1401541695865452%
隆重		2		0.1401541695865452%
整体		2		0.1401541695865452%
发展中国家		2		0.1401541695865452%
之		2		0.1401541695865452%
消除		2		0.1401541695865452%
届		2		0.1401541695865452%
工业化		2		0.1401541695865452%
安全		2		0.1401541695865452%
配合		2		0.1401541695865452%
以		2		0.1401541695865452%
构建		2		0.1401541695865452%
越		2		0.1401541695865452%
相信		2		0.1401541695865452%
一定		2		0.1401541695865452%
会		2		0.1401541695865452%
祝		2		0.1401541695865452%
共		1		0.0700770847932726%
创		1		0.0700770847932726%
更加		1		0.0700770847932726%
美好		1		0.0700770847932726%
王毅		1		0.0700770847932726%
国务		1		0.0700770847932726%
委员		1		0.0700770847932726%
兼		1		0.0700770847932726%
外长		1		0.0700770847932726%
致辞		1		0.0700770847932726%
（		1		0.0700770847932726%
2021年		1		0.0700770847932726%
5月		1		0.0700770847932726%
25日		1		0.0700770847932726%
钓鱼台		1		0.0700770847932726%
芳菲苑		1		0.0700770847932726%
）		1		0.0700770847932726%
马丁·姆帕纳		1		0.0700770847932726%
拉赫曼		1		0.0700770847932726%
塔拉·奥斯曼		1		0.0700770847932726%
女士们		1		0.0700770847932726%
先生们		1		0.0700770847932726%
朋友们		1		0.0700770847932726%
很		1		0.0700770847932726%
高兴		1		0.0700770847932726%
出席		1		0.0700770847932726%
今天		1		0.0700770847932726%
姐妹们		1		0.0700770847932726%
一起		1		0.0700770847932726%
第58		1		0.0700770847932726%
谨		1		0.0700770847932726%
致以		1		0.0700770847932726%
祝贺		1		0.0700770847932726%
此		1		0.0700770847932726%
衷心		1		0.0700770847932726%
纪念日		1		0.0700770847932726%
非常		1		0.0700770847932726%
热情		1		0.0700770847932726%
洋溢		1		0.0700770847932726%
讲话		1		0.0700770847932726%
法基		1		0.0700770847932726%
发来		1		0.0700770847932726%
贺电		1		0.0700770847932726%
首先		1		0.0700770847932726%
想		1		0.0700770847932726%
说		1		0.0700770847932726%
就是		1		0.0700770847932726%
日		1		0.0700770847932726%
值得		1		0.0700770847932726%
每年		1		0.0700770847932726%
纪念		1		0.0700770847932726%
58		1		0.0700770847932726%
年前		1		0.0700770847932726%
泛非主义		1		0.0700770847932726%
引领		1		0.0700770847932726%
统一		1		0.0700770847932726%
组织		1		0.0700770847932726%
应运而生		1		0.0700770847932726%
自强		1		0.0700770847932726%
振兴		1		0.0700770847932726%
近年来		1		0.0700770847932726%
势头		1		0.0700770847932726%
进展		1		0.0700770847932726%
集体		1		0.0700770847932726%
影响力		1		0.0700770847932726%
显著		1		0.0700770847932726%
提升		1		0.0700770847932726%
发挥		1		0.0700770847932726%
外交		1		0.0700770847932726%
优先		1		0.0700770847932726%
民族		1		0.0700770847932726%
尊严		1		0.0700770847932726%
伟大		1		0.0700770847932726%
斗争		1		0.0700770847932726%
并肩		1		0.0700770847932726%
战斗		1		0.0700770847932726%
改善		1		0.0700770847932726%
民生		1		0.0700770847932726%
宏伟		1		0.0700770847932726%
同行		1		0.0700770847932726%
涉及		1		0.0700770847932726%
