POS		频数		占比
NOUN		362		29.818780889621088%
VERB		243		20.0164744645799%
PUNCT		192		15.815485996705107%
PROPN		103		8.484349258649095%
PART		75		6.177924217462932%
ADV		68		5.601317957166392%
ADP		44		3.6243822075782535%
NUM		44		3.6243822075782535%
ADJ		36		2.9654036243822075%
CCONJ		28		2.3064250411861615%
PRON		9		0.7413509060955519%
DET		6		0.4942339373970346%
SCONJ		2		0.16474464579901155%
X		2		0.16474464579901155%
