POS		频数		占比
NOUN		381		38.29145728643216%
VERB		191		19.195979899497488%
PUNCT		168		16.884422110552762%
ADJ		51		5.125628140703518%
PART		49		4.924623115577889%
ADV		39		3.919597989949749%
PROPN		32		3.2160804020100504%
ADP		27		2.7135678391959797%
CCONJ		24		2.4120603015075375%
PRON		15		1.507537688442211%
NUM		13		1.306532663316583%
DET		4		0.4020100502512563%
X		1		0.10050251256281408%
