POS		频数		占比
NOUN		570		32.64604810996563%
VERB		353		20.217640320733103%
PUNCT		331		18.95761741122566%
ADV		102		5.841924398625429%
PART		96		5.498281786941581%
ADJ		78		4.4673539518900345%
ADP		55		3.150057273768614%
PROPN		53		3.0355097365406642%
PRON		32		1.8327605956471937%
CCONJ		30		1.718213058419244%
NUM		27		1.5463917525773196%
DET		13		0.7445589919816723%
X		4		0.22909507445589922%
SCONJ		2		0.11454753722794961%
