POS		频数		占比
NOUN		7069		38.09754783077338%
VERB		3768		20.3071948261924%
PUNCT		3135		16.895715440582055%
ADV		1002		5.40016168148747%
PART		931		5.017515494475883%
ADJ		890		4.79655079493398%
CCONJ		408		2.198868229587712%
PROPN		372		2.0048504446240907%
NUM		332		1.7892751279978443%
ADP		327		1.7623282134195635%
DET		159		0.8569118835893291%
PRON		111		0.5982215036378334%
X		46		0.24791161412018323%
SCONJ		5		0.026946914578280787%
