POS		频数		占比
NOUN		641		30.86181993259509%
VERB		403		19.402985074626866%
PUNCT		312		15.021665864227252%
ADV		163		7.84785748675975%
PROPN		151		7.2701011073663935%
PART		108		5.199807414540202%
ADJ		92		4.429465575349061%
NUM		77		3.7072701011073663%
ADP		55		2.6480500722195472%
CCONJ		37		1.7814155031295138%
PRON		23		1.1073663938372653%
DET		8		0.38517091959557054%
X		7		0.33702455464612424%
