POS		频数		占比
NOUN		1115		29.112271540469976%
VERB		736		19.216710182767624%
PUNCT		538		14.046997389033944%
PROPN		341		8.903394255874673%
PART		271		7.075718015665797%
ADV		248		6.475195822454308%
NUM		132		3.446475195822454%
ADJ		131		3.4203655352480418%
ADP		125		3.263707571801567%
CCONJ		95		2.4804177545691903%
PRON		68		1.7754569190600522%
DET		24		0.6266318537859008%
X		5		0.13054830287206268%
SCONJ		1		0.02610966057441253%
