POS		频数		占比
NOUN		1732		32.5502725051682%
VERB		993		18.661905656831422%
PUNCT		903		16.970494267994738%
ADV		336		6.314602518323624%
PROPN		291		5.468896823905281%
PART		289		5.431309904153355%
ADJ		220		4.134561172711896%
NUM		208		3.9090396542003387%
ADP		151		2.837812441270438%
PRON		75		1.4095094906972372%
CCONJ		69		1.2967487314414585%
DET		37		0.6953580154106371%
X		15		0.2819018981394475%
SCONJ		2		0.03758691975192633%
