POS		频数		占比
NOUN		366		34.07821229050279%
VERB		202		18.808193668528865%
PUNCT		170		15.828677839851025%
PROPN		98		9.124767225325884%
ADV		45		4.189944134078212%
PART		40		3.7243947858473%
NUM		39		3.6312849162011176%
ADJ		37		3.445065176908752%
CCONJ		36		3.35195530726257%
ADP		33		3.072625698324022%
PRON		4		0.37243947858473%
X		3		0.27932960893854747%
DET		1		0.0931098696461825%
