POS		频数		占比
NOUN		2539		39.0976285802279%
VERB		1380		21.25038497074222%
PUNCT		1139		17.539267015706805%
ADJ		360		5.543578688019711%
ADV		343		5.281798583307669%
PART		192		2.956575300277179%
NUM		164		2.5254080689867573%
CCONJ		115		1.7708654142285187%
ADP		94		1.4474899907607022%
PROPN		90		1.3858946720049277%
PRON		37		0.5697566984909147%
DET		28		0.4311672312904219%
X		10		0.1539882968894364%
SCONJ		2		0.030797659377887282%
SPACE		1		0.015398829688943641%
