POS		频数		占比
NOUN		119		35.62874251497006%
VERB		69		20.65868263473054%
PUNCT		57		17.065868263473057%
ADV		17		5.089820359281437%
PART		14		4.191616766467066%
ADJ		14		4.191616766467066%
NUM		13		3.8922155688622757%
PROPN		13		3.8922155688622757%
ADP		7		2.095808383233533%
PRON		7		2.095808383233533%
DET		2		0.5988023952095809%
CCONJ		2		0.5988023952095809%
