POS		频数		占比
NOUN		239		25.80993520518359%
VERB		182		19.654427645788335%
PUNCT		177		19.11447084233261%
PART		75		8.099352051835854%
ADV		72		7.775377969762419%
NUM		45		4.859611231101512%
PROPN		43		4.643628509719223%
PRON		34		3.6717062634989204%
ADP		19		2.0518358531317493%
ADJ		18		1.9438444924406046%
CCONJ		17		1.8358531317494602%
DET		5		0.5399568034557235%
