POS		频数		占比
NOUN		880		30.116358658453112%
VERB		558		19.096509240246405%
PUNCT		434		14.852840520191648%
PART		240		8.213552361396303%
ADV		227		7.768651608487337%
PROPN		134		4.58590006844627%
NUM		114		3.9014373716632447%
ADJ		113		3.867214236824093%
ADP		104		3.5592060232717317%
PRON		41		1.4031485284052019%
CCONJ		38		1.3004791238877482%
DET		25		0.8555783709787816%
X		9		0.3080082135523614%
SCONJ		4		0.13689253935660506%
SPACE		1		0.034223134839151265%
