POS		频数		占比
NOUN		574		31.95991091314031%
VERB		349		19.43207126948775%
PUNCT		296		16.481069042316257%
ADV		124		6.904231625835189%
PART		121		6.737193763919821%
PROPN		73		4.064587973273942%
ADJ		69		3.841870824053452%
ADP		67		3.7305122494432075%
NUM		50		2.783964365256125%
CCONJ		32		1.7817371937639197%
PRON		22		1.2249443207126949%
DET		17		0.9465478841870825%
X		1		0.05567928730512249%
SCONJ		1		0.05567928730512249%
