POS		频数		占比
NOUN		570		35.09852216748769%
VERB		331		20.381773399014776%
PUNCT		242		14.901477832512317%
ADV		110		6.773399014778326%
PART		92		5.665024630541872%
ADJ		84		5.172413793103448%
ADP		53		3.263546798029557%
PROPN		48		2.955665024630542%
CCONJ		41		2.5246305418719213%
NUM		26		1.600985221674877%
DET		13		0.8004926108374385%
PRON		12		0.7389162561576355%
X		1		0.06157635467980296%
SCONJ		1		0.06157635467980296%
