POS		频数		占比
NOUN		427		32.94753086419753%
VERB		263		20.293209876543212%
PUNCT		209		16.126543209876544%
ADV		95		7.330246913580248%
PART		76		5.864197530864197%
ADJ		60		4.62962962962963%
NUM		39		3.009259259259259%
ADP		36		2.7777777777777777%
PROPN		30		2.314814814814815%
CCONJ		27		2.083333333333333%
PRON		21		1.6203703703703702%
DET		8		0.6172839506172839%
X		3		0.23148148148148145%
SPACE		1		0.07716049382716049%
SCONJ		1		0.07716049382716049%
