POS		频数		占比
NOUN		457		35.04601226993865%
VERB		271		20.782208588957054%
PUNCT		231		17.71472392638037%
ADV		76		5.828220858895705%
PART		75		5.751533742331288%
ADJ		62		4.754601226993866%
ADP		36		2.7607361963190185%
PROPN		31		2.377300613496933%
CCONJ		24		1.8404907975460123%
PRON		18		1.3803680981595092%
NUM		14		1.0736196319018405%
DET		5		0.3834355828220859%
X		3		0.23006134969325154%
SCONJ		1		0.07668711656441718%
