POS		频数		占比
NOUN		825		38.970240906943786%
VERB		360		17.005196032120924%
PUNCT		316		14.926783183750592%
PART		175		8.266414737836561%
ADJ		112		5.290505432215399%
ADV		97		4.581955597543693%
PROPN		69		3.259329239489844%
ADP		49		2.314596126594237%
CCONJ		37		1.7477562588568731%
NUM		34		1.6060462919225318%
PRON		21		0.9919697685403874%
DET		13		0.6140765233821445%
X		7		0.33065658951346244%
SPACE		1		0.04723665564478035%
SCONJ		1		0.04723665564478035%
