POS		频数		占比
NOUN		4033		41.144664354213425%
VERB		1994		20.342787186288515%
PUNCT		1584		16.159967353601306%
ADJ		587		5.98857376045705%
ADV		531		5.417261783309528%
PART		265		2.703529891858804%
NUM		241		2.458681901652724%
CCONJ		215		2.193429912262803%
ADP		152		1.5507039379718426%
PROPN		118		1.203835951846562%
DET		37		0.37747398490104056%
PRON		28		0.28565598857376046%
X		17		0.1734339930626403%
