POS		频数		占比
NOUN		339		31.68224299065421%
VERB		235		21.962616822429908%
PUNCT		169		15.794392523364486%
ADV		78		7.289719626168225%
PART		65		6.074766355140187%
ADJ		49		4.579439252336448%
PROPN		37		3.4579439252336446%
ADP		36		3.364485981308411%
CCONJ		19		1.7757009345794394%
NUM		18		1.6822429906542056%
DET		10		0.9345794392523363%
PRON		10		0.9345794392523363%
X		4		0.3738317757009346%
SPACE		1		0.09345794392523366%
