POS		频数		占比
NOUN		4637		38.992600067272114%
VERB		2374		19.96300033636058%
PUNCT		2075		17.44870501177262%
ADV		646		5.432223343424151%
ADJ		629		5.289270097544567%
NUM		479		4.027917928018836%
PART		402		3.380423814328961%
CCONJ		217		1.8247561385805584%
ADP		197		1.656575849310461%
PROPN		138		1.160443995963673%
DET		42		0.35317860746720486%
PRON		40		0.3363605785401951%
X		14		0.11772620248906827%
SPACE		1		0.008409014463504878%
SCONJ		1		0.008409014463504878%
