POS		频数		占比
NOUN		318		32.08879919273461%
VERB		198		19.97981836528759%
PUNCT		148		14.934409687184663%
PROPN		71		7.164480322906155%
ADV		65		6.559031281533804%
PART		44		4.439959636730576%
ADJ		43		4.339051463168516%
ADP		41		4.137235116044399%
PRON		24		2.4217961654894045%
CCONJ		15		1.513622603430878%
NUM		11		1.109989909182644%
DET		9		0.9081735620585267%
SPACE		2		0.20181634712411706%
X		2		0.20181634712411706%
