POS		频数		占比
NOUN		1855		28.78200155159038%
VERB		1208		18.74321179208689%
PUNCT		998		15.48487199379364%
ADV		525		8.145849495733126%
PART		475		7.370054305663305%
PROPN		448		6.951124903025602%
ADJ		231		3.5841737781225755%
ADP		205		3.180760279286268%
NUM		194		3.010085337470908%
PRON		130		2.017067494181536%
CCONJ		95		1.474010861132661%
DET		57		0.8844065166795966%
X		14		0.21722265321955006%
SCONJ		10		0.1551590380139643%
