POS		频数		占比
NOUN		438		30.18607856650586%
VERB		258		17.780840799448654%
PUNCT		223		15.368711233631979%
PROPN		135		9.303928325292901%
NUM		79		5.444521019986216%
PART		67		4.617505168849069%
ADV		67		4.617505168849069%
ADJ		60		4.135079255685734%
ADP		60		4.135079255685734%
PRON		26		1.7918676774638183%
CCONJ		24		1.6540317022742934%
DET		12		0.8270158511371467%
SPACE		1		0.06891798759476223%
X		1		0.06891798759476223%
