POS		频数		占比
NOUN		800		32.01280512204882%
VERB		580		23.209283713485394%
PUNCT		428		17.126850740296117%
ADV		197		7.883153261304522%
PART		140		5.602240896358544%
ADJ		108		4.321728691476591%
ADP		53		2.1208483393357342%
NUM		45		1.800720288115246%
PROPN		41		1.640656262505002%
CCONJ		41		1.640656262505002%
PRON		41		1.640656262505002%
DET		18		0.7202881152460985%
X		4		0.1600640256102441%
SCONJ		3		0.12004801920768307%
