POS		频数		占比
NOUN		506		35.40937718684395%
VERB		314		21.97340797760672%
PUNCT		254		17.774667599720082%
ADV		80		5.5983205038488455%
ADJ		55		3.8488453463960814%
PART		54		3.778866340097971%
PROPN		45		3.1490552834149756%
ADP		32		2.239328201539538%
CCONJ		27		1.8894331700489855%
NUM		20		1.3995801259622114%
DET		20		1.3995801259622114%
PRON		20		1.3995801259622114%
SPACE		1		0.06997900629811056%
X		1		0.06997900629811056%
