POS		频数		占比
NOUN		402		34.183673469387756%
VERB		240		20.408163265306122%
PUNCT		212		18.027210884353742%
PART		67		5.697278911564626%
ADV		61		5.187074829931973%
ADJ		57		4.846938775510204%
PROPN		42		3.571428571428571%
ADP		29		2.465986394557823%
PRON		25		2.1258503401360542%
NUM		18		1.530612244897959%
CCONJ		17		1.445578231292517%
X		3		0.25510204081632654%
SPACE		1		0.08503401360544217%
DET		1		0.08503401360544217%
SCONJ		1		0.08503401360544217%
